iter	Passed	Remaining
0	1	290
1	3	242
2	4	224
3	5	213
4	7	217
5	9	223
6	10	219
7	12	214
8	13	208
9	14	204
10	15	201
11	17	197
12	18	194
13	19	191
14	20	188
15	22	186
16	24	189
17	25	189
18	27	186
19	28	184
20	29	181
21	30	179
22	32	176
23	33	174
24	34	172
25	35	170
26	37	170
27	39	172
28	41	171
29	42	170
30	44	168
31	45	167
32	46	166
33	48	164
34	49	162
35	50	160
36	52	159
37	53	158
38	55	157
39	57	156
40	58	156
41	61	157
42	62	156
43	64	154
44	65	153
45	67	151
46	68	149
47	70	148
48	71	147
49	73	146
50	74	145
51	76	143
52	77	141
53	78	140
54	80	139
55	82	137
56	83	136
57	85	135
58	87	134
59	88	132
60	89	131
61	91	129
62	92	127
63	93	126
64	95	124
65	96	122
66	97	121
67	99	119
68	100	118
69	102	117
70	104	116
71	106	115
72	107	113
73	109	112
74	110	110
75	112	109
76	113	107
77	114	105
78	116	104
79	118	103
80	119	102
81	121	100
82	122	98
83	123	97
84	125	95
85	126	94
86	127	92
87	129	90
88	130	89
89	131	87
90	133	86
91	136	85
92	137	84
93	139	83
94	140	81
95	142	79
96	143	78
97	144	76
98	146	75
99	147	73
100	149	72
101	151	71
102	152	69
103	154	68
104	155	66
105	156	65
106	157	63
107	159	61
108	160	60
109	161	58
110	163	57
111	165	56
112	166	54
113	168	53
114	169	51
115	170	50
116	172	48
117	173	47
118	174	45
119	176	44
120	177	42
121	178	40
122	181	39
123	182	38
124	184	36
125	185	35
126	186	33
127	188	32
128	189	30
129	190	29
130	191	27
131	193	26
132	194	24
133	196	23
134	198	22
135	199	20
136	201	19
137	203	17
138	205	16
139	206	14
140	207	13
141	209	11
142	210	10
143	212	8
144	214	7
145	215	5
146	216	4
147	218	2
148	219	1
149	220	0
