condition_id,feature,conditional_weight,global_weight,weight_ratio
bear_leader,ctx_rank_5m_release,0.462305,0.471696,0.9801
bear_leader,ctx_rank_5m_compression,0.070701,0.072518,0.9749
bear_leader,direction_confidence,0.069344,0.068074,1.0187
bear_leader,entry_score,0.056472,0.054505,1.0361
bear_leader,dna_2h_previous_volume_ratio,0.047812,0.047403,1.0086
bear_leader,a6_formula_score,0.030998,0.028499,1.0877
bear_leader,dna_15m_current_range_pct,0.027133,0.026383,1.0284
bear_leader,cluster_top_score,0.023713,0.022795,1.0403
bear_leader,meta_derived_atr_expansion,0.023064,0.022325,1.0331
bear_leader,dna_derived_breakout_flag,0.022603,0.021595,1.0467
bear_leader,dna_5m_release,0.021902,0.022263,0.9838
bear_leader,dna_derived_atr_expansion,0.020225,0.019573,1.0333
bear_leader,dna_1h_current_return_pct,0.017992,0.018603,0.9672
bear_leader,meta_derived_breakout_flag,0.017692,0.017064,1.0369
bear_leader,ctx_rank_1h_current_return_pct,0.01721,0.017481,0.9844
bear_leader,exec_obs_volume_surge,0.01487,0.014086,1.0556
bear_leader,ctx_rank_2h_current_return_pct,0.014477,0.013801,1.049
bear_leader,state_5m_Release,0.014099,0.013768,1.024
bear_leader,dna_15m_current_close_position,0.013702,0,13702054.7357
bear_leader,search_rank_pct_return,0.013685,0.013897,0.9847
breakout,ctx_rank_5m_release,0.414337,0.471696,0.8784
breakout,direction_confidence,0.070471,0.068074,1.0352
breakout,ctx_rank_5m_compression,0.069441,0.072518,0.9576
breakout,dna_2h_previous_volume_ratio,0.056801,0.047403,1.1983
breakout,entry_score,0.055075,0.054505,1.0105
breakout,dna_5m_release,0.035299,0.022263,1.5856
breakout,meta_derived_atr_expansion,0.034397,0.022325,1.5407
breakout,dna_derived_atr_expansion,0.03073,0.019573,1.57
breakout,dna_15m_current_range_pct,0.030462,0.026383,1.1546
breakout,dna_derived_breakout_flag,0.028967,0.021595,1.3414
breakout,meta_derived_breakout_flag,0.022605,0.017064,1.3247
breakout,a6_formula_score,0.020332,0.028499,0.7134
breakout,dna_derived_false_breakout,0.018645,0,18645388.9446
breakout,cluster_top_score,0.017809,0.022795,0.7813
breakout,exec_obs_volume_surge,0.017088,0.014086,1.2131
breakout,dna_30m_current_close_position,0.016186,0,16186475.7951
breakout,ctx_rank_1h_current_return_pct,0.015768,0.017481,0.902
breakout,dna_30m_previous_volume_ratio,0.015369,0,15368663.5524
breakout,dna_5m_body_position,0.01527,0,15270087.9696
breakout,dna_2h_previous_range_pct,0.014947,0,14946979.1148
bull_leader,ctx_rank_5m_release,0.484186,0.471696,1.0265
bull_leader,ctx_rank_5m_compression,0.078318,0.072518,1.08
bull_leader,direction_confidence,0.06826,0.068074,1.0027
bull_leader,entry_score,0.05371,0.054505,0.9854
bull_leader,dna_2h_previous_volume_ratio,0.048459,0.047403,1.0223
bull_leader,dna_15m_current_range_pct,0.026775,0.026383,1.0148
bull_leader,meta_derived_atr_expansion,0.024299,0.022325,1.0884
bull_leader,dna_5m_release,0.021765,0.022263,0.9776
bull_leader,dna_derived_atr_expansion,0.019043,0.019573,0.9729
bull_leader,a6_formula_score,0.018594,0.028499,0.6524
bull_leader,dna_derived_breakout_flag,0.018123,0.021595,0.8392
bull_leader,dna_5m_body_position,0.017339,0,17339177.3927
bull_leader,ctx_rank_1h_current_return_pct,0.016451,0.017481,0.9411
bull_leader,exec_obs_volume_surge,0.016415,0.014086,1.1653
bull_leader,cluster_top_score,0.015801,0.022795,0.6932
bull_leader,dna_30m_current_close_position,0.015183,0,15183360.2569
bull_leader,meta_derived_lower_wick,0.014629,0,14629448.4235
bull_leader,dna_2h_previous_range_pct,0.01445,0,14449957.8294
bull_leader,phase20_base_score,0.014118,0,14117996.7306
bull_leader,ctx_rank_1h_current_ma20_distance_pct,0.014081,0.01367,1.0301
compression,ctx_rank_5m_release,0.467517,0.471696,0.9911
compression,ctx_rank_5m_compression,0.069989,0.072518,0.9651
compression,direction_confidence,0.068563,0.068074,1.0072
compression,entry_score,0.057069,0.054505,1.047
compression,dna_2h_previous_volume_ratio,0.049069,0.047403,1.0351
compression,a6_formula_score,0.030198,0.028499,1.0596
compression,dna_15m_current_range_pct,0.026743,0.026383,1.0136
compression,cluster_top_score,0.023857,0.022795,1.0466
compression,meta_derived_atr_expansion,0.022512,0.022325,1.0083
compression,dna_derived_breakout_flag,0.021571,0.021595,0.9989
compression,dna_5m_release,0.020866,0.022263,0.9373
compression,dna_derived_atr_expansion,0.019476,0.019573,0.995
compression,dna_1h_current_return_pct,0.018906,0.018603,1.0163
compression,meta_derived_breakout_flag,0.017214,0.017064,1.0088
compression,ctx_rank_1h_current_return_pct,0.016522,0.017481,0.9451
compression,exec_obs_volume_surge,0.014653,0.014086,1.0402
compression,ctx_rank_2h_current_return_pct,0.014533,0.013801,1.053
compression,dna_30m_current_close_position,0.013668,0,13668337.5544
compression,state_5m_Release,0.013665,0.013768,0.9925
compression,ctx_rank_1h_current_ma20_distance_pct,0.013409,0.01367,0.9809
high_volatility,ctx_rank_5m_release,0.46527,0.471696,0.9864
high_volatility,ctx_rank_5m_compression,0.072765,0.072518,1.0034
high_volatility,direction_confidence,0.067932,0.068074,0.9979
high_volatility,entry_score,0.056671,0.054505,1.0397
high_volatility,dna_2h_previous_volume_ratio,0.047941,0.047403,1.0113
high_volatility,a6_formula_score,0.026931,0.028499,0.945
high_volatility,dna_15m_current_range_pct,0.025616,0.026383,0.9709
high_volatility,dna_5m_release,0.024456,0.022263,1.0985
high_volatility,meta_derived_atr_expansion,0.0234,0.022325,1.0481
high_volatility,cluster_top_score,0.022749,0.022795,0.998
high_volatility,dna_derived_breakout_flag,0.02239,0.021595,1.0369
high_volatility,dna_derived_atr_expansion,0.021147,0.019573,1.0804
high_volatility,meta_derived_breakout_flag,0.018071,0.017064,1.059
high_volatility,ctx_rank_1h_current_return_pct,0.017804,0.017481,1.0185
high_volatility,dna_1h_current_return_pct,0.017186,0.018603,0.9239
high_volatility,search_rank_pct_return,0.014564,0.013897,1.048
high_volatility,dna_2h_current_ma20_distance_pct,0.013974,0,13973799.1266
high_volatility,state_5m_Release,0.01393,0.013768,1.0118
