scan_time_kst,symbol,direction,cluster,probability_pct,expected_return_2h,contribution
2026-06-01 00:00:00,STGUSDT,long,LONG_CONTINUATION_D,21.67,4.3527,0.9432
2026-06-01 00:00:00,STGUSDT,long,LONG_ACCELERATION_B,15.35,1.7624,0.2705
2026-06-01 00:00:00,STGUSDT,long,LONG_BASE_REVERSAL_D,12.1,2.0127,0.2435
2026-06-01 00:00:00,STGUSDT,long,LONG_V_REVERSAL_C,8.31,2.1214,0.1763
2026-06-01 00:00:00,STGUSDT,long,LONG_BASE_REVERSAL_A,7.52,-2.9806,-0.2241
2026-06-01 00:00:00,STGUSDT,long,LONG_V_REVERSAL_A,7.31,-1.1636,-0.0851
2026-06-01 00:00:00,STGUSDT,long,LONG_CONTINUATION_C,7.08,2.0807,0.1473
2026-06-01 00:00:00,STGUSDT,long,LONG_ACCELERATION_D,4.83,-2.6914,-0.13
2026-06-01 00:00:00,STGUSDT,long,LONG_CONTINUATION_B,4.67,8.7722,0.4097
2026-06-01 00:00:00,STGUSDT,long,LONG_BASE_REVERSAL_B,2.87,-0.5506,-0.0158
2026-06-01 00:00:00,STGUSDT,long,LONG_ACCELERATION_A,2.34,5.2482,0.1228
2026-06-01 00:00:00,STGUSDT,long,LONG_V_REVERSAL_D,1.67,5.5532,0.0927
2026-06-01 00:00:00,STGUSDT,long,LONG_BASE_REVERSAL_C,1.42,7.7707,0.1103
2026-06-01 00:00:00,STGUSDT,long,LONG_V_REVERSAL_B,1.01,17.0287,0.172
2026-06-01 00:00:00,STGUSDT,long,LONG_CONTINUATION_A,0.93,19.9171,0.1852
2026-06-01 00:00:00,STGUSDT,long,LONG_ACCELERATION_C,0.92,21.6376,0.1991
2026-06-01 00:00:00,STGUSDT,short,SHORT_ACCELERATION_C,30.21,1.3202,0.3988
2026-06-01 00:00:00,STGUSDT,short,SHORT_TOP_REVERSAL_B,14.36,2.2681,0.3257
2026-06-01 00:00:00,STGUSDT,short,SHORT_V_REVERSAL_B,11.89,-1.4077,-0.1674
2026-06-01 00:00:00,STGUSDT,short,SHORT_ACCELERATION_A,11.24,12.4734,1.402
2026-06-01 00:00:00,STGUSDT,short,SHORT_TOP_REVERSAL_D,8.15,-3.9082,-0.3185
2026-06-01 00:00:00,STGUSDT,short,SHORT_CONTINUATION_A,6.43,4.9136,0.3159
2026-06-01 00:00:00,STGUSDT,short,SHORT_ACCELERATION_D,3.44,-3.1588,-0.1087
2026-06-01 00:00:00,STGUSDT,short,SHORT_CONTINUATION_D,2.7,8.1384,0.2197
2026-06-01 00:00:00,STGUSDT,short,SHORT_CONTINUATION_B,2.52,2.8051,0.0707
2026-06-01 00:00:00,STGUSDT,short,SHORT_V_REVERSAL_C,1.71,-1.4489,-0.0248
2026-06-01 00:00:00,STGUSDT,short,SHORT_TOP_REVERSAL_C,1.7,-0.6282,-0.0107
2026-06-01 00:00:00,STGUSDT,short,SHORT_V_REVERSAL_D,1.66,7.5559,0.1254
2026-06-01 00:00:00,STGUSDT,short,SHORT_CONTINUATION_C,1.44,2.1038,0.0303
2026-06-01 00:00:00,STGUSDT,short,SHORT_ACCELERATION_B,1.34,2.4432,0.0327
2026-06-01 00:00:00,STGUSDT,short,SHORT_V_REVERSAL_A,1.2,2.4144,0.029
2026-06-01 00:00:00,ALLOUSDT,long,LONG_BASE_REVERSAL_D,26.16,2.0127,0.5265
2026-06-01 00:00:00,ALLOUSDT,long,LONG_CONTINUATION_D,14.76,4.3527,0.6425
2026-06-01 00:00:00,ALLOUSDT,long,LONG_CONTINUATION_C,11.13,2.0807,0.2316
2026-06-01 00:00:00,ALLOUSDT,long,LONG_ACCELERATION_B,8.68,1.7624,0.153
2026-06-01 00:00:00,ALLOUSDT,long,LONG_BASE_REVERSAL_A,7.12,-2.9806,-0.2122
2026-06-01 00:00:00,ALLOUSDT,long,LONG_V_REVERSAL_C,6.87,2.1214,0.1457
2026-06-01 00:00:00,ALLOUSDT,long,LONG_V_REVERSAL_A,6.32,-1.1636,-0.0735
2026-06-01 00:00:00,ALLOUSDT,long,LONG_BASE_REVERSAL_B,4.31,-0.5506,-0.0237
2026-06-01 00:00:00,ALLOUSDT,long,LONG_ACCELERATION_D,2.89,-2.6914,-0.0778
2026-06-01 00:00:00,ALLOUSDT,long,LONG_CONTINUATION_B,2.87,8.7722,0.2518
2026-06-01 00:00:00,ALLOUSDT,long,LONG_BASE_REVERSAL_C,2.77,7.7707,0.2152
2026-06-01 00:00:00,ALLOUSDT,long,LONG_V_REVERSAL_B,1.91,17.0287,0.3252
2026-06-01 00:00:00,ALLOUSDT,long,LONG_ACCELERATION_A,1.36,5.2482,0.0714
2026-06-01 00:00:00,ALLOUSDT,long,LONG_CONTINUATION_A,1.05,19.9171,0.2091
2026-06-01 00:00:00,ALLOUSDT,long,LONG_V_REVERSAL_D,0.91,5.5532,0.0505
2026-06-01 00:00:00,ALLOUSDT,long,LONG_ACCELERATION_C,0.89,21.6376,0.1926
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_V_REVERSAL_B,29.15,-1.4077,-0.4103
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_ACCELERATION_D,21.31,-3.1588,-0.6731
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_TOP_REVERSAL_D,15.85,-3.9082,-0.6194
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_ACCELERATION_C,5.71,1.3202,0.0754
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_ACCELERATION_A,4.98,12.4734,0.6212
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_V_REVERSAL_C,4.17,-1.4489,-0.0604
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_TOP_REVERSAL_B,3.21,2.2681,0.0728
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_CONTINUATION_C,2.99,2.1038,0.0629
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_CONTINUATION_B,2.71,2.8051,0.076
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_CONTINUATION_D,2.53,8.1384,0.2059
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_V_REVERSAL_D,2.06,7.5559,0.1557
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_TOP_REVERSAL_C,1.69,-0.6282,-0.0106
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_CONTINUATION_A,1.44,4.9136,0.0708
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_ACCELERATION_B,1.32,2.4432,0.0323
2026-06-01 00:00:00,ALLOUSDT,short,SHORT_V_REVERSAL_A,0.88,2.4144,0.0212
2026-06-01 00:00:00,币安人生USDT,long,LONG_CONTINUATION_D,18.59,4.3527,0.8092
2026-06-01 00:00:00,币安人生USDT,long,LONG_BASE_REVERSAL_A,14.87,-2.9806,-0.4432
