feature,gain_importance,permutation_importance,shap_mean_abs,combined_score,importance_rank,constitution
ctx_rank_5m_release,0,0,0.489089,0.146727,1,frozen_v1
dna_1h_current_return_pct,0,0,0.253729,0.076119,2,frozen_v1
direction_confidence,0,0,0.152042,0.045613,3,frozen_v1
formula_v2_rank_pct,0,0,0.127483,0.038245,4,frozen_v1
search_rank_pct_return,0,0,0.095314,0.028594,5,frozen_v1
exec_obs_obs_low_pct,0,0,0.095294,0.028588,6,frozen_v1
entry_score,0,0,0.085553,0.025666,7,frozen_v1
dna_5m_body_position,0,0,0.075913,0.022774,8,frozen_v1
dna_30m_previous_ma20_distance_pct,0,0,0.071542,0.021463,9,frozen_v1
dna_15m_current_return_pct,0,0,0.056144,0.016843,10,frozen_v1
exec_obs_volume_surge,0,0,0.047052,0.014116,11,frozen_v1
ctx_rank_5m_compression,0,0,0.044717,0.013415,12,frozen_v1
ctx_rank_1h_current_return_pct,0,0,0.040724,0.012217,13,frozen_v1
state_5m_Release,0,0,0.03989,0.011967,14,frozen_v1
dna_2h_previous_volume_ratio,0,0,0.038885,0.011666,15,frozen_v1
dna_2h_current_close_position,0,0,0.036488,0.010946,16,frozen_v1
cluster_top_prob,0,0,0.032159,0.009648,17,frozen_v1
pattern_confidence,0,0,0.032027,0.009608,18,frozen_v1
dna_2h_current_ma20_distance_pct,0,0,0.031701,0.00951,19,frozen_v1
meta_derived_mtf_alignment,0,0,0.029468,0.00884,20,frozen_v1
