feature,first_half_importance,second_half_importance,delta
dna_1h_current_return_pct,0.087094,0.037791,-0.049303
ctx_rank_5m_release,0.116474,0.161203,0.044729
formula_v2_rank_pct,0.04094,0.017094,-0.023846
dna_2h_current_close_position,0,0.023724,0.023724
entry_score,0.039869,0.017345,-0.022524
search_rank_pct_return,0.03667,0.014656,-0.022014
exec_obs_obs_high_pct,0,0.020745,0.020745
dna_30m_previous_ma20_distance_pct,0.020207,0,-0.020207
dna_30m_current_return_pct,0.018864,0,-0.018864
dna_15m_previous_ma20_distance_pct,0.018835,0,-0.018835
search_rank_pct_volume,0.018248,0,-0.018248
ctx_rank_5m_compression,0,0.016737,0.016737
dna_1h_previous_body_pct,0,0.015687,0.015687
direction_confidence,0.057196,0.042956,-0.01424
exec_obs_obs_low_pct,0.015151,0.028868,0.013717
exec_obs_obs_return_pct,0,0.01347,0.01347
dna_2h_current_ma20_distance_pct,0,0.013213,0.013213
state_5m_Release,0.012149,0,-0.012149
cluster_top_score,0.011865,0,-0.011865
ctx_rank_1h_current_return_pct,0.019521,0.030282,0.010761
dna_5m_body_position,0.017202,0.013915,-0.003287
