regime_axis,regime,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,sharpe,sortino,mdd,profit_factor,rank_correlation,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3
market_simple,bear,regime_market_simple_bear,55,11,2.88,4.5011,2.88,36.36,5.8111,22.7791,-6.6956,16.8458,0.0,0.8288,0.7576,0.7273,0.6818,0.5091,1.0,0.8485,1.0
market_simple,bull,regime_market_simple_bull,65,13,8.1164,14.3786,8.1164,64.62,6.08,105.5474,-4.8628,85.3392,0.0,0.9114,0.8513,0.8462,0.7308,0.5077,1.0,0.9231,1.0
market_simple,sideway,regime_market_simple_sideway,152,31,4.9012,7.5927,4.9012,57.24,8.6957,21.3621,-34.9749,8.8446,0.0,0.8175,0.7724,0.6774,0.7097,0.4839,1.0,0.828,1.0
market_mapped,bear,regime_market_mapped_bear,25,5,2.4363,4.1499,2.4363,32.0,3.0992,9.1658,-6.6956,8.4579,0.0,0.88,0.8133,0.8,0.8,0.48,1.0,0.9,1.0
market_mapped,bull,regime_market_mapped_bull,140,28,6.0483,10.6396,6.0483,58.57,7.5394,24.5236,-34.9749,10.9222,0.0,0.8528,0.7901,0.75,0.6786,0.4929,1.0,0.8631,1.0
market_mapped,sideways,regime_market_mapped_sideways,107,22,4.8905,6.9613,4.8905,55.14,9.291,69.1354,-6.5888,30.5439,0.0,0.8195,0.7798,0.6818,0.7273,0.5,1.0,0.8333,1.0
market_ecology,Bear,regime_market_ecology_Bear,20,4,2.7584,4.9357,2.7584,40.0,2.8543,8.3654,-6.6956,7.755,0.0,0.8866,0.8,0.75,0.75,0.45,1.0,0.875,1.0
market_ecology,Bottom,regime_market_ecology_Bottom,2,1,-1.7608,-1.7608,-1.7608,0.0,-4.9883,-4.9883,-3.5216,0.0,0.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0
market_ecology,Bull,regime_market_ecology_Bull,100,20,5.0536,9.1576,5.0536,54.0,6.076,14.7656,-34.9749,6.9218,0.0,0.8469,0.7847,0.75,0.65,0.48,1.0,0.8583,1.0
market_ecology,Capitulation,regime_market_ecology_Capitulation,5,1,1.148,1.0065,1.148,0.0,3.7937,0.0,0.0,5.7399,0.0,0.8537,0.8667,1.0,1.0,0.6,1.0,1.0,1.0
market_ecology,Sideway,regime_market_ecology_Sideway,70,14,5.9147,8.5331,5.9147,62.86,8.2875,59.9301,-6.5888,37.8456,0.0,0.808,0.7778,0.6429,0.75,0.5,1.0,0.8214,1.0
market_ecology,Strong_Bull,regime_market_ecology_Strong_Bull,40,8,8.5349,14.3448,8.5349,70.0,4.6676,0.0,0.0,341.396,0.0,0.8676,0.8035,0.75,0.75,0.525,1.0,0.875,1.0
market_ecology,Unknown,regime_market_ecology_Unknown,35,7,3.2221,5.0638,3.2221,42.86,5.5261,58.3101,-1.8295,39.1829,0.0,0.8167,0.7524,0.7143,0.6429,0.5143,1.0,0.8333,1.0
volatility,high_volatility,regime_volatility_high_volatility,270,54,5.3128,8.7698,5.3128,55.19,11.2104,39.7602,-34.9749,14.3195,0.0,0.839,0.7842,0.7222,0.7037,0.4963,1.0,0.8519,1.0
volatility,low_volatility,regime_volatility_low_volatility,2,1,-1.7608,-1.7608,-1.7608,0.0,-4.9883,-4.9883,-3.5216,0.0,0.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0
structure,compression,regime_structure_compression,245,49,5.4868,9.0564,5.4868,55.51,10.7278,38.0926,-29.7838,15.2641,0.0,0.8516,0.8062,0.7755,0.7245,0.5061,1.0,0.8776,1.0
structure,neutral,regime_structure_neutral,27,6,3.2101,4.6745,3.2101,48.15,3.4123,11.284,-8.9439,6.1054,0.0,0.7631,0.6398,0.3333,0.5833,0.4,1.0,0.6667,1.0
dynamics,mixed,regime_dynamics_mixed,187,38,4.5029,6.6257,4.5029,51.34,9.0826,23.9645,-34.9749,9.7659,0.0,0.8183,0.7528,0.7105,0.6579,0.4895,1.0,0.8421,1.0
dynamics,rotation,regime_dynamics_rotation,25,5,4.7368,7.2268,4.7368,52.0,4.059,17.8064,-6.5888,13.1902,0.0,0.8644,0.89,0.8,0.9,0.52,1.0,0.9,1.0
dynamics,trend,regime_dynamics_trend,60,12,7.8414,15.3247,7.8414,66.67,5.8297,108.429,-4.322,87.3913,0.0,0.9074,0.8574,0.75,0.7917,0.5,1.0,0.875,1.0
