direction,engine,scan_time_kst,symbol,rank_metric,return_30m,return_1h,return_2h,return_4h,label_trap,label_big_winner,feat_5m_volume_ma_ratio,feat_5m_seq_volume_energy_6,feat_5m_seq_return_sum_6,feat_5m_seq_body_energy_6,feat_5m_seq_positive_count_6,feat_5m_first_abnormal_candle_6,feat_5m_compression,feat_5m_release,feat_5m_body_position,feat_5m_range_energy,feat_5m_momentum,feat_15m_current_volume_ratio,feat_15m_current_return_pct,feat_15m_current_body_pct,feat_15m_current_close_position,feat_15m_current_range_pct,feat_15m_current_compression,feat_15m_current_ma20_distance_pct,feat_15m_previous_volume_ratio,feat_15m_previous_return_pct,feat_15m_previous_body_pct,feat_15m_previous_close_position,feat_15m_previous_range_pct,feat_15m_previous_compression,feat_15m_previous_ma20_distance_pct,feat_30m_current_volume_ratio,feat_30m_current_return_pct,feat_30m_current_body_pct,feat_30m_current_close_position,feat_30m_current_range_pct,feat_30m_current_compression,feat_30m_current_ma20_distance_pct,feat_30m_previous_volume_ratio,feat_30m_previous_return_pct,feat_30m_previous_body_pct,feat_30m_previous_close_position,feat_30m_previous_range_pct,feat_30m_previous_compression,feat_30m_previous_ma20_distance_pct,feat_1h_current_volume_ratio,feat_1h_current_return_pct,feat_1h_current_body_pct,feat_1h_current_close_position,feat_1h_current_range_pct,feat_1h_current_compression,feat_1h_current_ma20_distance_pct,feat_1h_previous_volume_ratio,feat_1h_previous_return_pct,feat_1h_previous_body_pct,feat_1h_previous_close_position,feat_1h_previous_range_pct,feat_1h_previous_compression,feat_1h_previous_ma20_distance_pct,feat_2h_current_volume_ratio,feat_2h_current_return_pct,feat_2h_current_body_pct,feat_2h_current_close_position,feat_2h_current_range_pct,feat_2h_current_compression,feat_2h_current_ma20_distance_pct,feat_2h_previous_volume_ratio,feat_2h_previous_return_pct,feat_2h_previous_body_pct,feat_2h_previous_close_position,feat_2h_previous_range_pct,feat_2h_previous_compression,feat_2h_previous_ma20_distance_pct,feat_h4_score,feat_price
long,LONG_CONTINUATION,2026-06-01 00:00:00,币安人生USDT,return_2h,4.3926,3.5822,-2.7421,7.5189,True,True,3.1468,23.1574,6.629,4.7053,4.0,1.0,1.0,0.0,0.8074,23.0224,2.5707156869550025,2.9784,1.9264,1.9264,0.7229,3.2835,0.0,8.91,4.5836,4.0968,4.0968,0.7524,5.5297,0.0,7.6822,4.2324,4.3926,4.3926,0.9689,4.9951,0.0,14.7292,3.7635,4.0987,4.0987,0.8105,7.2246,0.0,10.9246,3.7015,3.5822,3.5822,0.7282,5.533,0.0,12.9682,2.5835,3.2054,3.2054,0.8105,7.1626,0.0,9.6203,4.5452,6.9192,6.9192,0.8598,11.071,0.0,19.2891,2.7586,4.9706,4.9706,0.934,5.6219,0.0,13.266,-1.4204769786350053,0.58359
long,LONG_CONTINUATION,2026-06-01 00:00:00,ALLOUSDT,return_2h,13.3232,2.0391,5.2538,-3.3997,False,True,1.5393,6.061,4.6508,2.8123,5.0,1.0,0.0,0.0,0.7497,10.8062,3.92147928769412,1.8065,4.4411,4.4411,0.8626,5.1486,0.0,7.1536,0.9887,1.2975,1.2975,0.6153,3.2198,0.0,3.3475,3.4226,13.3232,13.3232,0.9327,14.2847,0.0,21.1542,1.1921,3.5934,3.5934,0.7408,4.8865,0.0,8.3431,7.9838,2.0391,2.0391,0.1102,31.9582,0.0,12.0427,1.113,4.8986,4.8986,0.8379,7.9131,0.0,10.462,2.8565,7.0414,7.0414,0.2273,38.6024,0.0,8.3014,0.7029,-2.1271,2.1271,0.2267,10.7287,0.0,1.6891,-1.5377091555234,0.28785
long,LONG_CONTINUATION,2026-06-01 00:00:00,INUSDT,return_2h,1.2296,3.988,3.5924,5.0572,False,True,1.2726,1.7382,-0.1404,1.0586,2.0,1.0,4.0,0.0,0.9333,2.1407,-2.4925037481259302,2.3194,1.2296,1.2296,0.4909,2.9402,1.0,-3.8557,1.5941,-0.0855,0.0855,0.3816,0.8118,0.0,-5.2774,1.7757,1.2296,1.2296,0.4909,2.9402,0.0,-4.7973,3.1146,-3.9729,3.9729,0.0802,4.3527,0.0,-6.3026,2.2971,3.988,3.988,0.6308,6.661,0.0,-4.7153,3.465,-3.0573,3.0573,0.0733,4.8088,0.0,-8.8273,1.9715,0.798,0.798,0.6384,6.5914,0.0,-6.688,0.6793,-3.0257,3.0257,0.0495,4.6743,0.0,-7.8016,-1.209325805071431,0.09468
long,LONG_CONTINUATION,2026-06-01 00:00:00,FORMUSDT,return_2h,3.1286,3.5149,1.8926,3.0514,False,False,0.7664,0.8289,-0.8639,0.9463,1.0,1.0,6.0,0.0,0.9062,1.3367,-2.361319340329825,1.1798,1.8926,1.8926,0.7576,2.5492,1.0,0.5642,1.5271,-0.8046,0.8046,0.1961,1.954,0.0,-1.153,0.6696,3.1286,3.1286,0.9647,3.2831,0.0,2.5149,1.3594,-2.265,2.265,0.1205,3.1333,0.0,-0.3828,0.6738,3.5149,3.5149,0.902,3.9397,0.0,4.1808,1.4465,-2.9974,2.9974,0.084,4.4586,0.0,1.0815,1.4612,0.4121,0.4121,0.8487,4.4586,0.0,8.7309,1.8264,1.9091,1.9091,0.7822,3.8564,0.0,9.3382,-4.598264242690065,0.2638
long,LONG_CONTINUATION,2026-06-01 00:00:00,BILLUSDT,return_2h,1.5226,3.1884,4.0994,5.1796,False,True,0.9137,0.3373,-0.9498,0.3114,2.0,1.0,0.0,0.0,0.2121,0.2847,-1.0799632352941169,0.9568,1.0672,1.0672,0.8145,1.6137,0.0,-1.8304,1.3772,-0.8901,0.8901,0.2767,2.0511,5.0,-3.0811,0.6955,1.5226,1.5226,0.6267,2.824,0.0,-1.9439,0.7802,-1.6387,1.6387,0.2558,2.202,2.0,-3.532,2.7963,3.1884,3.1884,0.7322,5.4919,0.0,2.4895,0.9096,-2.3761,2.3761,0.1673,3.3418,0.0,-0.3062,1.6506,0.7497,0.7497,0.7322,5.3621,0.0,4.3818,0.6004,-2.3449,2.3449,0.3753,4.8263,0.0,4.2178,-4.948999159148299,0.07766
long,LONG_CONTINUATION,2026-06-01 02:00:00,STGUSDT,return_2h,-0.0682,13.5015,19.9454,31.1285,False,True,0.8514,4.5726,2.8798,1.9389,5.0,1.0,1.0,0.0,0.0238,7.6605,3.3519553072625627,0.6676,-0.6478,0.6478,0.5,2.6594,0.0,5.4937,1.2709,2.158,2.158,0.7524,3.6547,0.0,6.9158,1.15,-0.0682,0.0682,0.4786,3.9891,0.0,13.812,1.4486,4.8214,4.8214,0.8424,5.8929,0.0,15.3876,2.6897,13.5015,13.5015,0.8648,17.8998,0.0,31.899,1.6393,6.0332,6.0332,0.898,9.2124,0.0,18.7634,2.9939,20.2673,20.2673,0.8977,25.0723,0.0,44.4816,2.4691,1.5018,1.5018,0.4528,9.304,0.0,24.3354,-5.122049724386964,0.2914
long,LONG_CONTINUATION,2026-06-01 02:00:00,币安人生USDT,return_2h,3.4389,10.3293,10.5502,18.4858,False,True,0.3566,1.3864,0.9132,0.9163,3.0,1.0,2.0,0.0,0.9225,3.2746,-4.320385012031634,0.5254,1.0272,1.0272,0.691,2.1909,1.0,0.1913,0.5884,-0.4096,0.4096,0.7524,1.8564,0.0,-0.5735,0.9178,3.4389,3.4389,0.9239,4.2488,0.0,7.6058,1.6524,-0.0861,0.0861,0.4565,3.0699,0.0,4.8934,1.6738,10.3293,10.3293,0.9721,11.1267,0.0,15.7253,2.8546,-6.1055,6.1055,0.2293,8.633,0.0,5.6964,3.2674,3.5932,3.5932,0.9756,11.9699,0.0,21.4537,4.5452,6.9192,6.9192,0.8598,11.071,0.0,19.2891,-10.733342463390718,0.56258
long,LONG_CONTINUATION,2026-06-01 02:00:00,LABUSDT,return_2h,4.1208,6.0712,4.8906,10.1465,False,True,0.57,1.6094,-2.5555,1.3588,2.0,1.0,0.0,0.0,0.7185,5.2191,-2.0197265352054585,0.6811,3.5229,3.5229,0.727,4.8893,0.0,6.9435,0.7667,-0.9031,0.9031,0.4434,2.9772,0.0,4.1769,0.5222,4.1208,4.1208,0.8402,4.9424,0.0,5.448,0.9375,-2.9203,2.9203,0.1964,6.5854,0.0,0.9716,1.005,6.0712,6.0712,0.7135,8.5538,0.0,4.2235,1.1752,-4.5195,4.5195,0.1964,6.477,0.0,-1.4447,1.092,1.2684,1.2684,0.7511,9.3999,0.0,8.2731,1.4881,14.323,14.323,0.888,16.5995,0.0,8.2343,-21.43995947873401,8.1898
long,LONG_CONTINUATION,2026-06-01 02:00:00,GUAUSDT,return_2h,6.5749,5.79,3.879,-3.2192,False,True,0.3629,2.658,2.6405,2.0702,4.0,1.0,0.0,0.0,0.3663,9.2982,-2.559129717559462,1.1654,2.9234,2.9234,0.6014,6.336,0.0,-1.9963,0.7471,0.8373,0.8373,0.5534,2.902,0.0,-4.7954,1.8555,6.5749,6.5749,0.9266,8.0537,0.0,3.8853,1.4816,2.1022,2.1022,0.7641,5.5633,0.0,-2.0414,2.3614,5.79,5.79,0.6655,10.033,0.0,7.141,2.762,-3.4699,3.4699,0.3708,10.8378,0.0,2.0276,2.1698,2.1192,2.1192,0.7479,12.8473,0.0,9.9271,2.6489,-3.2008,3.2008,0.2263,9.2088,0.0,8.7172,-10.943835989253502,0.9048
long,LONG_CONTINUATION,2026-06-01 02:00:00,UBUSDT,return_2h,-0.1874,5.3889,12.0021,15.6865,False,True,0.4294,0.8152,-2.6972,0.9933,2.0,1.0,0.0,0.0,0.4181,5.5447,-1.4991222396747594,0.4146,-0.0761,0.0761,0.6345,2.0033,0.0,5.1081,0.9121,0.2349,0.2349,0.6677,3.9573,0.0,5.5361,0.4864,-0.1874,0.1874,0.3898,2.9756,0.0,3.917,1.0485,-1.0089,1.0089,0.4249,6.1406,0.0,4.2867,0.7119,5.3889,5.3889,0.7888,8.5403,0.0,7.7824,1.3799,-3.9442,3.9442,0.3432,7.3764,0.0,2.1829,1.0511,1.2322,1.2322,0.8164,9.4413,0.0,-0.347,2.7007,13.4976,13.4976,0.8725,20.0868,0.0,-1.5166,-19.15113936361133,0.17059
