direction,feature,winner_mean,loser_mean,delta,effect_size,p_approx,significant,winner_favors_higher,importance_rank
long,1h_current_return_pct,9.3812,2.8242,6.557,1.3617,0.0,True,True,1
long,1h_current_body_pct,9.3812,3.1132,6.268,1.3264,0.0,True,True,2
long,1h_current_range_pct,13.9972,6.0594,7.9378,1.0721,0.0,True,True,3
long,2h_current_body_pct,12.0459,5.1694,6.8765,0.896,0.0,True,True,4
long,2h_current_range_pct,18.4979,9.3942,9.1036,0.8623,0.0,True,True,5
long,2h_current_return_pct,11.5193,4.4929,7.0264,0.8498,0.0,True,True,6
long,1h_current_ma20_distance_pct,19.8905,9.6478,10.2427,0.7333,0.0,True,True,7
long,2h_current_ma20_distance_pct,26.1883,12.6859,13.5024,0.6655,0.0,True,True,8
long,1h_current_close_position,0.8033,0.6739,0.1294,0.6606,0.0,True,True,9
long,30m_current_range_pct,9.0531,4.7374,4.3157,0.6503,0.0,True,True,10
long,30m_current_return_pct,5.0596,2.143,2.9166,0.6425,0.0,True,True,11
long,30m_current_body_pct,5.2531,2.516,2.7372,0.6323,0.0,True,True,12
long,30m_previous_range_pct,5.8365,3.8922,1.9443,0.5576,0.0,True,True,13
long,30m_current_ma20_distance_pct,11.7811,6.4303,5.3508,0.5358,0.0,True,True,14
long,15m_previous_range_pct,4.2172,2.7766,1.4405,0.5328,0.0,True,True,15
long,15m_current_range_pct,5.7623,3.3871,2.3752,0.5251,0.0,True,True,16
long,15m_current_body_pct,3.3628,1.747,1.6158,0.5063,0.0,True,True,17
long,1h_previous_range_pct,8.5277,6.0253,2.5024,0.4798,0.0,True,True,18
long,15m_previous_body_pct,2.2953,1.3663,0.929,0.4584,0.0,True,True,19
long,2h_previous_range_pct,11.153,7.6182,3.5348,0.45,0.0,True,True,20
long,30m_previous_body_pct,2.9229,1.8627,1.0602,0.4322,0.0,True,True,21
long,2h_current_close_position,0.817,0.7409,0.0762,0.4191,0.0001,True,True,22
long,5m_seq_body_energy_6,2.8575,1.8812,0.9763,0.4133,0.0001,True,True,23
long,15m_current_ma20_distance_pct,6.6205,3.8118,2.8087,0.4035,0.0001,True,True,24
long,1h_previous_body_pct,4.7384,3.1319,1.6064,0.4026,0.0001,True,True,25
long,1h_current_volume_ratio,5.3374,2.1078,3.2296,0.4006,0.0002,True,True,26
long,15m_current_return_pct,2.8304,1.479,1.3515,0.3859,0.0003,True,True,27
long,2h_previous_body_pct,5.6044,3.5401,2.0643,0.3621,0.0006,True,True,28
long,5m_compression,5.1844,10.0447,-4.8603,-0.3571,0.0007,True,False,29
long,2h_previous_ma20_distance_pct,15.5934,8.9527,6.6407,0.347,0.001,True,True,30
long,30m_current_close_position,0.7337,0.6519,0.0818,0.3428,0.0012,True,True,31
long,30m_current_volume_ratio,4.4204,1.9133,2.5071,0.3295,0.0018,True,True,32
long,15m_current_compression,1.7765,3.4749,-1.6983,-0.325,0.0021,True,False,33
long,2h_current_volume_ratio,5.5526,2.1866,3.366,0.3178,0.0026,True,True,34
long,1h_previous_ma20_distance_pct,11.1705,7.3255,3.845,0.3104,0.0033,True,True,35
long,30m_previous_ma20_distance_pct,7.3584,4.7455,2.6129,0.3045,0.004,True,True,36
