direction,feature,winner_mean,loser_mean,delta,effect_size,p_approx,significant,winner_favors_higher,importance_rank
short,1h_current_return_pct,-8.1284,-1.5674,-6.561,-1.2478,0.0,True,False,1
short,1h_current_body_pct,8.1284,3.1933,4.9351,1.0121,0.0,True,True,2
short,2h_current_return_pct,-7.2518,0.2533,-7.5051,-0.8614,0.0,True,False,3
short,2h_current_close_position,0.1849,0.3509,-0.1659,-0.8431,0.0,True,False,4
short,1h_current_range_pct,12.9558,7.3396,5.6162,0.7728,0.0,True,True,5
short,30m_current_return_pct,-4.5337,-0.9488,-3.5849,-0.7247,0.0,True,False,6
short,1h_current_close_position,0.1954,0.3351,-0.1397,-0.7232,0.0,True,False,7
short,15m_current_return_pct,-2.8359,-0.4183,-2.4177,-0.7103,0.0,True,False,8
short,30m_current_body_pct,5.2866,2.3232,2.9633,0.6885,0.0,True,True,9
short,2h_current_range_pct,17.5086,11.2604,6.2482,0.6213,0.0,True,True,10
short,15m_current_body_pct,3.4513,1.7949,1.6564,0.581,0.0,True,True,11
short,2h_current_body_pct,9.044,4.9806,4.0634,0.5808,0.0,True,True,12
short,30m_current_range_pct,8.8941,5.4831,3.4109,0.5662,0.0,True,True,13
short,15m_current_range_pct,6.2918,3.93,2.3619,0.5639,0.0,True,True,14
short,15m_current_close_position,0.3292,0.4692,-0.14,-0.5214,0.0,True,False,15
short,30m_current_close_position,0.3091,0.4255,-0.1164,-0.4911,0.0,True,False,16
short,15m_previous_range_pct,5.0208,3.4814,1.5394,0.4281,0.0001,True,True,17
short,5m_compression,2.4413,6.5698,-4.1285,-0.4127,0.0001,True,False,18
short,15m_previous_body_pct,2.4887,1.5847,0.904,0.3963,0.0002,True,True,19
short,15m_previous_compression,0.7709,2.3575,-1.5866,-0.381,0.0003,True,False,20
short,1h_current_ma20_distance_pct,1.9633,6.786,-4.8226,-0.3801,0.0003,True,False,21
short,30m_previous_range_pct,7.1608,5.1871,1.9737,0.3801,0.0003,True,True,22
short,15m_current_compression,0.7318,2.1788,-1.4469,-0.3763,0.0004,True,False,23
short,30m_previous_compression,0.2458,1.162,-0.9162,-0.3569,0.0007,True,False,24
short,1h_previous_range_pct,10.5103,8.0491,2.4612,0.3202,0.0024,True,True,25
short,2h_previous_range_pct,13.1813,9.9069,3.2744,0.3066,0.0037,True,True,26
short,15m_previous_close_position,0.5003,0.5858,-0.0855,-0.3048,0.0039,True,False,27
short,30m_current_compression,0.1732,0.743,-0.5698,-0.3011,0.0044,True,False,28
short,30m_previous_body_pct,3.7352,2.6794,1.0558,0.2783,0.0085,True,True,29
short,2h_current_ma20_distance_pct,6.2315,11.7115,-5.48,-0.2748,0.0093,True,False,30
short,1h_previous_body_pct,5.7824,4.1936,1.5888,0.2676,0.0114,True,True,31
short,15m_current_ma20_distance_pct,0.3569,2.5439,-2.187,-0.2599,0.014,True,False,32
short,5m_seq_return_sum_6,-0.8285,0.5024,-1.3308,-0.2586,0.0144,True,False,33
short,30m_previous_close_position,0.5088,0.582,-0.0732,-0.2499,0.0181,True,False,34
short,2h_previous_return_pct,4.5714,2.6304,1.9409,0.2434,0.0213,True,True,35
short,30m_current_ma20_distance_pct,2.012,4.5765,-2.5645,-0.234,0.0268,True,False,36
short,2h_previous_body_pct,6.3576,4.7749,1.5827,0.2337,0.0271,True,True,37
short,1h_previous_close_position,0.5088,0.5737,-0.0649,-0.2166,0.0404,True,False,38
short,1h_previous_compression,0.067,0.2849,-0.2179,-0.2094,0.0476,True,False,39
short,5m_body_position,0.3966,0.457,-0.0604,-0.2071,0.05,False,False,40
short,5m_seq_positive_count_6,2.8883,3.1453,-0.257,-0.2016,0.0565,False,False,41
short,1h_current_compression,0.0279,0.1564,-0.1285,-0.1956,0.0642,False,False,42
short,1h_current_volume_ratio,2.4958,1.9853,0.5105,0.1953,0.0647,False,True,43
short,2h_previous_compression,0.0279,0.1285,-0.1006,-0.1933,0.0675,False,False,44
short,2h_current_compression,0.0112,0.0503,-0.0391,-0.1633,0.1223,False,False,45
short,2h_previous_ma20_distance_pct,16.1771,12.8328,3.3442,0.1512,0.1527,False,True,46
short,5m_range_energy,16.9519,12.7055,4.2464,0.1497,0.1566,False,True,47
short,1h_previous_ma20_distance_pct,11.7381,9.4525,2.2856,0.1476,0.1626,False,True,48
short,5m_seq_body_energy_6,2.2103,1.857,0.3534,0.1442,0.1724,False,True,49
short,15m_previous_return_pct,0.1494,0.59,-0.4406,-0.1439,0.1733,False,False,50
short,5m_volume_ma_ratio,2.1655,1.7187,0.4468,0.1437,0.174,False,True,51
short,30m_previous_volume_ratio,1.7543,2.0894,-0.335,-0.1265,0.2314,False,False,52
short,1h_previous_return_pct,0.9038,1.8627,-0.9589,-0.1252,0.2361,False,False,53
short,5m_first_abnormal_candle_6,0.8212,0.7709,0.0503,0.125,0.2368,False,True,54
short,30m_previous_return_pct,0.3619,0.9456,-0.5837,-0.1181,0.2641,False,False,55
short,15m_current_volume_ratio,2.3195,1.9661,0.3534,0.116,0.2723,False,True,56
short,2h_previous_volume_ratio,2.343,1.8646,0.4784,0.1131,0.2847,False,True,57
short,30m_current_volume_ratio,2.4221,2.0961,0.326,0.1111,0.2934,False,True,58
short,30m_previous_ma20_distance_pct,7.4256,6.1858,1.2398,0.1082,0.3061,False,True,59
short,5m_momentum,0.3172,0.7639,-0.4467,-0.105,0.3207,False,False,60
short,1h_previous_volume_ratio,1.8849,2.1626,-0.2777,-0.0977,0.3552,False,False,61
short,5m_seq_volume_energy_6,6.2933,5.7017,0.5916,0.0476,0.6528,False,True,62
short,2h_current_volume_ratio,2.7149,2.5723,0.1426,0.0362,0.7322,False,True,63
short,15m_previous_ma20_distance_pct,3.5749,3.3108,0.2641,0.0308,0.7707,False,True,64
short,5m_release,0.0782,0.0838,-0.0056,-0.0205,0.8464,False,False,65
short,h4_score,-9.049,-9.2828,0.2338,0.0204,0.8467,False,True,66
short,2h_previous_close_position,0.5815,0.5764,0.0051,0.0178,0.8659,False,True,67
short,15m_previous_volume_ratio,1.6122,1.6111,0.0011,0.0005,0.9959,False,True,68
