scan_time_kst,cumulative_return_2h,open_positions,long_slots,short_slots,long_pass,short_pass
2026-06-01 00:00:00,0.0,2,1,1,1,1
2026-06-01 02:00:00,0.0,2,2,2,1,1
2026-06-01 04:00:00,0.0,0,2,2,0,0
2026-06-01 06:00:00,0.0,0,2,2,0,0
2026-06-01 08:00:00,0.0,0,2,2,0,0
2026-06-01 10:00:00,0.0,3,3,3,2,2
2026-06-01 12:00:00,24.6202,0,3,3,0,0
2026-06-01 14:00:00,24.6202,0,3,3,0,0
2026-06-01 16:00:00,24.6202,0,3,3,0,0
2026-06-01 18:00:00,24.6202,0,3,3,1,1
2026-06-01 20:00:00,24.6202,0,3,3,0,0
2026-06-01 22:00:00,24.6202,0,3,3,1,1
2026-06-02 00:00:00,24.6202,1,3,3,1,1
2026-06-02 02:00:00,51.6562,0,3,3,1,1
2026-06-02 04:00:00,51.6562,0,3,3,0,0
2026-06-02 06:00:00,51.6562,0,3,3,0,0
2026-06-02 08:00:00,51.6562,0,3,3,0,0
2026-06-02 10:00:00,51.6562,0,3,3,1,1
2026-06-02 12:00:00,51.6562,0,3,3,0,0
2026-06-02 14:00:00,51.6562,0,3,3,0,0
2026-06-02 16:00:00,51.6562,0,3,3,1,1
2026-06-02 18:00:00,51.6562,1,3,3,1,1
2026-06-02 20:00:00,86.1833,0,3,3,0,0
2026-06-02 22:00:00,86.1833,0,3,3,0,0
2026-06-03 00:00:00,86.1833,0,3,3,2,2
2026-06-03 02:00:00,86.1833,0,3,3,0,0
2026-06-03 04:00:00,86.1833,0,3,3,0,0
2026-06-03 06:00:00,86.1833,0,3,3,0,1
2026-06-03 08:00:00,86.1833,0,3,3,0,0
2026-06-03 10:00:00,86.1833,1,3,3,1,1
2026-06-03 12:00:00,109.7735,0,3,3,0,0
2026-06-03 14:00:00,109.7735,0,3,3,0,1
2026-06-03 16:00:00,109.7735,0,3,3,1,1
2026-06-03 18:00:00,109.7735,0,3,3,1,1
2026-06-03 20:00:00,109.7735,0,3,3,1,1
2026-06-03 22:00:00,109.7735,0,3,3,1,1
2026-06-04 00:00:00,109.7735,0,3,3,1,1
2026-06-04 02:00:00,109.7735,0,3,3,1,1
2026-06-04 04:00:00,109.7735,0,3,3,0,0
2026-06-04 06:00:00,109.7735,0,3,3,1,1
2026-06-04 08:00:00,109.7735,0,3,3,0,0
2026-06-04 10:00:00,109.7735,0,3,3,0,0
2026-06-04 12:00:00,109.7735,0,3,3,0,0
2026-06-04 14:00:00,109.7735,0,3,3,1,0
2026-06-04 16:00:00,109.7735,0,3,3,0,0
2026-06-04 18:00:00,109.7735,0,3,3,0,0
2026-06-04 20:00:00,109.7735,0,3,3,0,0
2026-06-04 22:00:00,109.7735,0,3,3,1,1
2026-06-05 00:00:00,109.7735,0,3,3,0,0
2026-06-05 02:00:00,109.7735,0,3,3,0,0
2026-06-05 04:00:00,109.7735,0,3,3,0,0
2026-06-05 06:00:00,109.7735,0,3,3,0,0
2026-06-05 08:00:00,109.7735,0,3,3,0,0
2026-06-05 10:00:00,109.7735,0,3,3,0,0
2026-06-05 12:00:00,109.7735,0,3,3,0,0
2026-06-05 14:00:00,109.7735,0,3,3,0,0
2026-06-05 16:00:00,109.7735,0,3,3,0,0
2026-06-05 18:00:00,109.7735,0,3,3,0,0
2026-06-05 20:00:00,109.7735,0,3,3,0,0
2026-06-05 22:00:00,109.7735,0,3,3,0,0
2026-06-06 00:00:00,109.7735,0,3,3,0,0
2026-06-06 02:00:00,109.7735,0,3,3,0,0
2026-06-06 04:00:00,109.7735,0,3,3,0,0
2026-06-06 06:00:00,109.7735,0,3,3,0,0
2026-06-06 08:00:00,109.7735,0,3,3,0,0
2026-06-06 10:00:00,109.7735,0,3,3,0,0
2026-06-06 12:00:00,109.7735,0,3,3,0,0
2026-06-06 14:00:00,109.7735,0,3,3,0,0
2026-06-06 16:00:00,109.7735,0,3,3,0,0
2026-06-06 18:00:00,109.7735,0,3,3,1,1
2026-06-06 20:00:00,109.7735,0,3,3,0,0
2026-06-06 22:00:00,109.7735,0,3,3,1,1
2026-06-07 00:00:00,109.7735,0,3,3,0,0
2026-06-07 02:00:00,109.7735,0,3,3,0,0
2026-06-07 04:00:00,109.7735,0,3,3,2,2
2026-06-07 06:00:00,109.7735,0,3,3,0,0
2026-06-07 08:00:00,109.7735,0,3,3,0,0
2026-06-07 10:00:00,109.7735,0,3,3,1,1
2026-06-07 12:00:00,109.7735,0,3,3,1,1
2026-06-07 14:00:00,109.7735,0,3,3,0,0
2026-06-07 16:00:00,109.7735,0,3,3,0,0
2026-06-07 18:00:00,109.7735,1,3,3,2,2
2026-06-07 20:00:00,138.9326,1,3,3,1,1
2026-06-07 22:00:00,174.0086,0,3,3,0,0
2026-06-08 00:00:00,174.0086,0,3,3,1,1
2026-06-08 02:00:00,174.0086,0,3,3,1,1
2026-06-08 04:00:00,174.0086,0,3,3,1,1
2026-06-08 06:00:00,174.0086,0,3,3,0,0
2026-06-08 08:00:00,174.0086,0,3,3,0,1
2026-06-08 10:00:00,174.0086,0,3,3,0,0
2026-06-08 12:00:00,174.0086,0,3,3,0,2
2026-06-08 14:00:00,174.0086,0,3,3,0,0
2026-06-08 16:00:00,174.0086,0,3,3,0,0
2026-06-08 18:00:00,174.0086,0,3,3,1,1
2026-06-08 20:00:00,174.0086,0,3,3,0,1
2026-06-08 22:00:00,174.0086,0,3,3,0,0
2026-06-09 00:00:00,174.0086,0,3,3,0,0
2026-06-09 02:00:00,174.0086,0,3,3,0,0
2026-06-09 04:00:00,174.0086,0,3,3,0,0
2026-06-09 06:00:00,174.0086,0,3,3,0,0
2026-06-09 08:00:00,174.0086,0,3,3,0,0
2026-06-09 10:00:00,174.0086,0,3,3,0,0
2026-06-09 12:00:00,174.0086,0,3,3,0,0
2026-06-09 14:00:00,174.0086,0,3,3,0,0
2026-06-09 16:00:00,174.0086,0,3,3,1,1
2026-06-09 18:00:00,174.0086,0,3,3,0,0
2026-06-09 20:00:00,174.0086,0,3,3,0,0
2026-06-09 22:00:00,174.0086,0,3,3,1,1
2026-06-10 00:00:00,174.0086,0,3,3,0,0
2026-06-10 02:00:00,174.0086,0,3,3,0,0
2026-06-10 04:00:00,174.0086,0,3,3,0,0
2026-06-10 06:00:00,174.0086,0,3,3,0,0
2026-06-10 08:00:00,174.0086,0,3,3,0,0
2026-06-10 10:00:00,174.0086,0,3,3,2,2
2026-06-10 12:00:00,174.0086,0,3,3,1,1
2026-06-10 14:00:00,174.0086,0,3,3,0,0
2026-06-10 16:00:00,174.0086,1,3,3,1,1
2026-06-10 18:00:00,221.6091,0,3,3,0,0
2026-06-10 20:00:00,221.6091,0,3,3,0,0
2026-06-10 22:00:00,221.6091,0,3,3,0,0
2026-06-11 00:00:00,221.6091,0,3,3,1,1
2026-06-11 02:00:00,221.6091,0,3,3,1,1
2026-06-11 04:00:00,221.6091,0,3,3,1,1
2026-06-11 06:00:00,221.6091,0,3,3,0,1
2026-06-11 08:00:00,221.6091,0,3,3,0,0
2026-06-11 10:00:00,221.6091,0,3,3,2,2
2026-06-11 12:00:00,221.6091,0,3,3,2,2
2026-06-11 14:00:00,221.6091,0,3,3,1,1
2026-06-11 16:00:00,221.6091,0,3,3,0,0
2026-06-11 18:00:00,221.6091,0,3,3,0,0
2026-06-11 20:00:00,221.6091,0,3,3,0,0
2026-06-11 22:00:00,221.6091,0,3,3,0,0
2026-06-12 00:00:00,221.6091,0,3,3,0,0
2026-06-12 02:00:00,221.6091,0,3,3,2,2
2026-06-12 04:00:00,221.6091,0,3,3,1,1
2026-06-12 06:00:00,221.6091,0,3,3,2,2
2026-06-12 08:00:00,221.6091,0,3,3,2,2
2026-06-12 10:00:00,221.6091,0,3,3,1,2
2026-06-12 12:00:00,221.6091,0,3,3,0,0
2026-06-12 14:00:00,221.6091,0,3,3,1,1
2026-06-12 16:00:00,221.6091,0,3,3,0,0
2026-06-12 18:00:00,221.6091,0,3,3,1,1
2026-06-12 20:00:00,221.6091,0,3,3,1,1
2026-06-12 22:00:00,221.6091,0,3,3,0,0
2026-06-13 00:00:00,221.6091,0,3,3,0,0
2026-06-13 02:00:00,221.6091,0,3,3,1,1
2026-06-13 04:00:00,221.6091,0,3,3,0,0
2026-06-13 06:00:00,221.6091,0,3,3,0,0
2026-06-13 08:00:00,221.6091,0,3,3,0,0
2026-06-13 10:00:00,221.6091,0,3,3,0,0
2026-06-13 12:00:00,221.6091,0,3,3,0,0
2026-06-13 14:00:00,221.6091,0,3,3,0,0
2026-06-13 16:00:00,221.6091,0,3,3,0,0
2026-06-13 18:00:00,221.6091,0,3,3,0,0
2026-06-13 20:00:00,221.6091,0,3,3,0,0
2026-06-13 22:00:00,221.6091,0,3,3,1,1
2026-06-14 00:00:00,221.6091,0,3,3,1,1
2026-06-14 02:00:00,221.6091,0,3,3,0,0
2026-06-14 04:00:00,221.6091,0,3,3,0,0
2026-06-14 06:00:00,221.6091,0,3,3,0,0
2026-06-14 08:00:00,221.6091,0,3,3,1,1
2026-06-14 10:00:00,221.6091,0,3,3,0,0
2026-06-14 12:00:00,221.6091,0,3,3,1,1
2026-06-14 14:00:00,221.6091,0,3,3,0,0
2026-06-14 16:00:00,221.6091,0,3,3,0,0
2026-06-14 18:00:00,221.6091,0,3,3,0,0
2026-06-14 20:00:00,221.6091,0,3,3,0,0
2026-06-14 22:00:00,221.6091,1,3,3,1,1
2026-06-15 00:00:00,234.3598,0,3,3,0,0
2026-06-15 02:00:00,234.3598,0,3,3,0,0
2026-06-15 04:00:00,234.3598,0,3,3,0,0
2026-06-15 06:00:00,234.3598,0,3,3,2,2
2026-06-15 08:00:00,234.3598,0,3,3,0,0
2026-06-15 10:00:00,234.3598,0,3,3,0,0
2026-06-15 12:00:00,234.3598,0,3,3,1,1
2026-06-15 14:00:00,234.3598,0,3,3,0,0
2026-06-15 16:00:00,234.3598,0,3,3,3,3
2026-06-15 18:00:00,234.3598,0,3,3,1,1
2026-06-15 20:00:00,234.3598,0,3,3,1,1
2026-06-15 22:00:00,234.3598,0,3,3,0,0
