scan_time_kst,split,direction,symbol,selection,entry_score,execution_score,return_2h
2026-06-01 10:00:00,train,long,HUSDT,execution_top2,75.41,5.9631,24.6202
2026-06-01 10:00:00,train,long,LABUSDT,execution_top2,74.85,-8.8676,-7.3123
2026-06-01 10:00:00,train,short,LABUSDT,execution_top2,81.04,5.7176,7.3123
2026-06-01 10:00:00,train,short,HUSDT,execution_top2,58.68,-4.1131,-24.6202
2026-06-03 00:00:00,train,long,ALLOUSDT,execution_top2,66.58,-0.1849,4.5383
2026-06-03 00:00:00,train,long,UBUSDT,execution_top2,51.58,-2.1965,-30.5911
2026-06-03 00:00:00,train,short,UBUSDT,execution_top2,70.24,3.9613,30.5911
2026-06-03 00:00:00,train,short,ALLOUSDT,execution_top2,50.51,1.0022,-4.5383
2026-06-07 04:00:00,train,long,BTWUSDT,execution_top2,61.16,8.3117,25.7415
2026-06-07 04:00:00,train,long,HEIUSDT,execution_top2,49.64,-0.4948,-29.8637
2026-06-07 04:00:00,train,short,HEIUSDT,execution_top2,66.51,1.4265,29.8637
2026-06-07 04:00:00,train,short,BTWUSDT,execution_top2,49.61,-6.515,-25.7415
2026-06-07 18:00:00,train,long,HOMEUSDT,execution_top2,68.08,-6.9319,-29.1591
2026-06-07 18:00:00,train,long,BTWUSDT,execution_top2,61.38,-6.9413,-18.4017
2026-06-07 18:00:00,train,short,HOMEUSDT,execution_top2,79.6,3.7282,29.1591
2026-06-07 18:00:00,train,short,BTWUSDT,execution_top2,74.36,3.6792,18.4017
2026-06-08 12:00:00,train,short,EPICUSDT,execution_top2,53.75,1.8816,5.1965
2026-06-08 12:00:00,train,short,ESPORTSUSDT,execution_top2,69.65,0.1753,13.1287
2026-06-10 10:00:00,train,long,BTWUSDT,execution_top2,77.77,6.2884,-10.1281
2026-06-10 10:00:00,train,long,HUSDT,execution_top2,54.48,-2.2151,-8.4171
2026-06-10 10:00:00,train,short,HUSDT,execution_top2,68.16,3.4771,8.4171
2026-06-10 10:00:00,train,short,BTWUSDT,execution_top2,70.4,-4.5249,10.1281
2026-06-11 10:00:00,blind,long,CLOUSDT,execution_top2,70.87,4.1368,19.2049
2026-06-11 10:00:00,blind,long,AIOUSDT,execution_top2,76.06,3.1088,37.8528
2026-06-11 10:00:00,blind,short,AIOUSDT,execution_top2,67.1,-1.3989,-37.8528
2026-06-11 10:00:00,blind,short,CLOUSDT,execution_top2,60.66,-2.404,-19.2049
2026-06-11 12:00:00,blind,long,AIOUSDT,execution_top2,47.54,-3.3031,-18.5269
2026-06-11 12:00:00,blind,long,AINUSDT,execution_top2,59.65,-4.63,9.9486
2026-06-11 12:00:00,blind,short,AIOUSDT,execution_top2,65.04,5.0877,18.5269
2026-06-11 12:00:00,blind,short,AINUSDT,execution_top2,47.56,0.6666,-9.9486
2026-06-12 02:00:00,blind,long,ESPORTSUSDT,execution_top2,74.29,2.6949,31.9837
2026-06-12 02:00:00,blind,long,VELVETUSDT,execution_top2,74.58,1.7698,48.7511
2026-06-12 02:00:00,blind,short,VELVETUSDT,execution_top2,68.13,-0.8045,-48.7511
2026-06-12 02:00:00,blind,short,ESPORTSUSDT,execution_top2,66.55,-1.2403,-31.9837
2026-06-12 06:00:00,blind,long,ESPORTSUSDT,execution_top2,57.53,-0.6398,37.5533
2026-06-12 06:00:00,blind,long,VELVETUSDT,execution_top2,55.89,-0.7927,1.3267
2026-06-12 06:00:00,blind,short,VELVETUSDT,execution_top2,69.22,1.769,-1.3267
2026-06-12 06:00:00,blind,short,ESPORTSUSDT,execution_top2,53.84,0.9382,-37.5533
2026-06-12 08:00:00,blind,long,BEATUSDT,execution_top2,52.77,-0.6518,-11.1725
2026-06-12 08:00:00,blind,long,ESPORTSUSDT,execution_top2,55.86,-10.0815,-17.5793
2026-06-12 08:00:00,blind,short,ESPORTSUSDT,execution_top2,74.2,6.9315,17.5793
2026-06-12 08:00:00,blind,short,BEATUSDT,execution_top2,68.18,1.341,11.1725
2026-06-12 10:00:00,blind,short,ESPORTSUSDT,execution_top2,82.11,3.0041,37.4748
2026-06-12 10:00:00,blind,short,UBUSDT,execution_top2,67.28,-0.3229,12.6745
2026-06-15 06:00:00,blind,long,OPGUSDT,execution_top2,79.55,1.6375,32.5249
2026-06-15 06:00:00,blind,long,EVAAUSDT,execution_top2,45.62,-5.1494,-8.0139
2026-06-15 06:00:00,blind,short,EVAAUSDT,execution_top2,61.62,1.25,8.0139
2026-06-15 06:00:00,blind,short,OPGUSDT,execution_top2,75.55,-0.4697,-32.5249
2026-06-15 16:00:00,blind,long,GWEIUSDT,execution_top2,53.26,-0.5325,-11.1152
2026-06-15 16:00:00,blind,long,BEATUSDT,execution_top2,50.88,-0.6428,-17.0669
2026-06-15 16:00:00,blind,short,JELLYJELLYUSDT,execution_top2,83.82,7.8322,30.7151
2026-06-15 16:00:00,blind,short,GWEIUSDT,execution_top2,64.01,2.2873,11.1152
