feature,threshold,operator,pass_count,fail_count,winner_ratio_pass_pct,loser_ratio_pass_pct,winner_ratio_fail_pct,loser_ratio_fail_pct,precision,recall,f1,lift,odds_ratio,avg_return_2h_pass,avg_return_2h_fail,avg_return_4h_pass,avg_return_4h_fail,win_rate_pass_pct,expected_return_lift_2h,direction,use_in_filter,filter_direction
15m_current_compression,0.0,lte,488,409,27.87,17.83,10.51,89.49,0.2787,0.7598,0.4078,1.3966,13.3055,6.4189,3.5113,6.7391,3.7979,65.57,2.9077,long,True,long
1h_previous_range_pct,9.10054,gte,176,721,40.91,18.18,14.84,85.16,0.4091,0.4022,0.4056,2.05,12.9112,8.4804,4.2663,8.8183,4.5631,69.32,4.2141,long,True,long
5m_compression,0.0,lte,342,555,30.41,16.67,13.51,86.49,0.3041,0.581,0.3992,1.5239,11.6772,6.7086,4.0976,6.7131,4.5876,65.79,2.611,long,True,long
15m_previous_compression,0.0,lte,490,407,25.31,18.78,13.51,86.49,0.2531,0.6927,0.3707,1.2681,8.6261,6.0247,3.9716,6.4001,4.1915,63.88,2.0531,long,True,long
30m_previous_compression,0.0,lte,652,245,23.47,19.48,10.61,89.39,0.2347,0.8547,0.3682,1.1759,10.1475,5.584,3.7869,6.0264,3.7258,59.66,1.797,long,True,long
30m_current_compression,0.0,lte,657,240,23.14,19.79,11.25,88.75,0.2314,0.8492,0.3636,1.1594,9.2239,5.6512,3.5655,6.0518,3.6083,61.8,2.0856,long,True,long
15m_previous_range_pct,5.085072,gte,130,767,42.31,13.85,16.17,83.83,0.4231,0.3073,0.356,2.1201,15.8445,9.0128,4.4288,9.8239,4.6479,74.62,4.5841,long,True,long
2h_current_close_position,0.8,gte,509,388,23.97,14.73,14.69,85.31,0.2397,0.6816,0.3547,1.2011,9.4461,6.2981,3.5124,7.0086,3.2852,63.65,2.7857,long,True,long
2h_previous_ma20_distance_pct,21.61375,gte,144,753,39.58,17.36,16.2,83.8,0.3958,0.3184,0.3529,1.9836,11.7925,7.5889,4.6159,8.5771,4.7901,66.67,2.9731,long,True,long
1h_current_close_position,0.044206,gte,896,1,19.98,19.87,0.0,100.0,0.1998,1.0,0.333,1.0011,0.0,5.1018,-2.6292,5.4085,-3.9537,56.36,7.731,long,False,long
1h_current_compression,17.1,lte,896,1,19.98,19.87,0.0,100.0,0.1998,1.0,0.333,1.0011,0.0,5.0994,-0.4881,5.4057,-1.4455,56.36,5.5875,long,False,long
15m_current_volume_ratio,0.1634,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
15m_previous_close_position,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
1h_previous_compression,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
2h_current_compression,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
2h_previous_close_position,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
2h_previous_compression,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
2h_previous_volume_ratio,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
30m_current_close_position,0.0079,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
30m_previous_close_position,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
5m_body_position,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
5m_first_abnormal_candle_6,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
5m_release,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
5m_seq_positive_count_6,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long,False,long
