condition_id,feature,combined_score,shap_mean_abs,gain_importance,permutation_importance
bear_leader,ctx_rank_5m_release,0.242252,0.807505,0,0
bear_leader,ctx_rank_5m_compression,0.037048,0.123494,0,0
bear_leader,direction_confidence,0.036337,0.121125,0,0
bear_leader,entry_score,0.029592,0.098641,0,0
bear_leader,dna_2h_previous_volume_ratio,0.025054,0.083512,0,0
bear_leader,a6_formula_score,0.016243,0.054144,0,0
bear_leader,dna_15m_current_range_pct,0.014218,0.047394,0,0
bear_leader,cluster_top_score,0.012426,0.04142,0,0
bear_leader,meta_derived_atr_expansion,0.012086,0.040287,0,0
bear_leader,dna_derived_breakout_flag,0.011844,0.039481,0,0
bear_leader,dna_5m_release,0.011477,0.038256,0,0
bear_leader,dna_derived_atr_expansion,0.010598,0.035327,0,0
bear_leader,dna_1h_current_return_pct,0.009428,0.031427,0,0
bear_leader,meta_derived_breakout_flag,0.009271,0.030904,0,0
bear_leader,ctx_rank_1h_current_return_pct,0.009018,0.030061,0,0
bear_leader,exec_obs_volume_surge,0.007792,0.025975,0,0
bear_leader,ctx_rank_2h_current_return_pct,0.007586,0.025287,0,0
bear_leader,state_5m_Release,0.007388,0.024627,0,0
bear_leader,dna_15m_current_close_position,0.00718,0.023932,0,0
bear_leader,search_rank_pct_return,0.007171,0.023904,0,0
breakout,ctx_rank_5m_release,0.226975,0.756585,0,0
breakout,direction_confidence,0.038604,0.128681,0,0
breakout,ctx_rank_5m_compression,0.03804,0.126799,0,0
breakout,dna_2h_previous_volume_ratio,0.031116,0.103719,0,0
breakout,entry_score,0.03017,0.100566,0,0
breakout,dna_5m_release,0.019337,0.064456,0,0
breakout,meta_derived_atr_expansion,0.018843,0.06281,0,0
breakout,dna_derived_atr_expansion,0.016834,0.056114,0,0
breakout,dna_15m_current_range_pct,0.016687,0.055624,0,0
breakout,dna_derived_breakout_flag,0.015868,0.052894,0,0
breakout,meta_derived_breakout_flag,0.012383,0.041278,0,0
breakout,a6_formula_score,0.011138,0.037126,0,0
breakout,dna_derived_false_breakout,0.010214,0.034048,0,0
breakout,cluster_top_score,0.009756,0.032519,0,0
breakout,exec_obs_volume_surge,0.009361,0.031202,0,0
breakout,dna_30m_current_close_position,0.008867,0.029556,0,0
breakout,ctx_rank_1h_current_return_pct,0.008638,0.028792,0,0
breakout,dna_30m_previous_volume_ratio,0.008419,0.028062,0,0
breakout,dna_5m_body_position,0.008365,0.027884,0,0
breakout,dna_2h_previous_range_pct,0.008188,0.027295,0,0
bull_leader,ctx_rank_5m_release,0.250873,0.836243,0,0
bull_leader,ctx_rank_5m_compression,0.040579,0.135265,0,0
bull_leader,direction_confidence,0.035368,0.117893,0,0
bull_leader,entry_score,0.027829,0.092764,0,0
bull_leader,dna_2h_previous_volume_ratio,0.025108,0.083693,0,0
bull_leader,dna_15m_current_range_pct,0.013873,0.046244,0,0
bull_leader,meta_derived_atr_expansion,0.01259,0.041966,0,0
bull_leader,dna_5m_release,0.011277,0.037591,0,0
bull_leader,dna_derived_atr_expansion,0.009867,0.03289,0,0
bull_leader,a6_formula_score,0.009634,0.032115,0,0
bull_leader,dna_derived_breakout_flag,0.00939,0.031299,0,0
bull_leader,dna_5m_body_position,0.008984,0.029946,0,0
bull_leader,ctx_rank_1h_current_return_pct,0.008524,0.028414,0,0
bull_leader,exec_obs_volume_surge,0.008505,0.02835,0,0
bull_leader,cluster_top_score,0.008187,0.027289,0,0
bull_leader,dna_30m_current_close_position,0.007867,0.026222,0,0
bull_leader,meta_derived_lower_wick,0.00758,0.025268,0,0
bull_leader,dna_2h_previous_range_pct,0.007487,0.024955,0,0
bull_leader,phase20_base_score,0.007315,0.024383,0,0
bull_leader,ctx_rank_1h_current_ma20_distance_pct,0.007296,0.024319,0,0
compression,ctx_rank_5m_release,0.248837,0.829458,0,0
compression,ctx_rank_5m_compression,0.037252,0.124175,0,0
compression,direction_confidence,0.036493,0.121645,0,0
compression,entry_score,0.030375,0.101249,0,0
compression,dna_2h_previous_volume_ratio,0.026117,0.087057,0,0
compression,a6_formula_score,0.016073,0.053576,0,0
compression,dna_15m_current_range_pct,0.014234,0.047447,0,0
compression,cluster_top_score,0.012698,0.042325,0,0
compression,meta_derived_atr_expansion,0.011982,0.039939,0,0
compression,dna_derived_breakout_flag,0.011481,0.038271,0,0
compression,dna_5m_release,0.011106,0.03702,0,0
compression,dna_derived_atr_expansion,0.010366,0.034553,0,0
compression,dna_1h_current_return_pct,0.010063,0.033542,0,0
compression,meta_derived_breakout_flag,0.009162,0.03054,0,0
compression,ctx_rank_1h_current_return_pct,0.008794,0.029314,0,0
compression,exec_obs_volume_surge,0.007799,0.025997,0,0
compression,ctx_rank_2h_current_return_pct,0.007735,0.025784,0,0
compression,dna_30m_current_close_position,0.007275,0.024251,0,0
compression,state_5m_Release,0.007273,0.024242,0,0
compression,ctx_rank_1h_current_ma20_distance_pct,0.007137,0.02379,0,0
high_volatility,ctx_rank_5m_release,0.256778,0.855927,0,0
high_volatility,ctx_rank_5m_compression,0.040158,0.13386,0,0
high_volatility,direction_confidence,0.037491,0.124969,0,0
high_volatility,entry_score,0.031276,0.104255,0,0
high_volatility,dna_2h_previous_volume_ratio,0.026458,0.088192,0,0
high_volatility,a6_formula_score,0.014863,0.049545,0,0
high_volatility,dna_15m_current_range_pct,0.014137,0.047122,0,0
high_volatility,dna_5m_release,0.013497,0.04499,0,0
high_volatility,meta_derived_atr_expansion,0.012914,0.043048,0,0
high_volatility,cluster_top_score,0.012555,0.041849,0,0
high_volatility,dna_derived_breakout_flag,0.012357,0.04119,0,0
high_volatility,dna_derived_atr_expansion,0.011671,0.038902,0,0
high_volatility,meta_derived_breakout_flag,0.009973,0.033244,0,0
high_volatility,ctx_rank_1h_current_return_pct,0.009826,0.032752,0,0
high_volatility,dna_1h_current_return_pct,0.009485,0.031616,0,0
high_volatility,search_rank_pct_return,0.008038,0.026792,0,0
high_volatility,dna_2h_current_ma20_distance_pct,0.007712,0.025706,0,0
high_volatility,state_5m_Release,0.007688,0.025627,0,0
