direction,feature,threshold,operator,precision,recall,f1,lift
long,15m_current_body_pct,0.0107,gte,0.1996,1.0,0.3327,1.0
long,15m_current_body_pct,0.646884,gte,0.2104,0.8827,0.3398,1.0543
long,15m_current_body_pct,1.283068,gte,0.2287,0.676,0.3418,1.1462
long,15m_current_body_pct,1.919252,gte,0.2836,0.5419,0.3724,1.4213
long,15m_current_body_pct,2.555436,gte,0.3333,0.4078,0.3668,1.6704
long,15m_current_body_pct,3.19162,gte,0.4026,0.3464,0.3724,2.0175
long,15m_current_body_pct,3.827804,gte,0.45,0.3017,0.3612,2.255
long,15m_current_body_pct,4.463988,gte,0.5,0.2402,0.3245,2.5056
long,15m_current_body_pct,5.100172,gte,0.5763,0.1899,0.2857,2.8878
long,15m_current_body_pct,5.736356,gte,0.6458,0.1732,0.2731,3.2364
long,15m_current_body_pct,6.37254,gte,0.6842,0.1453,0.2396,3.4287
long,15m_current_body_pct,7.008724,gte,0.7143,0.1117,0.1932,3.5794
long,15m_current_body_pct,7.644908,gte,0.7,0.0782,0.1407,3.5078
long,15m_current_body_pct,8.281092,gte,0.6471,0.0615,0.1122,3.2425
long,15m_current_body_pct,8.917276,gte,0.6667,0.0559,0.1031,3.3408
long,15m_current_body_pct,9.55346,gte,0.6667,0.0559,0.1031,3.3408
long,15m_current_body_pct,10.189644,gte,0.6429,0.0503,0.0933,3.2215
long,15m_current_body_pct,10.825828,gte,0.625,0.0279,0.0535,3.132
long,15m_current_body_pct,11.462012,gte,0.7143,0.0279,0.0538,3.5794
long,15m_current_body_pct,12.098196,gte,0.7143,0.0279,0.0538,3.5794
long,15m_current_body_pct,12.73438,gte,0.7143,0.0279,0.0538,3.5794
long,15m_current_body_pct,13.370564,gte,0.7143,0.0279,0.0538,3.5794
long,15m_current_body_pct,14.006748,gte,0.8333,0.0279,0.0541,4.176
long,15m_current_body_pct,14.642932,gte,0.8,0.0223,0.0435,4.0089
long,15m_current_body_pct,15.279116,gte,0.75,0.0168,0.0328,3.7584
long,15m_current_body_pct,15.9153,gte,0.75,0.0168,0.0328,3.7584
long,15m_current_body_pct,16.551484,gte,0.75,0.0168,0.0328,3.7584
long,15m_current_body_pct,17.187668,gte,0.75,0.0168,0.0328,3.7584
long,15m_current_body_pct,17.823852,gte,0.75,0.0168,0.0328,3.7584
long,15m_current_body_pct,18.460036,gte,0.75,0.0168,0.0328,3.7584
long,15m_current_body_pct,19.09622,gte,0.6667,0.0112,0.022,3.3408
long,15m_current_body_pct,19.732404,gte,0.6667,0.0112,0.022,3.3408
long,15m_current_body_pct,20.368588,gte,0.6667,0.0112,0.022,3.3408
long,15m_current_body_pct,21.004772,gte,0.6667,0.0112,0.022,3.3408
long,15m_current_body_pct,21.640956,gte,0.6667,0.0112,0.022,3.3408
long,15m_current_body_pct,22.27714,gte,0.6667,0.0112,0.022,3.3408
long,15m_current_body_pct,22.913324,gte,1.0,0.0112,0.0221,5.0112
long,15m_current_body_pct,23.549508,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,24.185692,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,24.821876,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,25.45806,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,26.094244,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,26.730428,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,27.366612,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,28.002796,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,28.63898,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,29.275164,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,29.911348,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,30.547532,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,31.183716,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,31.8199,gte,1.0,0.0056,0.0111,5.0112
long,15m_current_body_pct,0.0107,lte,0.0,0.0,0.0,0.0
long,15m_current_body_pct,0.646884,lte,0.1438,0.1173,0.1292,0.7208
long,15m_current_body_pct,1.283068,lte,0.1576,0.324,0.2121,0.7898
long,15m_current_body_pct,1.919252,lte,0.1477,0.4581,0.2234,0.7404
long,15m_current_body_pct,2.555436,lte,0.1563,0.5922,0.2474,0.7835
long,15m_current_body_pct,3.19162,lte,0.1575,0.6536,0.2538,0.7891
long,15m_current_body_pct,3.827804,lte,0.1609,0.6983,0.2615,0.8062
long,15m_current_body_pct,4.463988,lte,0.1677,0.7598,0.2747,0.8403
long,15m_current_body_pct,5.100172,lte,0.173,0.8101,0.2852,0.8671
long,15m_current_body_pct,5.736356,lte,0.1743,0.8268,0.2879,0.8736
long,15m_current_body_pct,6.37254,lte,0.1781,0.8547,0.2948,0.8926
long,15m_current_body_pct,7.008724,lte,0.183,0.8883,0.3034,0.9169
long,15m_current_body_pct,7.644908,lte,0.1881,0.9218,0.3125,0.9428
long,15m_current_body_pct,8.281092,lte,0.1909,0.9385,0.3173,0.9567
long,15m_current_body_pct,8.917276,lte,0.1916,0.9441,0.3186,0.9602
long,15m_current_body_pct,9.55346,lte,0.1916,0.9441,0.3186,0.9602
long,15m_current_body_pct,10.189644,lte,0.1925,0.9497,0.3202,0.9648
long,15m_current_body_pct,10.825828,lte,0.1957,0.9721,0.3258,0.9808
long,15m_current_body_pct,11.462012,lte,0.1955,0.9721,0.3255,0.9797
long,15m_current_body_pct,12.098196,lte,0.1955,0.9721,0.3255,0.9797
long,15m_current_body_pct,12.73438,lte,0.1955,0.9721,0.3255,0.9797
long,15m_current_body_pct,13.370564,lte,0.1955,0.9721,0.3255,0.9797
long,15m_current_body_pct,14.006748,lte,0.1953,0.9721,0.3252,0.9786
long,15m_current_body_pct,14.642932,lte,0.1962,0.9777,0.3268,0.9831
long,15m_current_body_pct,15.279116,lte,0.1971,0.9832,0.3284,0.9876
long,15m_current_body_pct,15.9153,lte,0.1971,0.9832,0.3284,0.9876
long,15m_current_body_pct,16.551484,lte,0.1971,0.9832,0.3284,0.9876
long,15m_current_body_pct,17.187668,lte,0.1971,0.9832,0.3284,0.9876
long,15m_current_body_pct,17.823852,lte,0.1971,0.9832,0.3284,0.9876
long,15m_current_body_pct,18.460036,lte,0.1971,0.9832,0.3284,0.9876
