direction,feature,threshold,operator,avg_return_2h_pass,avg_return_2h_fail,avg_return_4h_pass,avg_return_4h_fail
long,15m_current_body_pct,0.0107,gte,5.0931,0.0,5.398,0.0
long,15m_current_body_pct,0.646884,gte,5.2755,4.1553,5.7242,3.7202
long,15m_current_body_pct,1.283068,gte,5.9364,3.8809,6.2784,4.1324
long,15m_current_body_pct,1.919252,gte,7.1795,3.8075,7.6676,3.9995
long,15m_current_body_pct,2.555436,gte,7.9391,4.1739,7.8618,4.6022
long,15m_current_body_pct,3.19162,gte,8.8825,4.3077,8.7101,4.7115
long,15m_current_body_pct,3.827804,gte,9.4279,4.4237,9.139,4.8203
long,15m_current_body_pct,4.463988,gte,10.3404,4.5367,9.9342,4.917
long,15m_current_body_pct,5.100172,gte,11.076,4.6719,11.4455,4.9722
long,15m_current_body_pct,5.736356,gte,12.2598,4.688,12.7847,4.9804
long,15m_current_body_pct,6.37254,gte,13.1241,4.7379,12.3315,5.0913
long,15m_current_body_pct,7.008724,gte,13.3469,4.8272,12.615,5.1655
long,15m_current_body_pct,7.644908,gte,12.5973,4.922,11.5653,5.2574
long,15m_current_body_pct,8.281092,gte,11.471,4.9699,11.7314,5.2757
long,15m_current_body_pct,8.917276,gte,11.6754,4.9812,11.3834,5.2962
long,15m_current_body_pct,9.55346,gte,11.6754,4.9812,11.3834,5.2962
long,15m_current_body_pct,10.189644,gte,11.8297,4.9863,10.1022,5.3234
long,15m_current_body_pct,10.825828,gte,14.4972,5.0085,8.7822,5.3676
long,15m_current_body_pct,11.462012,gte,15.8531,5.0085,9.3893,5.3666
long,15m_current_body_pct,12.098196,gte,15.8531,5.0085,9.3893,5.3666
long,15m_current_body_pct,12.73438,gte,15.8531,5.0085,9.3893,5.3666
long,15m_current_body_pct,13.370564,gte,15.8531,5.0085,9.3893,5.3666
long,15m_current_body_pct,14.006748,gte,20.1833,4.9915,13.6562,5.3424
long,15m_current_body_pct,14.642932,gte,14.6998,5.0393,8.3911,5.3812
long,15m_current_body_pct,15.279116,gte,12.2197,5.0612,3.9894,5.4043
long,15m_current_body_pct,15.9153,gte,12.2197,5.0612,3.9894,5.4043
long,15m_current_body_pct,16.551484,gte,12.2197,5.0612,3.9894,5.4043
long,15m_current_body_pct,17.187668,gte,12.2197,5.0612,3.9894,5.4043
long,15m_current_body_pct,17.823852,gte,12.2197,5.0612,3.9894,5.4043
long,15m_current_body_pct,18.460036,gte,12.2197,5.0612,3.9894,5.4043
long,15m_current_body_pct,19.09622,gte,7.7125,5.0843,-0.4217,5.4175
long,15m_current_body_pct,19.732404,gte,7.7125,5.0843,-0.4217,5.4175
long,15m_current_body_pct,20.368588,gte,7.7125,5.0843,-0.4217,5.4175
long,15m_current_body_pct,21.004772,gte,7.7125,5.0843,-0.4217,5.4175
