feature,threshold,operator,pass_count,fail_count,winner_ratio_pass_pct,loser_ratio_pass_pct,winner_ratio_fail_pct,loser_ratio_fail_pct,precision,recall,f1,lift,odds_ratio,avg_return_2h_pass,avg_return_2h_fail,avg_return_4h_pass,avg_return_4h_fail,win_rate_pass_pct,expected_return_lift_2h,direction
15m_current_body_pct,0.0107,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long
15m_current_body_pct,0.646884,gte,751,146,21.04,19.44,14.38,85.62,0.2104,0.8827,0.3398,1.0543,6.4416,5.2755,4.1553,5.7242,3.7202,57.39,1.1202,long
15m_current_body_pct,1.283068,gte,529,368,22.87,16.45,15.76,84.24,0.2287,0.676,0.3418,1.1462,7.4336,5.9364,3.8809,6.2784,4.1324,61.06,2.0556,long
15m_current_body_pct,1.919252,gte,342,555,28.36,14.62,14.77,85.23,0.2836,0.5419,0.3724,1.4213,11.1905,7.1795,3.8075,7.6676,3.9995,68.42,3.3721,long
15m_current_body_pct,2.555436,gte,219,678,33.33,11.87,15.63,84.37,0.3333,0.4078,0.3668,1.6704,15.1509,7.9391,4.1739,7.8618,4.6022,72.15,3.7653,long
15m_current_body_pct,3.19162,gte,154,743,40.26,11.69,15.75,84.25,0.4026,0.3464,0.3724,2.0175,18.4292,8.8825,4.3077,8.7101,4.7115,75.97,4.5747,long
15m_current_body_pct,3.827804,gte,120,777,45.0,10.0,16.09,83.91,0.45,0.3017,0.3612,2.255,23.472,9.4279,4.4237,9.139,4.8203,80.83,5.0042,long
15m_current_body_pct,4.463988,gte,86,811,50.0,10.47,16.77,83.23,0.5,0.2402,0.3245,2.5056,23.7132,10.3404,4.5367,9.9342,4.917,80.23,5.8037,long
15m_current_body_pct,5.100172,gte,59,838,57.63,11.86,17.3,82.7,0.5763,0.1899,0.2857,2.8878,23.2138,11.076,4.6719,11.4455,4.9722,84.75,6.4041,long
15m_current_body_pct,5.736356,gte,48,849,64.58,10.42,17.43,82.57,0.6458,0.1732,0.2731,3.2364,29.3662,12.2598,4.688,12.7847,4.9804,85.42,7.5719,long
15m_current_body_pct,6.37254,gte,38,859,68.42,10.53,17.81,82.19,0.6842,0.1453,0.2396,3.4287,29.9935,13.1241,4.7379,12.3315,5.0913,86.84,8.3863,long
15m_current_body_pct,7.008724,gte,28,869,71.43,10.71,18.3,81.7,0.7143,0.1117,0.1932,3.5794,29.7694,13.3469,4.8272,12.615,5.1655,85.71,8.5197,long
15m_current_body_pct,7.644908,gte,20,877,70.0,15.0,18.81,81.19,0.7,0.0782,0.1407,3.5078,20.1374,12.5973,4.922,11.5653,5.2574,80.0,7.6753,long
15m_current_body_pct,8.281092,gte,17,880,64.71,17.65,19.09,80.91,0.6471,0.0615,0.1122,3.2425,15.5397,11.471,4.9699,11.7314,5.2757,76.47,6.5011,long
15m_current_body_pct,8.917276,gte,15,882,66.67,20.0,19.16,80.84,0.6667,0.0559,0.1031,3.3408,14.0631,11.6754,4.9812,11.3834,5.2962,73.33,6.6942,long
15m_current_body_pct,9.55346,gte,15,882,66.67,20.0,19.16,80.84,0.6667,0.0559,0.1031,3.3408,14.0631,11.6754,4.9812,11.3834,5.2962,73.33,6.6942,long
15m_current_body_pct,10.189644,gte,14,883,64.29,21.43,19.25,80.75,0.6429,0.0503,0.0933,3.2215,12.5824,11.8297,4.9863,10.1022,5.3234,71.43,6.8434,long
15m_current_body_pct,10.825828,gte,8,889,62.5,25.0,19.57,80.43,0.625,0.0279,0.0535,3.132,10.273,14.4972,5.0085,8.7822,5.3676,75.0,9.4887,long
15m_current_body_pct,11.462012,gte,7,890,71.43,28.57,19.55,80.45,0.7143,0.0279,0.0538,3.5794,10.2874,15.8531,5.0085,9.3893,5.3666,71.43,10.8446,long
