dna_type,token,count,pct_of_survivors
feature,1h_current_return_pct,260,32.66
feature,1h_current_ma20_distance_pct,170,21.36
feature,15m_current_return_pct,144,18.09
feature,1h_current_range_pct,127,15.95
feature,15m_current_ma20_distance_pct,113,14.2
feature,2h_current_range_pct,104,13.07
feature,15m_current_body_pct,104,13.07
feature,2h_previous_body_pct,97,12.19
feature,30m_current_body_pct,86,10.8
feature,1h_previous_range_pct,85,10.68
feature,30m_current_range_pct,83,10.43
feature,2h_current_body_pct,81,10.18
feature,derived_range_expansion,79,9.92
feature,2h_current_return_pct,55,6.91
feature,2h_previous_return_pct,54,6.78
feature,30m_previous_ma20_distance_pct,54,6.78
feature,5m_compression,44,5.53
feature,1h_previous_body_pct,26,3.27
feature,2h_previous_ma20_distance_pct,25,3.14
feature,1h_current_body_pct,24,3.02
feature,5m_seq_body_energy_6,2,0.25
feature,30m_previous_range_pct,2,0.25
feature,1h_previous_return_pct,2,0.25
feature,15m_current_range_pct,2,0.25
feature,1h_current_volume_ratio,1,0.13
feature,derived_volume_ratio,1,0.13
feature,15m_current_volume_ratio,1,0.13
feature,5m_seq_return_sum_6,1,0.13
feature,1h_previous_volume_ratio,1,0.13
feature,2h_current_volume_ratio,1,0.13
feature,15m_previous_range_pct,1,0.13
combo,AND,545,68.47
combo,OR,186,23.37
combo,NOT,17,2.14
combo,LINEAR,5,0.63
