feature,survivor_appearances,importance_rank,importance_score
1h_current_return_pct,260,1,0.3266
1h_current_ma20_distance_pct,170,2,0.2136
15m_current_return_pct,144,3,0.1809
1h_current_range_pct,127,4,0.1595
15m_current_ma20_distance_pct,113,5,0.142
2h_current_range_pct,104,6,0.1307
15m_current_body_pct,104,7,0.1307
2h_previous_body_pct,97,8,0.1219
30m_current_body_pct,86,9,0.108
1h_previous_range_pct,85,10,0.1068
30m_current_range_pct,83,11,0.1043
2h_current_body_pct,81,12,0.1018
derived_range_expansion,79,13,0.0992
2h_current_return_pct,55,14,0.0691
2h_previous_return_pct,54,15,0.0678
30m_previous_ma20_distance_pct,54,16,0.0678
5m_compression,44,17,0.0553
1h_previous_body_pct,26,18,0.0327
2h_previous_ma20_distance_pct,25,19,0.0314
1h_current_body_pct,24,20,0.0302
5m_seq_body_energy_6,2,21,0.0025
30m_previous_range_pct,2,22,0.0025
1h_previous_return_pct,2,23,0.0025
15m_current_range_pct,2,24,0.0025
1h_current_volume_ratio,1,25,0.0013
derived_volume_ratio,1,26,0.0013
15m_current_volume_ratio,1,27,0.0013
5m_seq_return_sum_6,1,28,0.0013
1h_previous_volume_ratio,1,29,0.0013
2h_current_volume_ratio,1,30,0.0013
