formula_id,formula_expr,kind,pass_bonus,source,linear_terms
A6_frozen,A6 = base + ig_a2*range_pct_rank + ig_a5*expansion_bonus,baseline,50.0,frozen_baseline,[]
SF_AND3_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02 AND 1h_current_ma20_distance_pct >= 35.71),ast,50.0,and_triple,[]
SF_AND3_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_return_pct >= 10.13 AND 1h_current_return_pct >= 8.969),ast,50.0,and_triple,[]
SF_AND3_SF_15m_current_body_pct_gte_13.6371,(15m_current_body_pct >= 13.64 AND 2h_current_body_pct >= 13.74 AND 2h_current_range_pct >= 44.89),ast,50.0,and_triple,[]
SF_AND3_SF_15m_current_ma20_distance_pct_gte_26.750886,(15m_current_ma20_distance_pct >= 26.75 AND (1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02),ast,50.0,and_triple,[]
SF_AND3_SF_15m_current_return_pct_gte_10.127714,(15m_current_return_pct >= 10.13 AND 1h_current_return_pct >= 8.969 AND 2h_current_body_pct >= 27.48),ast,50.0,and_triple,[]
SF_AND3_SF_1h_current_ma20_distance_pct_gte_35.705329,(1h_current_ma20_distance_pct >= 35.71 AND 2h_current_body_pct >= 20.61 AND 2h_previous_body_pct >= 34.35),ast,50.0,and_triple,[]
SF_AND3_SF_1h_current_ma20_distance_pct_gte_51.022186,(1h_current_ma20_distance_pct >= 51.02 AND 1h_current_ma20_distance_pct >= 35.71 AND 2h_current_body_pct >= 20.61),ast,50.0,and_triple,[]
SF_AND3_SF_1h_current_return_pct_gte_18.082043,(1h_current_return_pct >= 18.08 AND (1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_return_pct >= 10.13),ast,50.0,and_triple,[]
SF_AND3_SF_1h_current_return_pct_gte_8.969214,(1h_current_return_pct >= 8.969 AND 2h_current_body_pct >= 27.48 AND 15m_current_ma20_distance_pct >= 26.75),ast,50.0,and_triple,[]
SF_AND3_SF_2h_current_body_pct_gte_13.739943,(2h_current_body_pct >= 13.74 AND 2h_current_range_pct >= 44.89 AND 2h_previous_ma20_distance_pct >= 65.59),ast,50.0,and_triple,[]
