trade_count,scan_count,coverage_pct,hit_rate_top3_pct,avg_return_2h,median_return_2h,win_rate_2h,avg_return_4h,median_return_4h,win_rate_4h,avg_return_6h,median_return_6h,win_rate_6h,avg_return_12h,median_return_12h,win_rate_12h,return_per_day,max_drawdown,sharpe_like,return_per_coverage,stability,generalization_score,formula_id,formula_expr,kind,source
270,54,98.18,35.56,3.3569,2.62,45.93,3.7049,2.9626,49.63,3.6017,2.6395,48.15,4.1253,1.7458,44.07,181.2703,-38.0914,7.6623,3.4191,0.8266,9.3629,SF_NOT_SF_2h_current_body_pct_gte_20.609914,NOT (2h_current_body_pct >= 20.61),ast,not
270,54,98.18,39.63,3.5893,2.5828,45.56,4.1752,2.9267,49.26,4.2495,2.6002,47.78,3.3909,1.639,44.07,193.8246,-38.0914,6.4907,3.6558,1.0133,9.2391,SF_ATOM_40,15m_current_ma20_distance_pct >= 7.979,ast,atom
270,54,98.18,38.52,3.9822,2.7771,47.04,4.5387,3.1566,51.11,4.5349,2.7241,48.52,4.4702,1.8774,44.81,215.0363,-40.5942,7.5444,4.056,1.0371,9.0617,SF_ATOM_75,rank(2h_current_return_pct) >= 0.9,ast,atom
270,54,98.18,37.78,3.7946,2.8756,48.15,4.1501,3.0746,50.74,4.177,2.8291,49.26,4.3679,1.7458,44.81,204.9085,-38.0914,7.568,3.8649,1.092,9.0552,SF_NOT_SF_2h_current_body_pct_gte_27.479886,NOT (2h_current_body_pct >= 27.48),ast,not
270,54,98.18,36.67,4.4562,2.9291,48.89,5.2035,3.0556,50.37,5.9152,2.9154,49.63,5.6107,1.9779,45.19,240.6353,-19.3594,9.5485,4.5388,1.5431,8.7974,SF_NOT_SF_2h_previous_ma20_distance_pct_gte_65.594714,NOT (2h_previous_ma20_distance_pct >= 65.59),ast,not
270,54,98.18,39.26,3.7192,2.8756,48.15,4.2664,3.0556,50.37,4.3645,2.7241,48.52,3.841,1.8015,45.19,200.8359,-38.0914,6.6952,3.7881,1.2255,8.6611,SF_ATOM_64,2h_previous_body_pct >= 13.74,ast,atom
270,54,98.18,36.3,3.3171,2.7789,47.04,3.4736,3.0556,50.37,3.3536,2.6794,48.15,4.2366,1.8774,45.19,179.1249,-38.0914,7.2898,3.3786,1.0783,8.4625,SF_NOT_SF_1h_current_return_pct_gte_18.082043,NOT (1h_current_return_pct >= 18.08),ast,not
270,54,98.18,39.63,4.1954,2.9779,49.63,4.596,3.295,51.85,4.685,2.9154,49.63,4.5679,2.1492,45.93,226.5533,-38.0914,7.769,4.2732,1.3717,8.443,SF_ATOM_41,1h_current_volume_ratio >= 17.96,ast,atom
270,54,98.18,38.89,3.789,2.8157,47.41,4.1362,3.0112,50.0,4.0965,2.6395,47.78,4.1901,1.7295,44.44,204.6082,-44.3496,6.944,3.8592,1.1264,8.3297,SF_ATOM_60,5m_seq_body_energy_6 >= 5.368,ast,atom
270,54,98.18,40.0,4.3036,3.1376,51.11,5.3348,3.5066,54.07,5.6115,3.2939,52.22,5.9206,2.6537,47.78,232.3949,-38.0914,8.3702,4.3834,1.4834,8.2869,SF_ATOM_56,rank(1h_current_return_pct) >= 0.9,ast,atom
270,54,98.18,38.89,3.9468,2.7649,46.67,4.2768,2.9626,49.63,4.2221,2.6794,47.78,3.7747,1.6992,44.44,213.1261,-38.0914,7.2197,4.02,1.2513,8.2304,SF_ATOM_50,15m_current_return_pct >= 2.897,ast,atom
270,54,98.18,38.89,4.1065,2.9508,49.26,4.398,3.2553,51.48,4.6055,2.8484,49.26,4.5416,1.9779,45.56,221.7525,-38.0914,7.6002,4.1826,1.403,8.0378,SF_NOT_SF_15m_current_ma20_distance_pct_gte_26.750886,NOT (15m_current_ma20_distance_pct >= 26.75),ast,not
270,54,98.18,39.63,4.0254,2.8756,48.15,4.699,3.2553,51.48,4.9339,2.8484,49.26,4.9556,2.1492,45.93,217.3712,-38.0914,7.3615,4.1,1.3873,8.018,SF_ATOM_44,1h_previous_return_pct >= 11.54,ast,atom
270,54,98.18,39.26,4.0968,2.9291,48.89,4.4452,3.2553,51.48,4.6476,2.8484,49.26,4.4938,1.9779,45.56,221.2297,-38.0914,7.5671,4.1727,1.4151,7.9744,SF_AND_SF_2h_previous_ma20_distance_pct_gte_65.594714_SF_1h_current_ma20_distance_pct_gte_20.388471,(2h_previous_ma20_distance_pct >= 65.59 AND 1h_current_ma20_distance_pct >= 20.39),ast,and_pair
270,54,98.18,39.63,4.1207,2.9508,49.26,4.6527,3.2553,51.48,4.7223,2.8484,49.26,4.7541,2.1492,45.93,222.5172,-38.0914,7.6177,4.1971,1.4464,7.9731,SF_ATOM_31,2h_previous_body_pct >= 27.48,ast,atom
270,54,98.18,36.67,3.8212,2.8157,47.41,4.4461,3.0556,50.37,4.4351,2.9154,49.63,4.5248,1.9779,45.56,206.3433,-38.0914,7.9452,3.892,1.2372,7.9672,SF_NOT_SF_2h_current_range_pct_gte_29.928486,NOT (2h_current_range_pct >= 29.93),ast,not
270,54,98.18,39.26,3.8782,2.9508,49.26,4.3679,3.2553,51.48,4.3734,2.9154,49.63,3.7145,2.1492,45.93,209.4214,-38.0914,7.0216,3.9501,1.4248,7.9343,SF_ATOM_61,2h_previous_return_pct >= 15.4,ast,atom
270,54,98.18,38.89,4.0922,2.9291,48.89,4.4256,3.2553,51.48,4.4925,2.8484,49.26,4.3192,1.8015,45.19,220.9786,-38.0914,7.5641,4.1681,1.4091,7.929,SF_NOT_SF_2h_current_range_pct_gte_44.892729,NOT (2h_current_range_pct >= 44.89),ast,not
270,54,98.18,38.15,3.8826,2.8756,48.15,4.3974,3.0746,50.74,4.2921,2.7809,48.89,4.4926,1.9779,45.56,209.661,-38.0914,7.6481,3.9546,1.3405,7.9131,SF_NOT_SF_30m_current_body_pct_gte_15.970929,NOT (30m_current_body_pct >= 15.97),ast,not
270,54,98.18,39.26,4.1413,2.9508,49.26,4.5063,3.2553,51.48,4.5704,2.7809,48.89,4.4167,1.8015,44.81,223.6275,-38.0914,7.6592,4.2181,1.4477,7.8988,SF_ATOM_72,derived_volume_ratio >= 23.2,ast,atom
270,54,98.18,39.26,4.1413,2.9508,49.26,4.5063,3.2553,51.48,4.5704,2.7809,48.89,4.4167,1.8015,44.81,223.6275,-38.0914,7.6592,4.2181,1.4477,7.8988,SF_ATOM_74,15m_current_volume_ratio >= 23.2,ast,atom
270,54,98.18,39.26,4.1019,2.9291,48.89,4.4605,3.1566,51.11,4.512,2.7809,48.89,4.4548,1.9779,45.56,221.5012,-38.0914,7.5709,4.1779,1.4331,7.8859,SF_AND_SF_30m_current_range_pct_gte_12.1684_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,(30m_current_range_pct >= 12.17 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,and_pair
270,54,98.18,39.26,4.1019,2.9291,48.89,4.4605,3.1566,51.11,4.512,2.7809,48.89,4.4548,1.9779,45.56,221.5012,-38.0914,7.5709,4.1779,1.4331,7.8859,SF_AND_SR_1h_current_range_pct_5m_compression_15262639999.999996_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,(1h_current_range_pct/5m_compression >= 1.526e+10 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,and_pair
270,54,98.18,38.89,4.0806,2.9291,48.89,4.4838,3.2553,51.48,4.4908,2.7809,48.89,4.4242,1.8015,45.56,220.3528,-38.0914,7.5133,4.1562,1.4177,7.8825,SF_ATOM_39,5m_seq_return_sum_6 >= 11.45,ast,atom
270,54,98.18,39.63,4.147,2.9779,49.63,4.6724,3.295,51.85,4.7562,2.9154,49.63,4.7877,2.1492,45.93,223.9354,-38.0914,7.6611,4.2239,1.4816,7.879,SF_AND_SF_2h_current_range_pct_gte_29.928486_SF_2h_previous_body_pct_gte_27.479886,(2h_current_range_pct >= 29.93 AND 2h_previous_body_pct >= 27.48),ast,and_pair
270,54,98.18,39.63,4.147,2.9779,49.63,4.6724,3.295,51.85,4.7562,2.9154,49.63,4.7877,2.1492,45.93,223.9354,-38.0914,7.6611,4.2239,1.4816,7.879,SF_AND_SF_2h_previous_body_pct_gte_27.479886_SF_2h_current_range_pct_gte_14.964243,(2h_previous_body_pct >= 27.48 AND 2h_current_range_pct >= 14.96),ast,and_pair
270,54,98.18,39.63,4.147,2.9779,49.63,4.6724,3.295,51.85,4.7562,2.9154,49.63,4.7877,2.1492,45.93,223.9354,-38.0914,7.6611,4.2239,1.4816,7.879,SF_AND_SF_30m_current_range_pct_gte_12.1684_SF_2h_previous_body_pct_gte_27.479886,(30m_current_range_pct >= 12.17 AND 2h_previous_body_pct >= 27.48),ast,and_pair
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02 AND 1h_current_ma20_distance_pct >= 35.71),ast,and_triple
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_return_pct >= 10.13 AND 1h_current_return_pct >= 8.969),ast,and_triple
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_15m_current_ma20_distance_pct_gte_26.750886,(15m_current_ma20_distance_pct >= 26.75 AND (1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02),ast,and_triple
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_15m_current_return_pct_gte_10.127714,(15m_current_return_pct >= 10.13 AND 1h_current_return_pct >= 8.969 AND 2h_current_body_pct >= 27.48),ast,and_triple
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_1h_current_ma20_distance_pct_gte_35.705329,(1h_current_ma20_distance_pct >= 35.71 AND 2h_current_body_pct >= 20.61 AND 2h_previous_body_pct >= 34.35),ast,and_triple
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_1h_current_ma20_distance_pct_gte_51.022186,(1h_current_ma20_distance_pct >= 51.02 AND 1h_current_ma20_distance_pct >= 35.71 AND 2h_current_body_pct >= 20.61),ast,and_triple
