formula_id,rounds_total,rounds_beat_baseline,round_win_rate,stability_std,avg_generalization_score,survived
SF_LIN_1h_current_return_pct_1_50,17,17,1.0,1.3193,17.6311,True
SF_LIN_1h_current_return_pct_1_00,17,17,1.0,1.2928,17.577,True
SF_LIN_1h_current_return_pct_2_00,17,17,1.0,1.3165,17.5582,True
SF_LIN_1h_current_return_pct_0_50,17,17,1.0,1.2899,17.5215,True
SF_LIN_1h_current_return_pct_3_00,17,17,1.0,1.3127,17.3642,True
SF_ATOM_56,17,17,1.0,1.2494,17.1606,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2525,15.8061,True
SF_NOT_SF_2h_previous_ma20_distance_pct_gte_65.594714,17,17,1.0,1.2015,15.7979,True
SF_ATOM_31,17,17,1.0,1.214,15.7826,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2149,15.7715,True
SF_AND_SF_2h_previous_body_pct_gte_27.479886_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2285,15.7711,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2251,15.7655,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2602,15.7524,True
SF_AND_SF_2h_previous_return_pct_gte_26.298514_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.2218,15.7487,True
SF_OR_SF_1h_current_return_pct_gte_8.969214_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2643,15.7373,True
SF_OR_SF_15m_current_return_pct_gte_10.127714_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2137,15.7322,True
SF_ATOM_28,17,17,1.0,1.2149,15.7267,True
SF_OR_SF_2h_previous_body_pct_gte_34.349857_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2149,15.7267,True
SF_OR_SF_1h_current_return_pct_gte_8.969214_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2284,15.7191,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2154,15.7174,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2341,15.7154,True
SF_AND_SF_2h_previous_return_pct_gte_26.298514_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2202,15.7122,True
SF_OR_SF_1h_current_return_pct_gte_8.969214_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2178,15.7113,True
SF_OR_SF_1h_current_return_pct_gte_8.969214_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2373,15.709,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2612,15.7088,True
SF_OR_SF_15m_current_return_pct_gte_10.127714_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2594,15.6946,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_ma20_distance_pct_gte_26.750886,17,17,1.0,1.2514,15.6935,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_return_pct_gte_10.127714,17,17,1.0,1.2326,15.6915,True
SF_OR_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2605,15.6883,True
SF_OR_SF_15m_current_return_pct_gte_10.127714_SF_1h_current_return_pct_gte_8.969214,17,17,1.0,1.2358,15.6851,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2353,15.678,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2605,15.6738,True
SF_ATOM_8,17,17,1.0,1.2605,15.6738,True
SF_ORAND_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2605,15.6738,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2605,15.6738,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_return_pct_gte_8.969214,17,17,1.0,1.2373,15.6708,True
SF_ATOM_1,17,17,1.0,1.2341,15.6706,True
SF_ORAND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094,17,17,1.0,1.2341,15.6706,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094,17,17,1.0,1.2341,15.6706,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_35.705329_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2195,15.6691,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_previous_ma20_distance_pct_gte_65.594714,17,17,1.0,1.2429,15.6654,True
SF_AND_SF_1h_current_return_pct_gte_8.969214_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056,17,17,1.0,1.2373,15.6642,True
SF_AND_SF_1h_current_return_pct_gte_8.969214_SF_derived_range_expansion_gte_8.077786,17,17,1.0,1.2373,15.6642,True
SF_ATOM_3,17,17,1.0,1.2373,15.6642,True
SF_ORAND_SF_1h_current_return_pct_gte_8.969214,17,17,1.0,1.2373,15.6642,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SF_1h_current_return_pct_gte_8.969214,17,17,1.0,1.2373,15.6642,True
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056,17,17,1.0,1.2341,15.664,True
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_return_pct_gte_8.969214,17,17,1.0,1.2341,15.664,True
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_derived_range_expansion_gte_8.077786,17,17,1.0,1.2341,15.664,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2605,15.6611,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2245,15.6582,True
SF_OR_SF_1h_current_return_pct_gte_8.969214_SF_15m_current_ma20_distance_pct_gte_26.750886,17,17,1.0,1.2545,15.6558,True
SF_AND_SF_2h_previous_ma20_distance_pct_gte_65.594714_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2312,15.6527,True
SF_ATOM_41,17,17,1.0,1.1832,15.6496,True
SF_OR_SF_15m_current_return_pct_gte_10.127714_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2024,15.6466,True
SF_OR_SF_2h_previous_body_pct_gte_34.349857_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.205,15.6463,True
SF_OR_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2409,15.6459,True
SF_OR_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2312,15.6442,True
SF_OR_SF_15m_current_return_pct_gte_10.127714_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2221,15.6441,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_current_range_pct_gte_44.892729,17,17,1.0,1.2914,15.6426,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2149,15.6405,True
SF_OR_SF_1h_current_return_pct_gte_8.969214_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2385,15.6403,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_20.388471_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.236,15.6383,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_20.388471_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2365,15.6379,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2637,15.637,True
SF_OR_SF_15m_current_return_pct_gte_10.127714_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2233,15.6343,True
SF_AND_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2409,15.6315,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2409,15.6315,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2414,15.6315,True
SF_AND_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2037,15.6259,True
SF_ATOM_25,17,17,1.0,1.2037,15.6259,True
SF_OR_SF_15m_current_ma20_distance_pct_gte_26.750886_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2037,15.6259,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_51.022186_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2037,15.6259,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2037,15.6259,True
SF_AND_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786_SF_15m_current_body_pct_gte_9.0914,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_15m_current_body_pct_gte_13.6371_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_15m_current_body_pct_gte_13.6371_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_15m_current_body_pct_gte_13.6371,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_current_range_pct_gte_29.928486,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_current_body_pct_gte_10.647286,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_current_body_pct_gte_15.970929,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_current_range_pct_gte_22.8592,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_15m_current_body_pct_gte_13.6371,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_15m_current_body_pct_gte_9.0914,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_current_range_pct_gte_29.928486,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_previous_ma20_distance_pct_gte_65.594714,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_30m_current_body_pct_gte_10.647286,17,17,1.0,1.2233,15.6233,True
