direction,lifecycle_label,signal_count,avg_mfe_pct,avg_mae_pct,avg_peak_time_min,avg_end_time_min,avg_return_2h,avg_return_6h,avg_return_shift_2h_to_6h,success_2h_rate_pct,success_6h_rate_pct,sustained_winner_pct,fade_after_2h_pct,late_runner_6h_pct
long,Continuous Trend,40,25.5905,-1.653,469.875,720.0,7.8821,13.5637,5.6817,85.0,95.0,85.0,0.0,10.0
long,Delayed Breakout,56,11.064,-3.0421,496.875,720.0,1.0613,3.4369,2.3756,7.14,50.0,7.14,0.0,42.86
long,Fake Breakout,321,11.4486,-12.1945,158.4112,720.0,2.9276,-1.2388,-4.1664,40.19,20.87,15.26,24.92,5.61
long,Immediate Explosion,28,11.876,-3.0345,31.6071,720.0,4.4998,2.6887,-1.8111,50.0,28.57,25.0,25.0,3.57
long,Late Runner,232,28.4934,-2.6495,651.9181,720.0,6.3031,10.9372,4.6341,65.09,76.72,58.19,6.9,18.53
long,Slow Trend,139,21.8859,-2.6101,290.9353,720.0,8.8326,12.4742,3.6416,83.45,81.29,71.22,12.23,10.07
long,Unclassified,76,10.7782,-4.3249,74.2105,720.0,5.0968,2.4501,-2.6468,50.0,32.89,32.89,17.11,0.0
long,V-Reversal,5,15.7895,-7.14,591.0,720.0,-0.9946,8.2144,9.209,0.0,80.0,0.0,0.0,80.0
short,Continuous Trend,39,19.707,-17.2297,475.3846,720.0,6.0881,13.0358,6.9477,74.36,87.18,71.79,2.56,15.38
short,Delayed Breakout,49,10.8312,-8.2401,529.2857,720.0,0.6745,3.7667,3.0921,8.16,40.82,4.08,4.08,36.73
short,Fake Breakout,279,8.3793,-4.9315,152.2581,720.0,1.8657,-3.2784,-5.1441,36.56,19.71,12.9,23.66,6.81
short,Immediate Explosion,18,8.6157,-5.1484,32.5,720.0,3.7281,1.8928,-1.8353,50.0,33.33,22.22,27.78,11.11
short,Late Runner,264,15.9755,-13.3587,655.2841,720.0,4.6126,6.5148,1.9021,60.61,70.45,54.17,6.44,16.29
short,Slow Trend,171,14.2254,-11.6733,284.5614,720.0,6.9858,9.2395,2.2537,78.95,82.46,70.18,8.77,12.28
short,Unclassified,68,7.508,-4.4973,67.7206,720.0,1.2839,-3.9153,-5.1992,30.88,20.59,20.59,10.29,0.0
short,V-Reversal,9,19.3131,-15.9274,546.6667,720.0,1.5021,7.7818,6.2797,33.33,88.89,33.33,0.0,55.56
