rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_score,v1_precision_baseline,live_pattern
OR_ABD_C,((A AND B AND D) OR C),short_all,897,37,860,0.9189,0.1899,0.3148,4.6049,83.8276,18.6786,18.4476,94.59,31,180,0.2056,2.4667,4.12,short,0.5618,1.0,
OR_AB_CD,((A AND B) OR (C AND D)),short_all,897,35,862,0.9429,0.1844,0.3084,4.7248,80.9178,19.752,19.7728,94.29,28,180,0.1944,2.3333,3.9,short,0.552,1.0,
AND_A,A,short_all,897,34,863,0.9412,0.1788,0.3005,4.7164,77.932,20.1338,20.2429,94.12,27,180,0.1889,2.2667,3.79,short,0.5424,1.0,
AND_AB,(A AND B),short_all,897,34,863,0.9412,0.1788,0.3005,4.7164,77.932,20.1338,20.2429,94.12,27,180,0.1889,2.2667,3.79,short,0.5424,1.0,
OR_A_BCD,(A OR (B AND C AND D)),short_all,897,34,863,0.9412,0.1788,0.3005,4.7164,77.932,20.1338,20.2429,94.12,27,180,0.1889,2.2667,3.79,short,0.5424,1.0,
AND_AD,(A AND D),short_all,897,32,865,0.9375,0.1676,0.2844,4.698,72.0805,20.1116,20.2582,93.75,26,180,0.1778,2.1333,3.57,short,0.5231,1.0,
AND_ABD,(A AND B AND D),short_all,897,32,865,0.9375,0.1676,0.2844,4.698,72.0805,20.1116,20.2582,93.75,26,180,0.1778,2.1333,3.57,short,0.5231,1.0,
OR_AD_BC,((A AND D) OR (B AND C)),short_all,897,32,865,0.9375,0.1676,0.2844,4.698,72.0805,20.1116,20.2582,93.75,26,180,0.1778,2.1333,3.57,short,0.5231,1.0,
OR_A_B_C_D,(A OR B OR C OR D),short_SHORT_REVERSAL,388,18,370,1.0,0.2812,0.439,6.0625,126.7826,16.8376,19.7132,100.0,16,165,0.1091,1.2,4.64,short,0.4965,,SHORT_REVERSAL
OR_AC_B_D,((A AND C) OR B OR D),short_SHORT_REVERSAL,388,17,371,1.0,0.2656,0.4198,6.0625,117.1915,17.0769,21.3538,100.0,15,165,0.103,1.1333,4.38,short,0.4829,,SHORT_REVERSAL
OR_AD_B_C,((A AND D) OR B OR C),short_SHORT_REVERSAL,388,17,371,1.0,0.2656,0.4198,6.0625,117.1915,17.3566,20.4079,100.0,15,165,0.103,1.1333,4.38,short,0.4829,,SHORT_REVERSAL
OR_AB_C_D,((A AND B) OR C OR D),short_SHORT_BREAKDOWN,199,17,182,0.9412,0.2807,0.4324,3.2859,55.0244,16.1832,16.6194,94.12,17,110,0.1545,1.1333,8.54,short,0.4749,,SHORT_BREAKDOWN
OR_A_B_C_D,(A OR B OR C OR D),short_SHORT_BREAKDOWN,199,17,182,0.9412,0.2807,0.4324,3.2859,55.0244,16.1832,16.6194,94.12,17,110,0.1545,1.1333,8.54,short,0.4749,,SHORT_BREAKDOWN
AND_B,B,short_SHORT_REVERSAL,388,16,372,1.0,0.25,0.4,6.0625,108.0,17.6434,22.1945,100.0,14,165,0.097,1.0667,4.12,short,0.4692,,SHORT_REVERSAL
OR_ACD_B,((A AND C AND D) OR B),short_SHORT_REVERSAL,388,16,372,1.0,0.25,0.4,6.0625,108.0,17.6434,22.1945,100.0,14,165,0.097,1.0667,4.12,short,0.4692,,SHORT_REVERSAL
OR_A_B_CD,(A OR B OR (C AND D)),short_SHORT_REVERSAL,388,16,372,1.0,0.25,0.4,6.0625,108.0,17.6434,22.1945,100.0,14,165,0.097,1.0667,4.12,short,0.4692,,SHORT_REVERSAL
OR_AC_B_D,((A AND C) OR B OR D),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,16.9158,17.0608,93.33,15,110,0.1364,1.0,7.54,short,0.4438,,SHORT_BREAKDOWN
OR_A_BC_D,(A OR (B AND C) OR D),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,16.9158,17.0608,93.33,15,110,0.1364,1.0,7.54,short,0.4438,,SHORT_BREAKDOWN
OR_AD_B_C,((A AND D) OR B OR C),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,17.2423,17.5687,93.33,15,110,0.1364,1.0,7.54,short,0.4438,,SHORT_BREAKDOWN
OR_A_BD_C,(A OR (B AND D) OR C),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,17.2423,17.5687,93.33,15,110,0.1364,1.0,7.54,short,0.4438,,SHORT_BREAKDOWN
AND_B,B,long_LONG_BREAKOUT,312,16,296,0.9375,0.2206,0.3571,4.3015,68.7736,27.0379,29.5664,93.75,16,150,0.1067,1.0667,5.13,long,0.4403,,LONG_BREAKOUT
OR_ACD_B,((A AND C AND D) OR B),long_LONG_BREAKOUT,312,16,296,0.9375,0.2206,0.3571,4.3015,68.7736,27.0379,29.5664,93.75,16,150,0.1067,1.0667,5.13,long,0.4403,,LONG_BREAKOUT
AND_BD,(B AND D),long_all,897,23,874,0.913,0.1173,0.2079,4.5754,95.1646,26.3633,28.4172,95.65,22,180,0.1278,1.5333,2.56,long,0.4344,1.0,
OR_AC_BD,((A AND C) OR (B AND D)),long_all,897,23,874,0.913,0.1173,0.2079,4.5754,95.1646,26.3633,28.4172,95.65,22,180,0.1278,1.5333,2.56,long,0.4344,1.0,
OR_AB_C_D,((A AND B) OR C OR D),short_SHORT_REVERSAL,388,13,375,1.0,0.2031,0.3377,6.0625,82.5882,18.7173,22.6921,100.0,11,165,0.0788,0.8667,3.35,short,0.4281,,SHORT_REVERSAL
AND_D,D,short_SHORT_BREAKDOWN,199,14,185,0.9286,0.2281,0.3662,3.2419,41.6591,17.3302,17.5902,92.86,14,110,0.1273,0.9333,7.04,short,0.4281,,SHORT_BREAKDOWN
OR_ABC_D,((A AND B AND C) OR D),short_SHORT_BREAKDOWN,199,14,185,0.9286,0.2281,0.3662,3.2419,41.6591,17.3302,17.5902,92.86,14,110,0.1273,0.9333,7.04,short,0.4281,,SHORT_BREAKDOWN
OR_ABD_C,((A AND B AND D) OR C),short_SHORT_BREAKDOWN,199,14,185,0.9286,0.2281,0.3662,3.2419,41.6591,17.68,18.1343,92.86,14,110,0.1273,0.9333,7.04,short,0.4281,,SHORT_BREAKDOWN
OR_AD_BC,((A AND D) OR (B AND C)),long_all,897,22,875,0.9091,0.1117,0.199,4.5556,90.0629,27.4308,28.9218,95.45,21,180,0.1222,1.4667,2.45,long,0.4242,1.0,
OR_A_BC_D,(A OR (B AND C) OR D),short_SHORT_REVERSAL,388,12,376,1.0,0.1875,0.3158,6.0625,74.7692,19.213,25.2645,100.0,10,165,0.0727,0.8,3.09,short,0.4144,,SHORT_REVERSAL
OR_A_BD_C,(A OR (B AND D) OR C),short_SHORT_REVERSAL,388,12,376,1.0,0.1875,0.3158,6.0625,74.7692,19.6092,23.9246,100.0,10,165,0.0727,0.8,3.09,short,0.4144,,SHORT_REVERSAL
AND_AD,(A AND D),long_all,897,21,876,0.9048,0.1061,0.19,4.5339,85.025,27.5112,29.4789,95.24,20,180,0.1167,1.4,2.34,long,0.4139,1.0,
AND_ABD,(A AND B AND D),long_all,897,21,876,0.9048,0.1061,0.19,4.5339,85.025,27.5112,29.4789,95.24,20,180,0.1167,1.4,2.34,long,0.4139,1.0,
OR_AB_CD,((A AND B) OR (C AND D)),short_SHORT_BREAKDOWN,199,13,186,0.9231,0.2105,0.3429,3.2227,37.6,18.2506,18.2241,92.31,13,110,0.1182,0.8667,6.53,short,0.4122,,SHORT_BREAKDOWN
OR_A_B_CD,(A OR B OR (C AND D)),short_SHORT_BREAKDOWN,199,13,186,0.9231,0.2105,0.3429,3.2227,37.6,18.2506,18.2241,92.31,13,110,0.1182,0.8667,6.53,short,0.4122,,SHORT_BREAKDOWN
AND_BD,(B AND D),long_LONG_BREAKOUT,312,14,298,0.9286,0.1912,0.3171,4.2605,57.4364,28.173,30.302,92.86,14,150,0.0933,0.9333,4.49,long,0.4115,,LONG_BREAKOUT
OR_AC_BD,((A AND C) OR (B AND D)),long_LONG_BREAKOUT,312,14,298,0.9286,0.1912,0.3171,4.2605,57.4364,28.173,30.302,92.86,14,150,0.0933,0.9333,4.49,long,0.4115,,LONG_BREAKOUT
AND_B,B,long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,0.4083,,LONG_CONTINUATION
