rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_pattern,live_score
AND_A,A,long_LONG_CONTINUATION,109,2,107,1.0,0.1111,0.2,6.0556,11.375,33.4254,58.252,100.0,2,91,0.022,0.1333,1.83,long,LONG_CONTINUATION,0.3133
AND_B,B,long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,LONG_CONTINUATION,0.4083
AND_C,C,long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
AND_D,D,long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
AND_AB,(A AND B),long_LONG_CONTINUATION,109,2,107,1.0,0.1111,0.2,6.0556,11.375,33.4254,58.252,100.0,2,91,0.022,0.1333,1.83,long,LONG_CONTINUATION,0.3133
AND_AC,(A AND C),long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
AND_AD,(A AND D),long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
AND_BC,(B AND C),long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
AND_BD,(B AND D),long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
AND_CD,(C AND D),long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
AND_ABC,(A AND B AND C),long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
AND_ABD,(A AND B AND D),long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
AND_ACD,(A AND C AND D),long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
AND_BCD,(B AND C AND D),long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
AND_ABCD,(A AND B AND C AND D),long_LONG_CONTINUATION,109,0,109,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0,91,0.0,0.0,0.0,long,LONG_CONTINUATION,-1.0
OR_ABC_D,((A AND B AND C) OR D),long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
OR_ABD_C,((A AND B AND D) OR C),long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
OR_AB_CD,((A AND B) OR (C AND D)),long_LONG_CONTINUATION,109,2,107,1.0,0.1111,0.2,6.0556,11.375,33.4254,58.252,100.0,2,91,0.022,0.1333,1.83,long,LONG_CONTINUATION,0.3133
OR_AB_C_D,((A AND B) OR C OR D),long_LONG_CONTINUATION,109,2,107,1.0,0.1111,0.2,6.0556,11.375,33.4254,58.252,100.0,2,91,0.022,0.1333,1.83,long,LONG_CONTINUATION,0.3133
OR_ACD_B,((A AND C AND D) OR B),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,LONG_CONTINUATION,0.4083
OR_AC_BD,((A AND C) OR (B AND D)),long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
OR_AC_B_D,((A AND C) OR B OR D),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,LONG_CONTINUATION,0.4083
OR_AD_BC,((A AND D) OR (B AND C)),long_LONG_CONTINUATION,109,1,108,1.0,0.0556,0.1053,6.0556,5.3529,48.7511,77.7461,100.0,1,91,0.011,0.0667,0.92,long,LONG_CONTINUATION,0.2817
OR_A_BCD,(A OR (B AND C AND D)),long_LONG_CONTINUATION,109,2,107,1.0,0.1111,0.2,6.0556,11.375,33.4254,58.252,100.0,2,91,0.022,0.1333,1.83,long,LONG_CONTINUATION,0.3133
OR_A_BC_D,(A OR (B AND C) OR D),long_LONG_CONTINUATION,109,2,107,1.0,0.1111,0.2,6.0556,11.375,33.4254,58.252,100.0,2,91,0.022,0.1333,1.83,long,LONG_CONTINUATION,0.3133
OR_AD_B_C,((A AND D) OR B OR C),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,LONG_CONTINUATION,0.4083
OR_A_BD_C,(A OR (B AND D) OR C),long_LONG_CONTINUATION,109,2,107,1.0,0.1111,0.2,6.0556,11.375,33.4254,58.252,100.0,2,91,0.022,0.1333,1.83,long,LONG_CONTINUATION,0.3133
OR_A_B_CD,(A OR B OR (C AND D)),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,LONG_CONTINUATION,0.4083
