event,scan_time_kst,symbol,direction,entry_score,live_pattern,direction_confidence,pattern_confidence,rule_margin,return_2h
enter,2026-06-01 00:00:00,AIAUSDT,long,52.36,SHORT_CONTINUATION,0.0345,0.3767,0.051,
enter,2026-06-01 00:00:00,AIAUSDT,short,71.67,SHORT_CONTINUATION,1.0,0.3767,0.051,
exit,2026-06-01 02:00:00,AIAUSDT,long,52.36,SHORT_CONTINUATION,,,,-8.1817
exit,2026-06-01 02:00:00,AIAUSDT,short,71.67,SHORT_CONTINUATION,,,,8.1817
enter,2026-06-01 02:00:00,STGUSDT,long,65.61,SHORT_REVERSAL,1.0,0.4965,0.0333,
enter,2026-06-01 02:00:00,STGUSDT,short,58.95,SHORT_REVERSAL,0.6667,0.4965,0.0333,
exit,2026-06-01 04:00:00,STGUSDT,long,65.61,SHORT_REVERSAL,,,,19.9454
exit,2026-06-01 04:00:00,STGUSDT,short,58.95,SHORT_REVERSAL,,,,-19.9454
enter,2026-06-01 10:00:00,HUSDT,long,75.41,LONG_BREAKOUT,1.0,0.4403,0.2371,
replace,2026-06-01 10:00:00,LABUSDT,long,74.85,SHORT_CONTINUATION,0.6909,0.3767,0.5193,
enter,2026-06-01 10:00:00,LABUSDT,short,81.04,SHORT_CONTINUATION,1.0,0.3767,0.5193,
exit,2026-06-01 12:00:00,HUSDT,long,75.41,LONG_BREAKOUT,,,,24.6202
exit,2026-06-01 12:00:00,LABUSDT,long,74.85,SHORT_CONTINUATION,,,,-7.3123
exit,2026-06-01 12:00:00,LABUSDT,short,81.04,SHORT_CONTINUATION,,,,7.3123
replace,2026-06-02 00:00:00,HUSDT,short,69.54,SHORT_BREAKDOWN,1.0,0.4749,0.1022,
exit,2026-06-02 02:00:00,HUSDT,short,69.54,SHORT_BREAKDOWN,,,,27.036
replace,2026-06-02 18:00:00,SKYAIUSDT,short,81.6,SHORT_BREAKDOWN,1.0,0.4749,0.518,
exit,2026-06-02 20:00:00,SKYAIUSDT,short,81.6,SHORT_BREAKDOWN,,,,34.5271
replace,2026-06-03 10:00:00,DEXEUSDT,long,71.63,LONG_REVERSAL,1.0,0.3202,0.1924,
exit,2026-06-03 12:00:00,DEXEUSDT,long,71.63,LONG_REVERSAL,,,,23.5902
replace,2026-06-07 18:00:00,HOMEUSDT,short,79.6,SHORT_REVERSAL,1.0,0.4965,0.3934,
exit,2026-06-07 20:00:00,HOMEUSDT,short,79.6,SHORT_REVERSAL,,,,29.1591
replace,2026-06-07 20:00:00,SIRENUSDT,long,78.73,LONG_BREAKOUT,1.0,0.4403,0.4031,
exit,2026-06-07 22:00:00,SIRENUSDT,long,78.73,LONG_BREAKOUT,,,,35.076
replace,2026-06-10 16:00:00,ESPORTSUSDT,long,84.06,LONG_BREAKOUT,1.0,0.4403,0.8123,
exit,2026-06-10 18:00:00,ESPORTSUSDT,long,84.06,LONG_BREAKOUT,,,,47.6005
replace,2026-06-14 22:00:00,HUSDT,short,89.37,SHORT_BREAKDOWN,1.0,0.4749,0.9067,
exit,2026-06-15 00:00:00,HUSDT,short,89.37,SHORT_BREAKDOWN,,,,12.7507
