scan_time_kst,symbol,direction,entry_score,live_pattern,movement_group,portfolio_result,portfolio_stage,action,replaced_symbol,required_score,score_gap
2026-06-01 00:00:00,AIAUSDT,short,71.67,SHORT_CONTINUATION,SHORT_CONTINUATION|r-13.0|rng19.0,PASS,portfolio,enter,,,
2026-06-01 02:00:00,STGUSDT,long,65.61,SHORT_REVERSAL,SHORT_REVERSAL|r14.0|rng18.0,PASS,portfolio,enter,,,
2026-06-01 10:00:00,HUSDT,long,75.41,LONG_BREAKOUT,LONG_BREAKOUT|r20.0|rng55.0,PASS,portfolio,enter,,,
2026-06-01 10:00:00,LABUSDT,short,81.04,SHORT_CONTINUATION,SHORT_CONTINUATION|r-9.0|rng36.0,PASS,portfolio,enter,,,
2026-06-01 18:00:00,LABUSDT,long,71.02,LONG_BREAKOUT,LONG_BREAKOUT|r15.0|rng20.0,PASS,portfolio,enter,,,
2026-06-01 22:00:00,VICUSDT,short,61.37,SHORT_REVERSAL,SHORT_REVERSAL|r-12.0|rng13.0,PASS,portfolio,enter,,,
2026-06-02 00:00:00,HUSDT,short,69.54,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-16.0|rng18.0,Replacement,portfolio,replace,VICUSDT,,
2026-06-02 02:00:00,GUAUSDT,short,72.68,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-12.0|rng20.0,Low_Score,portfolio,,,75.1,2.42
2026-06-02 10:00:00,ESPORTSUSDT,short,70.72,SHORT_REVERSAL,SHORT_REVERSAL|r-16.0|rng18.0,Low_Score,portfolio,,,75.1,4.38
2026-06-02 16:00:00,SKYAIUSDT,short,73.13,SHORT_REVERSAL,SHORT_REVERSAL|r-19.0|rng24.0,Low_Score,portfolio,,,75.1,1.97
2026-06-02 18:00:00,SKYAIUSDT,short,81.6,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-27.0|rng37.0,Replacement,portfolio,replace,HUSDT,,
2026-06-03 00:00:00,ALLOUSDT,long,66.58,SHORT_REVERSAL,SHORT_REVERSAL|r21.0|rng27.0,Low_Score,portfolio,,,70.86,4.28
2026-06-03 00:00:00,UBUSDT,short,70.24,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-17.0|rng22.0,Low_Score,portfolio,,,77.4,7.16
2026-06-03 06:00:00,LABUSDT,short,69.87,UNLABELED,UNLABELED|r-13.0|rng39.0,Already_Occupied,portfolio,,,,
2026-06-03 06:00:00,LABUSDT,short,69.87,UNLABELED,UNLABELED|r-13.0|rng39.0,Low_Score,portfolio,,,77.4,7.53
2026-06-03 10:00:00,DEXEUSDT,long,71.63,LONG_REVERSAL,LONG_REVERSAL|r25.0|rng34.0,Replacement,portfolio,replace,STGUSDT,,
2026-06-03 14:00:00,SKYAIUSDT,short,72.41,UNLABELED,UNLABELED|r-14.0|rng36.0,Already_Occupied,portfolio,,,,
