scan_kst,n_candidates,top2,top2_topn_overlap,top2_topn_overlap_pct,top2_max_gt0_pct,top2_max_ge3_pct,top2_max_ge4_pct,top2_final_gt0_pct,top2_avg_max_up_4h,top5,top5_topn_overlap,top5_topn_overlap_pct,top5_max_gt0_pct,top5_max_ge3_pct,top5_max_ge4_pct,top5_final_gt0_pct,top5_avg_max_up_4h,top7,top7_topn_overlap,top7_topn_overlap_pct,top7_max_gt0_pct,top7_max_ge3_pct,top7_max_ge4_pct,top7_final_gt0_pct,top7_avg_max_up_4h
2026-06-01 00:00:00,29,"{'topn_overlap': 1, 'topn_overlap_pct': 50.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 50.0, 'max_ge4_pct': 50.0, 'final_gt0_pct': 0.0, 'avg_max_up_4h': 14.0114}",1,50.0,100.0,50.0,50.0,0.0,14.0114,"{'topn_overlap': 2, 'topn_overlap_pct': 40.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 80.0, 'max_ge4_pct': 60.0, 'final_gt0_pct': 40.0, 'avg_max_up_4h': 9.5624}",2,40.0,100.0,80.0,60.0,40.0,9.5624,"{'topn_overlap': 3, 'topn_overlap_pct': 42.86, 'max_gt0_pct': 100.0, 'max_ge3_pct': 71.43, 'max_ge4_pct': 57.14, 'final_gt0_pct': 42.86, 'avg_max_up_4h': 12.1914}",3,42.86,100.0,71.43,57.14,42.86,12.1914
2026-06-01 02:00:00,18,"{'topn_overlap': 2, 'topn_overlap_pct': 100.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 32.7286}",2,100.0,100.0,100.0,100.0,100.0,32.7286,"{'topn_overlap': 5, 'topn_overlap_pct': 100.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 80.0, 'avg_max_up_4h': 21.8642}",5,100.0,100.0,100.0,100.0,80.0,21.8642,"{'topn_overlap': 5, 'topn_overlap_pct': 71.43, 'max_gt0_pct': 100.0, 'max_ge3_pct': 85.71, 'max_ge4_pct': 85.71, 'final_gt0_pct': 71.43, 'avg_max_up_4h': 16.6189}",5,71.43,100.0,85.71,85.71,71.43,16.6189
2026-06-01 04:00:00,19,"{'topn_overlap': 1, 'topn_overlap_pct': 50.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 15.8437}",1,50.0,100.0,100.0,100.0,100.0,15.8437,"{'topn_overlap': 3, 'topn_overlap_pct': 60.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 11.0391}",3,60.0,100.0,100.0,100.0,100.0,11.0391,"{'topn_overlap': 3, 'topn_overlap_pct': 42.86, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 85.71, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 9.4085}",3,42.86,100.0,100.0,85.71,100.0,9.4085
2026-06-01 06:00:00,17,"{'topn_overlap': 0, 'topn_overlap_pct': 0.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 50.0, 'avg_max_up_4h': 7.138}",0,0.0,100.0,100.0,100.0,50.0,7.138,"{'topn_overlap': 2, 'topn_overlap_pct': 40.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 60.0, 'avg_max_up_4h': 5.9525}",2,40.0,100.0,100.0,100.0,60.0,5.9525,"{'topn_overlap': 5, 'topn_overlap_pct': 71.43, 'max_gt0_pct': 100.0, 'max_ge3_pct': 85.71, 'max_ge4_pct': 85.71, 'final_gt0_pct': 71.43, 'avg_max_up_4h': 5.8743}",5,71.43,100.0,85.71,85.71,71.43,5.8743
2026-06-01 08:00:00,18,"{'topn_overlap': 1, 'topn_overlap_pct': 50.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 50.0, 'avg_max_up_4h': 16.1593}",1,50.0,100.0,100.0,100.0,50.0,16.1593,"{'topn_overlap': 3, 'topn_overlap_pct': 60.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 80.0, 'max_ge4_pct': 80.0, 'final_gt0_pct': 60.0, 'avg_max_up_4h': 23.2271}",3,60.0,100.0,80.0,80.0,60.0,23.2271,"{'topn_overlap': 6, 'topn_overlap_pct': 85.71, 'max_gt0_pct': 100.0, 'max_ge3_pct': 85.71, 'max_ge4_pct': 85.71, 'final_gt0_pct': 71.43, 'avg_max_up_4h': 19.9333}",6,85.71,100.0,85.71,85.71,71.43,19.9333
2026-06-01 10:00:00,55,"{'topn_overlap': 0, 'topn_overlap_pct': 0.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 50.0, 'avg_max_up_4h': 9.6688}",0,0.0,100.0,100.0,100.0,50.0,9.6688,"{'topn_overlap': 2, 'topn_overlap_pct': 40.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 80.0, 'max_ge4_pct': 60.0, 'final_gt0_pct': 40.0, 'avg_max_up_4h': 6.9873}",2,40.0,100.0,80.0,60.0,40.0,6.9873,"{'topn_overlap': 3, 'topn_overlap_pct': 42.86, 'max_gt0_pct': 100.0, 'max_ge3_pct': 71.43, 'max_ge4_pct': 57.14, 'final_gt0_pct': 42.86, 'avg_max_up_4h': 6.0509}",3,42.86,100.0,71.43,57.14,42.86,6.0509
2026-06-01 12:00:00,47,"{'topn_overlap': 0, 'topn_overlap_pct': 0.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 50.0, 'final_gt0_pct': 50.0, 'avg_max_up_4h': 6.9488}",0,0.0,100.0,100.0,50.0,50.0,6.9488,"{'topn_overlap': 2, 'topn_overlap_pct': 40.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 80.0, 'max_ge4_pct': 60.0, 'final_gt0_pct': 60.0, 'avg_max_up_4h': 7.5793}",2,40.0,100.0,80.0,60.0,60.0,7.5793,"{'topn_overlap': 4, 'topn_overlap_pct': 57.14, 'max_gt0_pct': 100.0, 'max_ge3_pct': 71.43, 'max_ge4_pct': 57.14, 'final_gt0_pct': 57.14, 'avg_max_up_4h': 7.4978}",4,57.14,100.0,71.43,57.14,57.14,7.4978
2026-06-01 14:00:00,36,"{'topn_overlap': 0, 'topn_overlap_pct': 0.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 12.6139}",0,0.0,100.0,100.0,100.0,100.0,12.6139,"{'topn_overlap': 4, 'topn_overlap_pct': 80.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 80.0, 'avg_max_up_4h': 11.7051}",4,80.0,100.0,100.0,100.0,80.0,11.7051,"{'topn_overlap': 4, 'topn_overlap_pct': 57.14, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 85.71, 'final_gt0_pct': 71.43, 'avg_max_up_4h': 9.5684}",4,57.14,100.0,100.0,85.71,71.43,9.5684
2026-06-01 16:00:00,37,"{'topn_overlap': 1, 'topn_overlap_pct': 50.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 17.6782}",1,50.0,100.0,100.0,100.0,100.0,17.6782,"{'topn_overlap': 4, 'topn_overlap_pct': 80.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 24.6546}",4,80.0,100.0,100.0,100.0,100.0,24.6546,"{'topn_overlap': 5, 'topn_overlap_pct': 71.43, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 85.71, 'avg_max_up_4h': 19.6083}",5,71.43,100.0,100.0,100.0,85.71,19.6083
2026-06-01 18:00:00,28,"{'topn_overlap': 1, 'topn_overlap_pct': 50.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 100.0, 'avg_max_up_4h': 21.5502}",1,50.0,100.0,100.0,100.0,100.0,21.5502,"{'topn_overlap': 4, 'topn_overlap_pct': 80.0, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 60.0, 'avg_max_up_4h': 16.6391}",4,80.0,100.0,100.0,100.0,60.0,16.6391,"{'topn_overlap': 6, 'topn_overlap_pct': 85.71, 'max_gt0_pct': 100.0, 'max_ge3_pct': 100.0, 'max_ge4_pct': 100.0, 'final_gt0_pct': 71.43, 'avg_max_up_4h': 14.4617}",6,85.71,100.0,100.0,100.0,71.43,14.4617
