feature,gain_importance,permutation_importance,shap_mean_abs,combined_score,importance_rank
ctx_rank_5m_release,0,0,0.854102,0.256231,1
ctx_rank_5m_compression,0,0,0.133562,0.040069,2
direction_confidence,0,0,0.121993,0.036598,3
entry_score,0,0,0.094728,0.028418,4
dna_2h_previous_volume_ratio,0,0,0.089559,0.026868,5
a6_formula_score,0,0,0.055047,0.016514,6
cluster_top_score,0,0,0.047816,0.014345,7
dna_15m_current_range_pct,0,0,0.046412,0.013924,8
meta_derived_atr_expansion,0,0,0.036812,0.011044,9
dna_5m_release,0,0,0.03438,0.010314,10
dna_derived_breakout_flag,0,0,0.033577,0.010073,11
dna_1h_current_return_pct,0,0,0.033432,0.01003,12
ctx_rank_1h_current_return_pct,0,0,0.033134,0.00994,13
meta_derived_breakout_flag,0,0,0.028134,0.00844,14
dna_derived_atr_expansion,0,0,0.028072,0.008422,15
dna_2h_current_ma20_distance_pct,0,0,0.026711,0.008013,16
exec_obs_volume_surge,0,0,0.026591,0.007977,17
phase20_base_score,0,0,0.025266,0.00758,18
ctx_rank_2h_current_return_pct,0,0,0.025069,0.007521,19
search_rank_pct_return,0,0,0.024353,0.007306,20
