split,model,strategy,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split_type,fold_id
blind,lightgbm_ranker,lightgbm_ranker,272,55,4.577,7.7441,4.577,52.21,60.29,52.21,8.5121,21.4458,-37.4967,100.0,4.577,22.6355,0.9614,1.0,1.0,0.9909,0.5964,1.0,1.0,1.0,,
,lightgbm_ranker,,272,55,4.577,7.7441,4.577,52.21,60.29,52.21,8.5121,21.4458,-37.4967,100.0,4.577,22.6355,0.9614,1.0,1.0,0.9909,0.5964,1.0,1.0,1.0,monthly,2026-06
,lightgbm_ranker,,35,7,8.2916,11.6158,8.2916,71.43,60.0,71.43,5.1565,16.7872,-17.0784,100.0,8.2916,41.4581,0.9117,1.0,1.0,0.9286,0.6,1.0,1.0,1.0,weekly,2026-06-11
,lightgbm_ranker,,60,12,7.3405,12.126,7.3405,63.33,60.0,63.33,6.0064,35.7061,-9.9589,100.0,7.3405,36.7026,0.9722,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-12
,lightgbm_ranker,,57,12,2.6903,4.2012,2.6903,38.6,61.4,38.6,3.3352,10.3745,-10.3206,100.0,2.6903,12.779,0.9549,1.0,1.0,1.0,0.5833,1.0,1.0,1.0,weekly,2026-06-13
,lightgbm_ranker,,60,12,2.2821,5.6108,2.2821,50.0,60.0,50.0,2.1938,3.4025,-37.4967,100.0,2.2821,11.4103,0.977,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-14
,lightgbm_ranker,,60,12,3.734,6.7799,3.734,45.0,60.0,45.0,3.0674,7.1081,-28.0307,100.0,3.734,18.6701,0.9704,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-15
walk_forward,lightgbm_ranker,,272,55,4.577,7.7441,4.577,52.21,60.29,52.21,8.5121,21.4458,-37.4967,100.0,4.577,22.6355,0.9614,1.0,1.0,0.9909,0.5964,1.0,1.0,1.0,,
blind,xgboost_ranker,xgboost_ranker,272,55,4.5025,7.7141,4.5025,53.31,58.82,53.31,8.4831,22.7008,-38.8041,100.0,4.5025,22.267,0.9531,1.0,1.0,0.9818,0.5818,0.9758,1.0,1.0,,
,xgboost_ranker,,272,55,4.5025,7.7141,4.5025,53.31,58.82,53.31,8.4831,22.7008,-38.8041,100.0,4.5025,22.267,0.9531,1.0,1.0,0.9818,0.5818,0.9758,1.0,1.0,monthly,2026-06
,xgboost_ranker,,35,7,7.8747,11.6158,7.8747,71.43,57.14,71.43,4.9398,15.9555,-17.0784,100.0,7.8747,39.3733,0.8729,1.0,1.0,0.9286,0.5714,0.9524,1.0,1.0,weekly,2026-06-11
,xgboost_ranker,,60,12,7.2134,12.0627,7.2134,68.33,60.0,68.33,5.7929,29.7798,-9.9589,100.0,7.2134,36.067,0.9836,1.0,1.0,0.9583,0.6,1.0,1.0,1.0,weekly,2026-06-12
,xgboost_ranker,,57,12,2.5578,4.127,2.5578,40.35,57.89,40.35,3.1439,9.7821,-10.3206,100.0,2.5578,12.1494,0.9419,1.0,1.0,1.0,0.55,0.9444,1.0,1.0,weekly,2026-06-13
,xgboost_ranker,,60,12,2.6134,5.6108,2.6134,48.33,58.33,48.33,2.7909,4.8105,-38.8041,100.0,2.6134,13.0672,0.9719,1.0,1.0,1.0,0.5833,0.9722,1.0,1.0,weekly,2026-06-14
,xgboost_ranker,,60,12,3.5612,6.7799,3.5612,45.0,60.0,45.0,2.8764,6.5593,-36.7299,100.0,3.5612,17.8058,0.9616,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-15
