regime,engine,sample_count,avg_return_2h,win_rate,profit_factor,trap_rate,max_drawdown_avg,big_winner_capture_rate,router_score
Bear,BREAKOUT,140,2.9376,42.14,2.83,10.71,-4.8439,72.14,3.17
Bear,COMPRESSION,140,-0.3035,20.71,0.89,13.57,-6.0359,47.86,-5.94
Bear,FEATURE_LEAGUE,136,2.9564,27.94,5.47,4.41,-2.2153,49.26,8.35
Bear,FORMULA_LEAGUE,140,4.3415,48.57,7.67,7.14,-2.2845,73.57,12.61
Bear,MOMENTUM,140,4.3415,48.57,7.67,7.14,-2.2845,73.57,12.61
Bear,REVERSAL,140,1.0875,25.0,1.71,12.14,-3.3296,52.14,-1.77
Bear,STATE_LEAGUE,140,3.4144,40.0,4.43,10.71,-2.8374,71.43,5.64
Bottom,BREAKOUT,2,-1.7608,0.0,0.0,0.0,-2.1128,0.0,-2.39
Bottom,COMPRESSION,2,-1.7608,0.0,0.0,0.0,-2.1128,0.0,-2.39
Bottom,FEATURE_LEAGUE,2,-1.7608,0.0,0.0,0.0,-2.1128,0.0,-2.39
Bottom,FORMULA_LEAGUE,2,-1.7608,0.0,0.0,0.0,-2.1128,0.0,-2.39
Bottom,MOMENTUM,2,-1.7608,0.0,0.0,0.0,-2.1128,0.0,-2.39
Bottom,REVERSAL,2,-1.7608,0.0,0.0,0.0,-2.1128,0.0,-2.39
Bottom,STATE_LEAGUE,2,-1.7608,0.0,0.0,0.0,-2.1128,0.0,-2.39
Breakout,BREAKOUT,5,7.5311,60.0,37.66,0.0,-3.257,80.0,50.21
Breakout,COMPRESSION,5,1.9752,40.0,1.71,20.0,-5.0325,80.0,-3.82
Breakout,FEATURE_LEAGUE,5,3.1584,80.0,15.79,0.0,-2.7682,60.0,26.12
Breakout,FORMULA_LEAGUE,5,9.3996,80.0,47.0,0.0,-2.1503,100.0,63.75
Breakout,MOMENTUM,5,9.3996,80.0,47.0,0.0,-2.1503,100.0,63.75
Breakout,REVERSAL,5,0.3743,20.0,1.25,20.0,-3.7702,40.0,-7.51
Breakout,STATE_LEAGUE,5,6.4853,60.0,32.43,0.0,-1.7963,80.0,44.38
Bull,BREAKOUT,240,4.2392,56.25,4.18,8.33,-3.8898,80.0,8.71
Bull,COMPRESSION,240,1.0964,33.33,1.41,13.33,-5.8478,60.42,-2.58
Bull,FEATURE_LEAGUE,240,2.9742,36.67,7.08,3.33,-1.7015,50.83,11.55
Bull,FORMULA_LEAGUE,240,5.1614,60.42,9.18,7.92,-2.1374,84.58,15.78
Bull,MOMENTUM,240,5.1614,60.42,9.18,7.92,-2.1374,84.58,15.78
Bull,REVERSAL,240,2.6225,36.25,3.45,6.67,-2.3393,55.0,5.66
Bull,STATE_LEAGUE,240,4.8938,59.58,6.83,8.75,-2.5318,85.0,12.55
Capitulation,BREAKOUT,55,1.7577,36.36,2.17,7.27,-4.7478,52.73,2.5
Capitulation,COMPRESSION,55,-0.6061,18.18,0.76,7.27,-6.1323,34.55,-3.5
Capitulation,FEATURE_LEAGUE,44,3.5547,43.18,24.2,0.0,-2.1448,63.64,31.43
Capitulation,FORMULA_LEAGUE,55,3.5483,41.82,12.63,3.64,-2.4609,65.45,17.8
Capitulation,MOMENTUM,55,3.5483,41.82,12.63,3.64,-2.4609,65.45,17.8
Capitulation,REVERSAL,55,1.1631,25.45,1.77,5.45,-3.8851,41.82,1.59
Capitulation,STATE_LEAGUE,55,2.6739,40.0,3.94,5.45,-3.2691,63.64,6.91
Sideway,BREAKOUT,260,4.0066,56.15,3.28,5.38,-4.6159,74.62,8.83
Sideway,COMPRESSION,260,1.1327,34.23,1.4,7.69,-5.9911,53.08,0.31
Sideway,FEATURE_LEAGUE,260,3.1867,32.31,11.15,1.15,-1.4273,48.08,16.56
Sideway,FORMULA_LEAGUE,260,5.8322,59.62,27.28,1.54,-1.443,81.15,37.87
Sideway,MOMENTUM,260,5.8322,59.62,27.28,1.54,-1.443,81.15,37.87
Sideway,REVERSAL,260,2.789,33.85,5.39,2.31,-1.9222,52.69,9.83
Sideway,STATE_LEAGUE,260,5.3123,55.77,9.7,3.85,-2.1766,81.54,18.01
Strong_Bull,BREAKOUT,90,6.7216,67.78,18.16,3.33,-2.2008,88.89,29.33
Strong_Bull,COMPRESSION,90,1.9762,40.0,2.11,6.67,-3.9481,62.22,3.57
Strong_Bull,FEATURE_LEAGUE,90,2.1095,24.44,22.8,0.0,-0.9523,38.89,27.07
Strong_Bull,FORMULA_LEAGUE,90,6.61,68.89,83.22,1.11,-1.0053,92.22,95.86
Strong_Bull,MOMENTUM,90,6.61,68.89,83.22,1.11,-1.0053,92.22,95.86
Strong_Bull,REVERSAL,90,3.6947,42.22,19.65,1.11,-0.82,62.22,26.77
Strong_Bull,STATE_LEAGUE,90,6.806,66.67,79.72,1.11,-1.0727,88.89,92.32
Unknown,BREAKOUT,105,2.8369,47.62,3.46,5.71,-3.7287,67.62,7.09
Unknown,COMPRESSION,105,-0.2804,25.71,0.9,8.57,-5.5212,45.71,-2.75
Unknown,FEATURE_LEAGUE,102,2.7614,34.31,13.24,0.98,-1.5212,47.06,18.49
Unknown,FORMULA_LEAGUE,105,3.9925,50.48,11.73,5.71,-1.5802,70.48,17.44
Unknown,MOMENTUM,105,3.9925,50.48,11.73,5.71,-1.5802,70.48,17.44
Unknown,REVERSAL,105,2.2629,32.38,3.46,6.67,-2.2577,54.29,4.95
Unknown,STATE_LEAGUE,105,3.2668,47.62,4.76,9.52,-2.556,75.24,7.26
