scan_time_kst,symbol,direction,feature,feature_label,passed,gap_pct,value,threshold
2026-06-01 00:00:00,币安人生USDT,long,1h_current_body_pct,Body,False,74.1051,3.5822,13.83363
2026-06-01 00:00:00,ALLOUSDT,long,1h_current_body_pct,Body,False,85.2598,2.0391,13.83363
2026-06-01 00:00:00,INUSDT,long,1h_current_range_pct,Range,False,75.2653,6.661,26.929756
2026-06-01 00:00:00,FORMUSDT,long,1h_current_range_pct,Range,False,85.3705,3.9397,26.929756
2026-06-01 00:00:00,BILLUSDT,long,1h_current_range_pct,Range,False,79.6066,5.4919,26.929756
2026-06-01 00:00:00,AIAUSDT,short,1h_current_range_pct,Range,True,0.0,19.1951,17.41933
2026-06-01 00:00:00,GUAUSDT,short,2h_current_return_pct,Momentum,False,84.0677,-3.2008,-20.089984
2026-06-01 00:00:00,COAIUSDT,short,1h_current_return_pct,Momentum,False,72.4996,-3.2351,-11.76382
2026-06-01 00:00:00,PLAYUSDT,short,2h_current_return_pct,Momentum,False,104.6994,0.9441,-20.089984
2026-06-01 00:00:00,MUSDT,short,2h_current_return_pct,Momentum,False,71.4241,-5.7409,-20.089984
2026-06-01 02:00:00,STGUSDT,long,1h_current_body_pct,Body,True,0.0,13.5015,10.89637
2026-06-01 02:00:00,币安人生USDT,long,1h_current_range_pct,Range,False,58.6825,11.1267,26.929756
2026-06-01 02:00:00,LABUSDT,long,1h_current_range_pct,Range,False,68.2366,8.5538,26.929756
2026-06-01 02:00:00,GUAUSDT,long,1h_current_body_pct,Body,False,58.1455,5.79,13.83363
2026-06-01 02:00:00,UBUSDT,long,1h_current_body_pct,Body,False,61.0449,5.3889,13.83363
2026-06-01 02:00:00,UBUSDT,long,2h_current_body_pct,Body,False,94.4298,1.2322,22.121308
2026-06-01 02:00:00,ALLOUSDT,short,2h_current_return_pct,Momentum,False,88.1234,-2.386,-20.089984
2026-06-01 02:00:00,TAUSDT,short,1h_current_return_pct,Momentum,False,66.181,-3.9784,-11.76382
2026-06-01 02:00:00,GWEIUSDT,short,2h_current_return_pct,Momentum,False,83.874,-3.2397,-20.089984
2026-06-01 02:00:00,AIAUSDT,short,1h_current_range_pct,Range,False,78.7904,5.7117,26.929756
2026-06-01 02:00:00,NILUSDT,short,2h_current_return_pct,Momentum,False,92.3121,-1.5445,-20.089984
2026-06-01 04:00:00,STGUSDT,long,1h_current_body_pct,Body,False,51.5066,6.7084,13.83363
2026-06-01 04:00:00,LABUSDT,long,1h_current_range_pct,Range,False,53.8522,12.4275,26.929756
2026-06-01 04:00:00,ALLOUSDT,long,1h_current_range_pct,Range,False,61.0646,10.4852,26.929756
2026-06-01 04:00:00,币安人生USDT,long,1h_current_body_pct,Body,False,51.3504,6.73,13.83363
2026-06-01 04:00:00,币安人生USDT,long,2h_current_body_pct,Body,False,68.5005,6.9681,22.121308
2026-06-01 04:00:00,UBUSDT,long,1h_current_return_pct,Momentum,False,132.6739,3.8437,-11.76382
2026-06-01 04:00:00,ACEUSDT,short,1h_current_return_pct,Momentum,False,76.8102,-2.728,-11.76382
2026-06-01 04:00:00,XLMUSDT,short,1h_current_return_pct,Momentum,False,76.5119,-2.7631,-11.76382
2026-06-01 04:00:00,GUAUSDT,short,2h_current_return_pct,Momentum,False,80.0403,-4.0099,-20.089984
2026-06-01 04:00:00,INUSDT,short,1h_current_return_pct,Momentum,False,80.8004,-2.2586,-11.76382
2026-06-01 04:00:00,EPICUSDT,short,1h_current_range_pct,Range,False,89.4491,1.8379,17.41933
2026-06-01 06:00:00,STGUSDT,long,1h_current_body_pct,Body,False,60.5295,5.4602,13.83363
2026-06-01 06:00:00,LABUSDT,long,1h_current_range_pct,Range,False,74.9318,6.7508,26.929756
2026-06-01 06:00:00,MYXUSDT,long,1h_current_range_pct,Range,False,85.2015,3.9852,26.929756
2026-06-01 06:00:00,LQTYUSDT,long,1h_current_body_pct,Body,False,75.7728,3.3515,13.83363
2026-06-01 06:00:00,LQTYUSDT,long,2h_current_body_pct,Body,False,90.897,2.0137,22.121308
2026-06-01 06:00:00,HYPEUSDT,long,1h_current_body_pct,Body,False,87.2947,1.7576,13.83363
2026-06-01 06:00:00,FETUSDT,short,1h_current_return_pct,Momentum,False,78.8317,-2.4902,-11.76382
2026-06-01 06:00:00,INITUSDT,short,1h_current_return_pct,Momentum,False,88.7494,-1.3235,-11.76382
2026-06-01 06:00:00,ALLOUSDT,short,2h_current_return_pct,Momentum,False,86.2733,-2.7577,-20.089984
2026-06-01 06:00:00,UBUSDT,short,1h_current_return_pct,Momentum,False,89.8851,-1.1899,-11.76382
2026-06-01 06:00:00,BSBUSDT,short,2h_current_return_pct,Momentum,False,83.5455,-3.3057,-20.089984
2026-06-01 08:00:00,LABUSDT,long,1h_current_body_pct,Body,False,83.6637,2.2599,13.83363
2026-06-01 08:00:00,AIAUSDT,long,1h_current_body_pct,Body,False,80.2807,2.7279,13.83363
2026-06-01 08:00:00,SYRUPUSDT,long,1h_current_body_pct,Body,False,84.8695,2.0931,13.83363
2026-06-01 08:00:00,SYRUPUSDT,long,2h_current_body_pct,Body,False,92.5927,1.6386,22.121308
2026-06-01 08:00:00,HUSDT,long,1h_current_return_pct,Momentum,False,102.1711,0.2554,-11.76382
2026-06-01 08:00:00,ACUUSDT,long,1h_current_body_pct,Body,False,97.7873,0.3061,13.83363
2026-06-01 08:00:00,LITUSDT,short,1h_current_return_pct,Momentum,False,62.315,-4.4332,-11.76382
2026-06-01 08:00:00,STGUSDT,short,1h_current_range_pct,Range,False,68.0877,8.5939,26.929756
