scan_time_kst,symbol,direction,live_pattern,stage,final_result,reject_tier,failed_conditions,freshness_score,rule_pass,entry_score
2026-06-01 00:00:00,币安人生USDT,long,LONG_BREAKOUT,rule,Rule_Reject,impossible_reject,1,1.0,False,
2026-06-01 00:00:00,ALLOUSDT,long,LONG_BREAKOUT,rule,Rule_Reject,impossible_reject,1,1.0,False,
2026-06-01 00:00:00,INUSDT,long,LONG_REVERSAL,rule,Rule_Reject,impossible_reject,1,1.0,False,
2026-06-01 00:00:00,FORMUSDT,long,LONG_REVERSAL,rule,Rule_Reject,impossible_reject,1,1.0,False,
2026-06-01 00:00:00,BILLUSDT,long,LONG_REVERSAL,rule,Rule_Reject,impossible_reject,1,0.5462,False,
2026-06-01 00:00:00,AIAUSDT,short,SHORT_CONTINUATION,rule,PASS,pass,0,1.0,True,
2026-06-01 00:00:00,GUAUSDT,short,UNLABELED,rule,Pattern_Reject,impossible_reject,1,0.7605,False,
2026-06-01 00:00:00,COAIUSDT,short,SHORT_REVERSAL,rule,Rule_Reject,impossible_reject,1,0.2324,False,
2026-06-01 00:00:00,PLAYUSDT,short,UNLABELED,rule,Pattern_Reject,impossible_reject,1,1.0,False,
2026-06-01 00:00:00,MUSDT,short,UNLABELED,rule,Pattern_Reject,impossible_reject,1,0.4975,False,
2026-06-01 00:00:00,AIAUSDT,short,SHORT_CONTINUATION,portfolio,PASS,,,,True,71.67
2026-06-01 02:00:00,STGUSDT,long,SHORT_REVERSAL,rule,PASS,pass,0,1.0,True,
2026-06-01 02:00:00,币安人生USDT,long,LONG_REVERSAL,rule,Rule_Reject,impossible_reject,1,1.0,False,
2026-06-01 02:00:00,LABUSDT,long,LONG_REVERSAL,rule,Rule_Reject,impossible_reject,1,1.0,False,
2026-06-01 02:00:00,GUAUSDT,long,LONG_BREAKOUT,rule,Rule_Reject,impossible_reject,1,1.0,False,
2026-06-01 02:00:00,UBUSDT,long,UNLABELED,rule,Pattern_Reject,impossible_reject,2,0.6279,False,
2026-06-01 02:00:00,ALLOUSDT,short,SHORT_BREAKDOWN,rule,Rule_Reject,impossible_reject,1,0.9095,False,
2026-06-01 02:00:00,TAUSDT,short,SHORT_REVERSAL,rule,Rule_Reject,impossible_reject,1,0.2931,False,
2026-06-01 02:00:00,GWEIUSDT,short,UNLABELED,rule,Pattern_Reject,impossible_reject,1,0.3637,False,
