regime_axis,regime,scan_count,sufficient,gap_scans_needed
bull_bear_sideways,bear,53,True,0
bull_bear_sideways,bull,31,True,0
bull_bear_sideways,sideway,96,True,0
volatility,high_volatility,172,True,0
volatility,low_volatility,8,False,2
structure,breakout,1,False,9
structure,compression,163,True,0
structure,neutral,16,True,0
dynamics,mixed,134,True,0
dynamics,rotation,13,True,0
dynamics,trend,33,True,0
ecology,Bear,28,True,0
ecology,Bottom,1,False,9
ecology,Breakout,1,False,9
ecology,Bull,48,True,0
ecology,Capitulation,11,True,0
ecology,Sideway,52,True,0
ecology,Strong_Bull,18,True,0
ecology,Unknown,21,True,0
