rule_id,rule_expr,direction,cluster_hint,act_bear_pct,n_bear,act_bull_pct,n_bull,act_sideway_pct,n_sideway,act_vol_low_volatility_pct,n_vol_low_volatility
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.125),long,candidate,50.0,4,76.92,13,75.0,4,71.43,21
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.25),long,candidate,50.0,4,76.92,13,75.0,4,71.43,21
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.125),long,candidate,50.0,4,76.92,13,75.0,4,71.43,21
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.25),long,candidate,50.0,4,76.92,13,75.0,4,71.43,21
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.125,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.125),long,candidate,50.0,4,84.62,13,75.0,4,76.19,21
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.25,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.25),long,candidate,50.0,4,84.62,13,75.0,4,76.19,21
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.125,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.125),long,candidate,50.0,4,76.92,13,75.0,4,71.43,21
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.25,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.25),long,candidate,50.0,4,76.92,13,75.0,4,71.43,21
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.125,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.125),long,candidate,50.0,4,84.62,13,75.0,4,76.19,21
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.25,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.25),long,candidate,50.0,4,84.62,13,75.0,4,76.19,21
EX_OR_E_direction_confidence_gte_0.5648_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.125),long,candidate,75.0,4,76.92,13,75.0,4,76.19,21
EX_OR_E_direction_confidence_gte_0.5648_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.25),long,candidate,75.0,4,76.92,13,75.0,4,76.19,21
EX_OR_E_direction_confidence_gte_0.6736_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.125),long,candidate,75.0,4,76.92,13,75.0,4,76.19,21
EX_OR_E_direction_confidence_gte_0.6736_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.25),long,candidate,75.0,4,76.92,13,75.0,4,76.19,21
EX_12,rank_obs_return_top5 >= 0.125,long,discovered,50.0,4,61.54,13,75.0,4,61.9,21
EX_13,rank_obs_return_top5 >= 0.25,long,discovered,50.0,4,61.54,13,75.0,4,61.9,21
EX_14,rank_obs_return_top5 >= 0.375,long,discovered,50.0,4,61.54,13,75.0,4,61.9,21
EX_15,rank_obs_return_top5 >= 0.5,long,discovered,50.0,4,61.54,13,75.0,4,61.9,21
EX_16,rank_obs_return_top5 >= 0.625,long,discovered,50.0,4,53.85,13,75.0,4,57.14,21
EX_17,rank_obs_return_top5 >= 0.75,long,discovered,50.0,4,53.85,13,75.0,4,57.14,21
EX_18,rank_obs_return_top5 >= 0.875,long,discovered,50.0,4,53.85,13,75.0,4,57.14,21
EX_19,rank_obs_return_top5 >= 1,long,discovered,50.0,4,53.85,13,75.0,4,57.14,21
EX_20,rank(obs_return_pct) >= 0.4,long,discovered,50.0,4,61.54,13,75.0,4,61.9,21
EX_21,rank(obs_return_pct) >= 0.6,long,discovered,50.0,4,53.85,13,75.0,4,57.14,21
EX_22,rank(obs_return_pct) >= 0.8,long,discovered,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.25,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.25),long,candidate,50.0,4,61.54,13,75.0,4,61.9,21
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.375),long,candidate,50.0,4,61.54,13,75.0,4,61.9,21
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.5),long,candidate,50.0,4,61.54,13,75.0,4,61.9,21
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.625),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.75),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.375),long,candidate,50.0,4,61.54,13,75.0,4,61.9,21
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.5),long,candidate,50.0,4,61.54,13,75.0,4,61.9,21
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.625),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
