rule_id,rule_expr,direction,cluster_id,expr_clusters,empirical_cluster,cluster_members,best_regime,volatility_preference,avg_return_2h,trade_count,status_tags
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid|recommended|rejected
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.125,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,strong_breakout|reversal,bull_trend,bull_trend|reversal|strong_breakout,bull,low_volatility,5.8078,21,candidate
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.25,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,strong_breakout|reversal,bull_trend,bull_trend|reversal|strong_breakout,bull,low_volatility,5.8078,21,candidate
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.125,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,strong_breakout|execution_aligned,bull_trend,bull_trend|execution_aligned|strong_breakout,bull,low_volatility,5.8078,21,candidate
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.25,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,strong_breakout|execution_aligned,bull_trend,bull_trend|execution_aligned|strong_breakout,bull,low_volatility,5.8078,21,candidate
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.125,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,strong_breakout|strong_breakout|recovery,bull_trend,bull_trend|recovery|strong_breakout,bull,low_volatility,5.8078,21,candidate
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.25,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,strong_breakout|strong_breakout|recovery,bull_trend,bull_trend|recovery|strong_breakout,bull,low_volatility,5.8078,21,candidate
EX_OR_E_direction_confidence_gte_0.5648_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid
EX_OR_E_direction_confidence_gte_0.5648_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid
EX_OR_E_direction_confidence_gte_0.6736_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid
EX_OR_E_direction_confidence_gte_0.6736_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|momentum_hybrid
EX_12,rank_obs_return_top5 >= 0.125,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_13,rank_obs_return_top5 >= 0.25,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_14,rank_obs_return_top5 >= 0.375,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_15,rank_obs_return_top5 >= 0.5,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_16,rank_obs_return_top5 >= 0.625,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,discovered
EX_17,rank_obs_return_top5 >= 0.75,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,discovered
EX_18,rank_obs_return_top5 >= 0.875,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,discovered
EX_19,rank_obs_return_top5 >= 1,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,discovered
EX_20,rank(obs_return_pct) >= 0.4,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_21,rank(obs_return_pct) >= 0.6,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,discovered
EX_22,rank(obs_return_pct) >= 0.8,long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,discovered
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.25,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.25),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|rank_only
