rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_score,v1_precision_baseline
AND_A,A,long_all,897,25,872,0.88,0.1229,0.2157,4.4098,100.1911,25.5408,29.3655,96.0,23,180,0.1389,1.6667,2.79,long,-1.0,1.0
AND_B,B,long_all,897,37,860,0.8919,0.1844,0.3056,4.4694,161.3836,22.4044,24.3337,97.3,33,180,0.2056,2.4667,4.12,long,-1.0,1.0
AND_C,C,long_all,897,16,881,0.875,0.0782,0.1436,4.3848,60.7515,23.4209,20.2872,93.75,16,180,0.0889,1.0667,1.78,long,-1.0,1.0
AND_D,D,long_all,897,32,865,0.8125,0.1453,0.2464,4.0716,60.4967,22.0346,22.4737,90.62,29,180,0.1778,2.1333,3.57,long,-1.0,1.0
AND_AB,(A AND B),long_all,897,25,872,0.88,0.1229,0.2157,4.4098,100.1911,25.5408,29.3655,96.0,23,180,0.1389,1.6667,2.79,long,-1.0,1.0
AND_AC,(A AND C),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0
AND_AD,(A AND D),long_all,897,21,876,0.9048,0.1061,0.19,4.5339,85.025,27.5112,29.4789,95.24,20,180,0.1167,1.4,2.34,long,0.4139,1.0
AND_BC,(B AND C),long_all,897,12,885,1.0,0.067,0.1257,5.0112,51.5928,28.6012,27.7948,100.0,12,180,0.0667,0.8,1.34,long,0.3601,1.0
AND_BD,(B AND D),long_all,897,23,874,0.913,0.1173,0.2079,4.5754,95.1646,26.3633,28.4172,95.65,22,180,0.1278,1.5333,2.56,long,0.4344,1.0
AND_CD,(C AND D),long_all,897,13,884,0.9231,0.067,0.125,4.6257,51.521,25.604,23.543,92.31,13,180,0.0722,0.8667,1.45,long,0.3476,1.0
AND_ABC,(A AND B AND C),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0
AND_ABD,(A AND B AND D),long_all,897,21,876,0.9048,0.1061,0.19,4.5339,85.025,27.5112,29.4789,95.24,20,180,0.1167,1.4,2.34,long,0.4139,1.0
AND_ACD,(A AND C AND D),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0
AND_BCD,(B AND C AND D),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0
AND_ABCD,(A AND B AND C AND D),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0
OR_ABC_D,((A AND B AND C) OR D),long_all,897,32,865,0.8125,0.1453,0.2464,4.0716,60.4967,22.0346,22.4737,90.62,29,180,0.1778,2.1333,3.57,long,-1.0,1.0
OR_ABD_C,((A AND B AND D) OR C),long_all,897,26,871,0.8462,0.1229,0.2146,4.2402,50.0255,24.423,24.1284,92.31,25,180,0.1444,1.7333,2.9,long,-1.0,1.0
OR_AB_CD,((A AND B) OR (C AND D)),long_all,897,27,870,0.8519,0.1285,0.2233,4.2688,52.6346,24.2185,26.8104,92.59,25,180,0.15,1.8,3.01,long,-1.0,1.0
OR_AB_C_D,((A AND B) OR C OR D),long_all,897,39,858,0.7949,0.1732,0.2844,3.9832,74.3581,20.7121,21.866,92.31,34,180,0.2167,2.6,4.35,long,-1.0,1.0
OR_ACD_B,((A AND C AND D) OR B),long_all,897,37,860,0.8919,0.1844,0.3056,4.4694,161.3836,22.4044,24.3337,97.3,33,180,0.2056,2.4667,4.12,long,-1.0,1.0
OR_AC_BD,((A AND C) OR (B AND D)),long_all,897,23,874,0.913,0.1173,0.2079,4.5754,95.1646,26.3633,28.4172,95.65,22,180,0.1278,1.5333,2.56,long,0.4344,1.0
OR_AC_B_D,((A AND C) OR B OR D),long_all,897,46,851,0.8261,0.2123,0.3378,4.1397,95.6738,20.1677,20.998,93.48,39,180,0.2556,3.0667,5.13,long,-1.0,1.0
OR_AD_BC,((A AND D) OR (B AND C)),long_all,897,22,875,0.9091,0.1117,0.199,4.5556,90.0629,27.4308,28.9218,95.45,21,180,0.1222,1.4667,2.45,long,0.4242,1.0
OR_A_BCD,(A OR (B AND C AND D)),long_all,897,25,872,0.88,0.1229,0.2157,4.4098,100.1911,25.5408,29.3655,96.0,23,180,0.1389,1.6667,2.79,long,-1.0,1.0
OR_A_BC_D,(A OR (B AND C) OR D),long_all,897,37,860,0.8108,0.1676,0.2778,4.0631,71.5772,21.3955,23.0125,91.89,32,180,0.2056,2.4667,4.12,long,-1.0,1.0
OR_AD_B_C,((A AND D) OR B OR C),long_all,897,41,856,0.8537,0.1955,0.3182,4.2778,86.5278,20.9874,21.7416,95.12,37,180,0.2278,2.7333,4.57,long,-1.0,1.0
OR_A_BD_C,(A OR (B AND D) OR C),long_all,897,32,865,0.8438,0.1508,0.2559,4.2282,63.3257,22.6376,24.2798,93.75,30,180,0.1778,2.1333,3.57,long,-1.0,1.0
OR_A_B_CD,(A OR B OR (C AND D)),long_all,897,39,858,0.8718,0.1899,0.3119,4.3687,83.5931,21.6498,22.8228,94.87,35,180,0.2167,2.6,4.35,long,-1.0,1.0
OR_A_B_C_D,(A OR B OR C OR D),long_all,897,48,849,0.8125,0.2179,0.3436,4.0716,98.7536,19.6636,20.1505,93.75,41,180,0.2667,3.2,5.35,long,-1.0,1.0
AND_A,A,short_all,897,34,863,0.9412,0.1788,0.3005,4.7164,77.932,20.1338,20.2429,94.12,27,180,0.1889,2.2667,3.79,short,0.5424,1.0
AND_B,B,short_all,897,45,852,0.8667,0.2179,0.3482,4.343,33.0571,14.663,14.8496,86.67,38,180,0.25,3.0,5.02,short,-1.0,1.0
AND_C,C,short_all,897,16,881,0.9375,0.0838,0.1538,4.698,65.5793,19.3033,20.0039,100.0,15,180,0.0889,1.0667,1.78,short,0.3788,1.0
AND_D,D,short_all,897,56,841,0.7679,0.2402,0.366,3.8479,24.7672,12.653,13.5599,78.57,47,180,0.3111,3.7333,6.24,short,-1.0,1.0
AND_AB,(A AND B),short_all,897,34,863,0.9412,0.1788,0.3005,4.7164,77.932,20.1338,20.2429,94.12,27,180,0.1889,2.2667,3.79,short,0.5424,1.0
AND_AC,(A AND C),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0
AND_AD,(A AND D),short_all,897,32,865,0.9375,0.1676,0.2844,4.698,72.0805,20.1116,20.2582,93.75,26,180,0.1778,2.1333,3.57,short,0.5231,1.0
AND_BC,(B AND C),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0
AND_BD,(B AND D),short_all,897,37,860,0.8649,0.1788,0.2963,4.334,31.0422,15.4246,15.7438,86.49,31,180,0.2056,2.4667,4.12,short,-1.0,1.0
AND_CD,(C AND D),short_all,897,12,885,1.0,0.067,0.1257,5.0112,51.5928,22.3404,24.1294,100.0,11,180,0.0667,0.8,1.34,short,0.3601,1.0
AND_ABC,(A AND B AND C),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0
AND_ABD,(A AND B AND D),short_all,897,32,865,0.9375,0.1676,0.2844,4.698,72.0805,20.1116,20.2582,93.75,26,180,0.1778,2.1333,3.57,short,0.5231,1.0
AND_ACD,(A AND C AND D),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0
AND_BCD,(B AND C AND D),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0
AND_ABCD,(A AND B AND C AND D),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0
OR_ABC_D,((A AND B AND C) OR D),short_all,897,56,841,0.7679,0.2402,0.366,3.8479,24.7672,12.653,13.5599,78.57,47,180,0.3111,3.7333,6.24,short,-1.0,1.0
OR_ABD_C,((A AND B AND D) OR C),short_all,897,37,860,0.9189,0.1899,0.3148,4.6049,83.8276,18.6786,18.4476,94.59,31,180,0.2056,2.4667,4.12,short,0.5618,1.0
OR_AB_CD,((A AND B) OR (C AND D)),short_all,897,35,862,0.9429,0.1844,0.3084,4.7248,80.9178,19.752,19.7728,94.29,28,180,0.1944,2.3333,3.9,short,0.552,1.0
OR_AB_C_D,((A AND B) OR C OR D),short_all,897,62,835,0.7742,0.2682,0.3983,3.8796,28.6616,12.747,13.3849,80.65,52,180,0.3444,4.1333,6.91,short,-1.0,1.0
OR_ACD_B,((A AND C AND D) OR B),short_all,897,45,852,0.8667,0.2179,0.3482,4.343,33.0571,14.663,14.8496,86.67,38,180,0.25,3.0,5.02,short,-1.0,1.0
OR_AC_BD,((A AND C) OR (B AND D)),short_all,897,37,860,0.8649,0.1788,0.2963,4.334,31.0422,15.4246,15.7438,86.49,31,180,0.2056,2.4667,4.12,short,-1.0,1.0
OR_AC_B_D,((A AND C) OR B OR D),short_all,897,64,833,0.7812,0.2793,0.4115,3.915,27.2868,12.464,13.2041,79.69,53,180,0.3556,4.2667,7.13,short,-1.0,1.0
OR_AD_BC,((A AND D) OR (B AND C)),short_all,897,32,865,0.9375,0.1676,0.2844,4.698,72.0805,20.1116,20.2582,93.75,26,180,0.1778,2.1333,3.57,short,0.5231,1.0
OR_A_BCD,(A OR (B AND C AND D)),short_all,897,34,863,0.9412,0.1788,0.3005,4.7164,77.932,20.1338,20.2429,94.12,27,180,0.1889,2.2667,3.79,short,0.5424,1.0
OR_A_BC_D,(A OR (B AND C) OR D),short_all,897,58,839,0.7759,0.2514,0.3797,3.888,26.306,12.9232,13.7819,79.31,48,180,0.3222,3.8667,6.47,short,-1.0,1.0
OR_AD_B_C,((A AND D) OR B OR C),short_all,897,50,847,0.86,0.2402,0.3755,4.3096,37.4669,14.1474,14.0506,88.0,43,180,0.2778,3.3333,5.57,short,-1.0,1.0
OR_A_BD_C,(A OR (B AND D) OR C),short_all,897,44,853,0.8636,0.2123,0.3408,4.3278,38.3773,14.9824,14.9277,88.64,37,180,0.2444,2.9333,4.91,short,-1.0,1.0
OR_A_B_CD,(A OR B OR (C AND D)),short_all,897,46,851,0.8696,0.2235,0.3556,4.3575,34.1487,14.4914,14.6091,86.96,39,180,0.2556,3.0667,5.13,short,-1.0,1.0
OR_A_B_C_D,(A OR B OR C OR D),short_all,897,68,829,0.7794,0.2961,0.4291,3.9058,29.5706,12.3303,12.8761,80.88,57,180,0.3778,4.5333,7.58,short,-1.0,1.0
