rule_id,rule_expr,direction,source,status_tags,discovery_decision,trade_count,scan_groups,coverage_pct,precision_pct,avg_return_2h,win_rate_pct,max_drawdown,return_per_day,sharpe,best_regime,worst_regime,volatility_preference,trend_preference,time_preference,blind_avg,train_avg
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.125),long,train_rank,candidate|momentum_hybrid|recommended|rejected,Needs further validation,21,12,46.15,71.43,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.25),long,train_rank,candidate|momentum_hybrid,,21,12,46.15,71.43,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.125),long,train_rank,candidate|momentum_hybrid,,21,12,46.15,71.43,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.25),long,train_rank,candidate|momentum_hybrid,,21,12,46.15,71.43,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.125,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.125),long,train_rank,candidate,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.25,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.25),long,train_rank,candidate,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.125,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.125),long,train_rank,candidate,,21,12,46.15,71.43,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.25,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.25),long,train_rank,candidate,,21,12,46.15,71.43,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.125,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.125),long,train_rank,candidate,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.25,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.25),long,train_rank,candidate,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,1.2572
