rule_id,rule_expr,direction,cluster_id,activation_conditions,preferred_regime,avoid_regime,volatility_preference,trend_preference,time_preference,expected_holding_profile,confidence,sample_size,avg_return_2h,precision_pct,status_tags,discovery_decision
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.125),long,bull_trend,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.125),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,71.43,candidate|momentum_hybrid|recommended|rejected,Needs further validation
EX_OR_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.25),long,bull_trend,(direction_confidence >= 0.7824 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,71.43,candidate|momentum_hybrid,
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.125),long,bull_trend,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.125),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,71.43,candidate|momentum_hybrid,
EX_OR_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.25),long,bull_trend,(direction_confidence >= 0.8912 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,71.43,candidate|momentum_hybrid,
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.125,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.125),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate,
EX_OR_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.25,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,(obs_low_pct >= -2.914 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate,
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.125,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.125),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,71.43,candidate,
EX_OR_E_execution_score_gte_-0.27795_E_rank_obs_return_top5_gte_0.25,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,(execution_score >= -0.2779 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,71.43,candidate,
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.125,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.125),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate,
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_rank_obs_return_top5_gte_0.25,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,((obs_return_pct - gap_to_best_entry) >= -5.877 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate,
