split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,sharpe,sortino,mdd,profit_factor,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,label_id,label_name,category
blind,272,55,1.7806,4.6907,1.7806,37.5,3.3298,5.1365,-125.8963,1.8925,0.4786,0.3068,0.1818,0.1909,0.1709,0.6,0.3258,0.6,baseline_max_down_2h,Baseline max_down_2h (MFE down),baseline
blind,272,55,3.4756,5.4393,3.4756,41.91,9.025,22.0998,-40.9498,6.42,0.4514,0.29,0.1818,0.1818,0.1564,0.5455,0.3009,0.5455,return_short_2h,2h short close return,return
blind,272,55,2.1523,3.0397,2.1523,29.78,5.9774,11.2788,-46.2865,3.3199,0.5026,0.3257,0.1818,0.1909,0.1927,0.6364,0.3324,0.6364,return_short_30m,30m short return,return
blind,272,55,3.5225,5.4574,3.5225,40.81,10.7093,52.1869,-14.308,10.0941,0.4715,0.2827,0.2,0.1636,0.1455,0.5091,0.2955,0.5091,return_short_1h,1h short return,return
blind,272,55,2.6274,5.2471,2.6274,39.34,5.8351,10.8513,-49.7574,3.0673,0.4809,0.3294,0.1636,0.1818,0.1927,0.6727,0.3403,0.6727,return_short_4h,4h short return,return
blind,272,55,1.6296,3.5422,1.6296,37.13,3.1374,4.9156,-91.033,1.8203,0.4899,0.3478,0.1636,0.2091,0.2,0.6909,0.3524,0.6909,return_short_6h,6h short return,return
blind,272,55,1.7806,4.6907,1.7806,37.5,3.3298,5.1365,-125.8963,1.8925,0.4786,0.3068,0.1818,0.1909,0.1709,0.6,0.3258,0.6,max_down_2h,2h max favorable down,mfe
blind,272,55,1.5155,4.5304,1.5155,36.76,2.9159,4.8579,-92.086,1.6935,0.4562,0.3167,0.1455,0.1727,0.2073,0.7091,0.3315,0.7091,max_down_4h,4h max favorable down,mfe
blind,272,55,1.1356,3.16,1.1356,36.4,2.148,3.516,-87.9409,1.4701,0.447,0.2996,0.1091,0.1818,0.1891,0.6545,0.3085,0.6545,max_down_6h,6h max favorable down,mfe
blind,272,55,3.2367,5.4699,3.2367,38.6,8.7548,19.699,-40.1697,6.4451,0.4659,0.2876,0.1818,0.1727,0.16,0.5455,0.3064,0.5455,return_plus_dd,Short return minus drawup,risk_adjusted
blind,272,55,3.2367,5.4699,3.2367,38.6,8.7548,19.699,-40.1697,6.4451,0.4659,0.2876,0.1818,0.1727,0.16,0.5455,0.3064,0.5455,drawup_resilience,Drawup resilience,risk_adjusted
blind,272,55,3.5443,5.8814,3.5443,41.54,10.463,48.6488,-11.1248,9.4628,0.4397,0.2803,0.1818,0.1727,0.1636,0.5455,0.3012,0.5455,risk_adjusted_short,Risk adjusted short,risk_adjusted
blind,272,55,2.8895,4.0656,2.8895,30.88,9.3269,31.6633,-21.0662,9.3219,0.465,0.2791,0.1455,0.1818,0.16,0.5455,0.2927,0.5455,return_per_risk_short,Short return / adverse,risk_adjusted
blind,272,55,3.1228,5.5616,3.1228,38.6,8.1286,19.5061,-41.5151,5.3432,0.4631,0.3111,0.1636,0.2,0.1891,0.6364,0.3312,0.6364,hit_short_3pct,Hit 3% short at 2h,binary
blind,272,55,3.1739,4.425,3.1739,36.76,8.7678,22.8551,-41.1597,6.5464,0.5251,0.3552,0.2364,0.1909,0.1818,0.6364,0.367,0.6364,distribution_success,Distribution success,binary
blind,272,55,2.9323,3.8906,2.9323,37.13,10.5777,49.2711,-10.3634,8.5144,0.5123,0.3095,0.2182,0.1727,0.1745,0.5818,0.3355,0.5818,capitulation_fade,Capitulation fade,binary
blind,272,55,2.7793,3.5552,2.7793,31.25,9.0037,44.7801,-17.5731,8.2243,0.4305,0.2953,0.1455,0.2182,0.1455,0.5455,0.3079,0.5455,intrabar_sharpe_short,Intrabar short Sharpe,risk_adjusted
blind,272,55,2.2513,2.8642,2.2513,25.0,9.7095,46.1463,-7.9967,9.4313,0.4715,0.3092,0.1818,0.2,0.1527,0.5636,0.3218,0.5636,mae_short_2h,Max adverse (drawup),mae
blind,272,55,2.2513,2.8642,2.2513,25.0,9.7095,46.1463,-7.9967,9.4313,0.4715,0.3092,0.1818,0.2,0.1527,0.5636,0.3218,0.5636,max_up_adverse_2h,Max drawup 2h (lower better),mae
