rule_id,category,trade_count,avg_return_pct,median_return_pct,win_rate,sharpe,sortino,mdd,profit_factor,avg_hold_minutes,avg_peak_capture_pct,avg_mfe_pct,avg_mae_pct,exit_rank
roi_trail5,roi_trail,164,5.3166,3.5834,56.71,8.8492,57.8318,-12.029,14.7603,205.1,34.0,9.9892,1.7126,1
peak_drop3,peak,164,5.2772,3.6117,54.88,9.4126,66.0185,-12.029,20.4741,179.6,34.91,9.7265,1.5944,2
high_break2,structure,164,5.2121,3.5026,55.49,8.1984,34.5708,-15.5745,10.2197,212.6,35.27,10.2154,1.8474,3
roi_trail3,roi_trail,164,5.1711,3.5834,56.1,9.2801,48.7882,-12.029,15.6768,190.1,35.51,9.6341,1.7782,4
momentum_weak,momentum,164,5.1144,2.767,46.95,9.4399,121.7766,-6.2663,56.1416,107.9,43.27,9.0992,1.3137,5
state_proxy,state,164,5.0439,3.3556,51.83,9.6329,85.454,-8.99,25.1506,118.4,41.5,8.6134,1.4693,6
tp15,fixed_tp,164,4.9547,4.037,60.37,8.405,15.8553,-42.3743,6.4738,209.5,35.02,8.8841,2.518,7
atr_trail15,atr,164,4.9414,3.5447,56.71,10.3846,68.7464,-12.029,27.1236,136.4,40.82,8.6821,1.5126,8
hold_90m,time,164,4.8415,3.2237,53.05,10.5595,81.3815,-8.99,30.9067,90,48.95,8.3056,1.4432,9
hold_1h,baseline,164,4.7931,3.3573,53.05,12.21,125.4879,-6.7571,66.6178,60,59.07,7.4114,1.3082,10
sl8,fixed_sl,164,4.7647,3.5834,56.1,7.1789,24.9591,-24.0,5.7483,230.3,44.53,10.2112,2.4095,11
tp12_sl6,combo,164,4.6671,3.9407,59.15,10.3302,33.5014,-12.249,7.7383,185.6,50.77,8.2797,2.0362,12
volume_weak,volume,164,4.6413,2.7766,46.34,9.9754,82.2421,-8.1919,37.8739,53.3,55.38,7.3236,1.3421,13
sl10,fixed_sl,164,4.6337,3.5834,56.1,6.8083,20.7357,-30.0,5.0846,231.3,41.43,10.2112,2.4532,14
hold_4h,baseline,164,4.6213,3.6879,57.32,6.2446,12.9406,-42.3743,4.6929,240,28.01,10.3522,2.9495,15
tp10,fixed_tp,164,4.5835,4.2289,62.2,10.8677,24.2959,-22.4089,8.2407,182.7,38.8,8.1583,2.2193,16
trail_gap5,trailing,164,4.5283,3.5581,57.32,10.2167,62.8743,-12.029,25.1231,155.0,38.85,7.8798,1.5977,17
hold_2h,baseline,164,4.5213,2.9703,50.0,8.9581,45.6405,-15.5745,15.8832,120,38.35,8.7078,1.6484,18
tp10_sl8,combo,164,4.5002,4.1322,61.59,11.0347,29.5524,-16.249,7.9921,177.5,50.86,8.0675,2.0326,19
trail_gap3,trailing,164,4.4456,3.4564,60.37,10.0449,62.3383,-12.029,26.2668,122.6,44.09,7.0171,1.5377,20
