feature,gain_importance,permutation_importance,shap_mean_abs,combined_score,importance_rank,direction
ctx_rank_5m_release,0,0,0.338424,0.101527,1,short
direction_confidence,0,0,0.173198,0.051959,2,short
exec_obs_obs_low_pct,0,0,0.14421,0.043263,3,short
formula_v2_rank_pct,0,0,0.12347,0.037041,4,short
dna_1h_current_return_pct,0,0,0.117917,0.035375,5,short
search_rank_pct_return,0,0,0.106744,0.032023,6,short
ctx_rank_1h_current_return_pct,0,0,0.081062,0.024319,7,short
dna_30m_current_return_pct,0,0,0.070608,0.021182,8,short
dna_2h_previous_range_pct,0,0,0.063094,0.018928,9,short
exec_obs_prior_high_break,0,0,0.047406,0.014222,10,short
exec_obs_volume_surge,0,0,0.042941,0.012882,11,short
dna_15m_current_return_pct,0,0,0.03925,0.011775,12,short
dna_derived_atr_compression,0,0,0.037861,0.011358,13,short
dna_30m_previous_compression,0,0,0.037469,0.011241,14,short
entry_score,0,0,0.037224,0.011167,15,short
ctx_rank_1h_current_ma20_distance_pct,0,0,0.036911,0.011073,16,short
exec_obs_obs_high_pct,0,0,0.036307,0.010892,17,short
dna_1h_current_body_pct,0,0,0.033007,0.009902,18,short
dna_15m_current_close_position,0,0,0.033006,0.009902,19,short
dna_h4_score,0,0,0.032513,0.009754,20,short
