feature,long_importance,short_importance,delta_short_minus_long,in_long_top15,in_short_top15
ctx_rank_5m_release,0.146727,0.101527,-0.0452,True,True
dna_1h_current_return_pct,0.076119,0.035375,-0.040744,True,True
dna_5m_body_position,0.022774,0,-0.022774,True,False
dna_30m_previous_ma20_distance_pct,0.021463,0,-0.021463,True,False
dna_30m_current_return_pct,0,0.021182,0.021182,False,True
dna_2h_previous_range_pct,0,0.018928,0.018928,False,True
exec_obs_obs_low_pct,0.028588,0.043263,0.014675,True,True
entry_score,0.025666,0.011167,-0.014499,True,True
exec_obs_prior_high_break,0,0.014222,0.014222,False,True
ctx_rank_5m_compression,0.013415,0,-0.013415,True,False
ctx_rank_1h_current_return_pct,0.012217,0.024319,0.012102,True,True
state_5m_Release,0.011967,0,-0.011967,True,False
dna_2h_previous_volume_ratio,0.011666,0,-0.011666,True,False
dna_derived_atr_compression,0,0.011358,0.011358,False,True
dna_30m_previous_compression,0,0.011241,0.011241,False,True
ctx_rank_1h_current_ma20_distance_pct,0,0.011073,0.011073,False,False
dna_2h_current_close_position,0.010946,0,-0.010946,False,False
exec_obs_obs_high_pct,0,0.010892,0.010892,False,False
dna_15m_current_close_position,0,0.009902,0.009902,False,False
dna_1h_current_body_pct,0,0.009902,0.009902,False,False
dna_h4_score,0,0.009754,0.009754,False,False
cluster_top_prob,0.009648,0,-0.009648,False,False
pattern_confidence,0.009608,0,-0.009608,False,False
dna_2h_current_ma20_distance_pct,0.00951,0,-0.00951,False,False
meta_derived_mtf_alignment,0.00884,0,-0.00884,False,False
