scan_kst,symbol,rank,final_roi_pct,peak_roi_pct,peak_at_minutes,hold_bars,hold_minutes_max,profit_at_20pct_time,profit_at_50pct_time,profit_at_80pct_time,pct_profit_in_first_20pct_time,pct_profit_in_first_50pct_time
2026-06-11 10:00:00,UAIUSDT,1,12.5525,12.5525,240,17,240,8.4618,8.3217,10.227,67.41,66.3
2026-06-11 10:00:00,STGUSDT,2,4.1239,11.4377,75,17,240,7.4277,6.5163,8.7719,64.94,56.97
2026-06-11 10:00:00,UBUSDT,3,6.6916,7.3678,210,17,240,1.6975,1.5496,3.0852,23.04,21.03
2026-06-11 12:00:00,AIOUSDT,1,13.2878,21.0198,90,17,240,15.3418,18.5269,14.5772,72.99,88.14
2026-06-11 12:00:00,FOLKSUSDT,2,8.015,12.0017,120,17,240,0.1246,9.593,4.6512,1.04,79.93
2026-06-11 12:00:00,COLLECTUSDT,3,-2.2578,9.3333,30,17,240,9.3333,0.8,-0.8178,100.0,8.57
2026-06-11 14:00:00,CUSDT,1,4.9423,6.1058,165,17,240,3.645,4.6129,5.5498,59.7,75.55
2026-06-11 14:00:00,AVNTUSDT,2,4.2819,4.2819,240,17,240,3.2114,3.3006,3.033,75.0,77.08
2026-06-11 14:00:00,PHAROSUSDT,3,8.2954,9.9983,150,17,240,2.057,2.2762,8.9698,20.57,22.77
2026-06-11 16:00:00,PHAROSUSDT,1,7.2291,7.902,30,17,240,7.902,6.8323,6.9186,100.0,86.46
2026-06-11 16:00:00,VELVETUSDT,2,14.3126,16.012,180,17,240,2.8822,12.706,16.012,18.0,79.35
2026-06-11 16:00:00,GUAUSDT,3,0.2803,5.8868,45,17,240,5.214,5.5504,2.6911,88.57,94.29
2026-06-11 18:00:00,OPNUSDT,1,-3.5865,1.1603,45,17,240,1.0549,-1.0549,-0.3165,90.92,-90.92
2026-06-11 18:00:00,STGUSDT,2,2.0218,5.2972,90,17,240,0.465,4.3267,-0.7683,8.78,81.68
2026-06-11 18:00:00,NEARUSDT,3,0.2954,2.1172,15,17,240,2.0679,0.6401,-1.3786,97.67,30.23
2026-06-11 20:00:00,ZESTUSDT,1,13.4479,13.9468,210,17,240,6.1019,8.3498,12.8,43.75,59.87
2026-06-11 20:00:00,IOUSDT,2,5.1546,5.1546,240,17,240,0.4009,2.291,2.921,7.78,44.45
2026-06-11 20:00:00,GUAUSDT,3,3.9777,4.5353,120,17,240,0.5762,3.4944,2.026,12.7,77.05
