regime,scan,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,sharpe,sortino,mdd,profit_factor,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3
Mixed,2026-06-11 10:00:00,regime_2026-06-11 10:00:00,5,1,3.5092,7.419,3.5092,40.0,2.3923,0.0,0.0,17.5459,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0
Mixed,2026-06-11 12:00:00,regime_2026-06-11 12:00:00,5,1,6.1233,9.6635,6.1233,60.0,1.8973,23.7116,-1.4436,22.2083,0.9505,0.8333,1.0,0.5,0.4,1.0,1.0,1.0
Mixed,2026-06-11 14:00:00,regime_2026-06-11 14:00:00,5,1,4.3123,3.9567,4.3123,60.0,4.383,0.0,0.0,21.5613,0.7075,0.75,1.0,0.5,0.4,1.0,1.0,1.0
Mixed,2026-06-11 16:00:00,regime_2026-06-11 16:00:00,5,1,6.7579,6.1913,6.7579,100.0,4.8415,0.0,0.0,33.7895,0.7919,1.0,1.0,1.0,0.6,1.0,1.0,1.0
Mixed,2026-06-11 18:00:00,regime_2026-06-11 18:00:00,5,1,2.4703,1.6359,2.4703,60.0,2.9519,13.0907,-1.0549,12.7087,0.6313,0.25,0.0,0.0,0.2,1.0,0.25,1.0
Mixed,2026-06-11 20:00:00,regime_2026-06-11 20:00:00,5,1,1.5615,5.9221,1.5615,40.0,0.8008,2.2497,-6.3279,2.2338,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0
Mixed,2026-06-11 22:00:00,regime_2026-06-11 22:00:00,5,1,3.5097,4.8705,3.5097,40.0,2.3069,0.0,0.0,17.5486,0.6677,0.5833,0.0,0.5,0.4,1.0,0.5,1.0
Mixed,2026-06-12 00:00:00,regime_2026-06-12 00:00:00,5,1,2.6425,3.2618,2.6425,40.0,2.5602,10.4906,-1.4081,10.3831,0.6806,0.5833,0.0,0.5,0.4,1.0,0.5,1.0
Mixed,2026-06-12 02:00:00,regime_2026-06-12 02:00:00,5,1,6.5842,12.9251,6.5842,60.0,2.4298,0.0,0.0,32.9212,0.8596,1.0,1.0,1.0,0.6,1.0,1.0,1.0
Mixed,2026-06-12 04:00:00,regime_2026-06-12 04:00:00,5,1,3.205,4.5518,3.205,60.0,1.9672,5.3556,-3.3454,5.7902,0.6679,0.7,1.0,0.5,0.4,1.0,1.0,1.0
Mixed,2026-06-12 06:00:00,regime_2026-06-12 06:00:00,5,1,0.8752,0.6869,0.8752,0.0,1.1635,3.7503,-1.3267,3.3202,0.5296,0.25,0.0,0.0,0.2,1.0,0.25,1.0
Mixed,2026-06-12 08:00:00,regime_2026-06-12 08:00:00,5,1,8.1196,14.3759,8.1196,60.0,3.1725,0.0,0.0,40.5978,0.8461,1.0,1.0,1.0,0.4,1.0,1.0,1.0
Distribution,2026-06-12 10:00:00,regime_2026-06-12 10:00:00,5,1,15.0854,25.0747,15.0854,80.0,2.755,0.0,0.0,75.4272,0.956,0.9167,1.0,1.0,0.6,1.0,1.0,1.0
Mixed,2026-06-12 12:00:00,regime_2026-06-12 12:00:00,5,1,2.1323,6.3957,2.1323,20.0,0.9136,2.4316,-4.902,3.1749,0.9828,1.0,1.0,0.5,0.2,1.0,1.0,1.0
Distribution,2026-06-12 14:00:00,regime_2026-06-12 14:00:00,5,1,6.4011,10.6716,6.4011,60.0,3.8281,0.0,0.0,32.0056,0.8489,0.9167,1.0,1.0,0.6,1.0,1.0,1.0
Mixed,2026-06-12 16:00:00,regime_2026-06-12 16:00:00,5,1,2.8084,4.3795,2.8084,40.0,2.0401,9.8442,-1.5948,9.8049,0.9208,0.7,1.0,0.5,0.4,1.0,1.0,1.0
Mixed,2026-06-12 18:00:00,regime_2026-06-12 18:00:00,5,1,4.3491,7.9027,4.3491,60.0,1.5631,5.7621,-4.902,5.436,0.9208,0.7,1.0,0.5,0.4,1.0,1.0,1.0
