signal_id,direction,scan_time_kst,symbol,engine,lifecycle_label,peak_time_min,peak_return_pct,mfe_full,mae_full,return_2h,return_6h,return_12h,return_at_end,peak_fraction,track_hours,success_2h,success_6h,return_shift_2h_to_6h,evaluation_shift
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,LONG_CONTINUATION,Slow Trend,300,18.9849,20.1621,-4.7925,-1.743,15.5512,12.266,12.266,0.4167,12.0,False,True,17.2942,loser_2h_runner_6h
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,LONG_CONTINUATION,Fake Breakout,15,13.3232,30.4742,-5.203,-0.7837,-1.0341,-2.1842,-2.1842,0.0208,12.0,False,False,-0.2504,underperformer
long_2026-06-01T000000_INUSDT,long,2026-06-01 00:00:00,INUSDT,LONG_CONTINUATION,Unclassified,60,6.4151,8.393,-0.2138,4.0308,2.3415,2.9295,2.9295,0.0833,12.0,True,False,-1.6893,winner_2h_fade_6h
long_2026-06-01T000000_FORMUSDT,long,2026-06-01 00:00:00,FORMUSDT,LONG_CONTINUATION,Immediate Explosion,45,3.5149,5.0599,-0.2317,1.6995,1.854,2.7424,2.7424,0.0625,12.0,False,False,0.1545,underperformer
long_2026-06-01T000000_BILLUSDT,long,2026-06-01 00:00:00,BILLUSDT,LONG_CONTINUATION,Late Runner,720,8.0687,8.4071,-0.8329,5.0625,4.3077,8.0687,8.0687,1.0,12.0,True,True,-0.7548,sustained_winner
long_2026-06-01T020000_STGUSDT,long,2026-06-01 02:00:00,STGUSDT,LONG_CONTINUATION,Slow Trend,330,39.6863,45.9257,-1.9775,32.1855,35.9359,20.2864,20.2864,0.4583,12.0,True,True,3.7504,sustained_winner
long_2026-06-01T020000_币安人生USDT,long,2026-06-01 02:00:00,币安人生USDT,LONG_CONTINUATION,Slow Trend,180,22.3395,23.5499,-0.4867,9.726,15.7939,15.4455,15.4455,0.25,12.0,True,True,6.0679,sustained_winner
long_2026-06-01T020000_LABUSDT,long,2026-06-01 02:00:00,LABUSDT,LONG_CONTINUATION,Continuous Trend,450,28.2249,43.8485,-1.6572,6.9586,17.6385,18.2225,18.2225,0.625,12.0,True,True,10.6799,sustained_winner
long_2026-06-01T020000_GUAUSDT,long,2026-06-01 02:00:00,GUAUSDT,LONG_CONTINUATION,Immediate Explosion,30,7.2688,9.1457,-6.4953,4.3112,1.9565,2.4457,2.4457,0.0417,12.0,True,False,-2.3547,winner_2h_fade_6h
long_2026-06-01T020000_UBUSDT,long,2026-06-01 02:00:00,UBUSDT,LONG_CONTINUATION,Fake Breakout,165,16.3133,17.7601,-5.8751,10.8423,12.7753,-5.0023,-5.0023,0.2292,12.0,True,True,1.933,sustained_winner
long_2026-06-01T040000_STGUSDT,long,2026-06-01 04:00:00,STGUSDT,LONG_CONTINUATION,Fake Breakout,210,16.4582,21.66,-7.9022,9.9204,0.3127,-0.1706,-0.1706,0.2917,12.0,True,False,-9.6077,winner_2h_fade_6h
long_2026-06-01T040000_LABUSDT,long,2026-06-01 04:00:00,LABUSDT,LONG_CONTINUATION,Late Runner,720,28.679,37.1464,-6.2391,7.202,7.3743,28.679,28.679,1.0,12.0,True,True,0.1723,sustained_winner
long_2026-06-01T040000_ALLOUSDT,long,2026-06-01 04:00:00,ALLOUSDT,LONG_CONTINUATION,Fake Breakout,30,9.3473,12.4643,-31.8687,2.4335,4.2286,-28.4588,-28.4588,0.0417,12.0,False,True,1.7951,loser_2h_runner_6h
long_2026-06-01T040000_币安人生USDT,long,2026-06-01 04:00:00,币安人生USDT,LONG_CONTINUATION,Unclassified,60,10.666,11.7609,-1.5919,7.4724,2.2125,9.9578,9.9578,0.0833,12.0,True,False,-5.2599,winner_2h_fade_6h
long_2026-06-01T040000_UBUSDT,long,2026-06-01 04:00:00,UBUSDT,LONG_CONTINUATION,Fake Breakout,45,3.8437,5.1354,-17.3727,1.9193,-12.4882,-12.0437,-12.0437,0.0625,12.0,False,False,-14.4075,underperformer
long_2026-06-01T060000_STGUSDT,long,2026-06-01 06:00:00,STGUSDT,LONG_CONTINUATION,Fake Breakout,90,6.5263,11.2845,-24.545,3.6661,-6.4743,-23.791,-23.791,0.125,12.0,True,False,-10.1404,winner_2h_fade_6h
long_2026-06-01T060000_LABUSDT,long,2026-06-01 06:00:00,LABUSDT,LONG_CONTINUATION,Late Runner,720,45.9876,48.345,-10.7081,6.8117,6.8323,45.9876,45.9876,1.0,12.0,True,True,0.0206,sustained_winner
long_2026-06-01T060000_MYXUSDT,long,2026-06-01 06:00:00,MYXUSDT,LONG_CONTINUATION,Slow Trend,210,5.941,6.1993,-2.5461,1.7343,0.5904,3.3948,3.3948,0.2917,12.0,False,False,-1.1439,underperformer
long_2026-06-01T060000_LQTYUSDT,long,2026-06-01 06:00:00,LQTYUSDT,LONG_CONTINUATION,Fake Breakout,120,3.4244,4.3352,-2.9872,3.4244,-2.0401,0.5464,0.5464,0.1667,12.0,True,False,-5.4645,winner_2h_fade_6h
long_2026-06-01T060000_HYPEUSDT,long,2026-06-01 06:00:00,HYPEUSDT,LONG_CONTINUATION,Slow Trend,210,5.1772,6.0524,-0.4091,3.0718,3.7332,4.0112,4.0112,0.2917,12.0,True,True,0.6614,sustained_winner
long_2026-06-01T080000_LABUSDT,long,2026-06-01 08:00:00,LABUSDT,LONG_CONTINUATION,Late Runner,690,71.4194,77.1189,-14.9392,-2.589,2.2555,52.3933,52.3933,0.9583,12.0,False,False,4.8445,underperformer
long_2026-06-01T080000_AIAUSDT,long,2026-06-01 08:00:00,AIAUSDT,LONG_CONTINUATION,Fake Breakout,105,9.5476,11.0871,-15.422,4.8481,-6.4011,-8.4808,-8.4808,0.1458,12.0,True,False,-11.2492,winner_2h_fade_6h
long_2026-06-01T080000_SYRUPUSDT,long,2026-06-01 08:00:00,SYRUPUSDT,LONG_CONTINUATION,Fake Breakout,225,3.6029,4.1537,-3.1234,3.1493,2.1967,-0.3888,-0.3888,0.3125,12.0,True,False,-0.9526,winner_2h_fade_6h
long_2026-06-01T080000_HUSDT,long,2026-06-01 08:00:00,HUSDT,LONG_CONTINUATION,Late Runner,660,70.7542,76.9852,-3.8091,31.9035,34.9897,65.1726,65.1726,0.9167,12.0,True,True,3.0862,sustained_winner
long_2026-06-01T080000_ACUUSDT,long,2026-06-01 08:00:00,ACUUSDT,LONG_CONTINUATION,Late Runner,600,8.275,9.3135,-0.6559,3.0826,2.394,6.9086,6.9086,0.8333,12.0,True,False,-0.6886,winner_2h_fade_6h
long_2026-06-01T100000_HUSDT,long,2026-06-01 10:00:00,HUSDT,LONG_CONTINUATION,Late Runner,690,56.096,59.3556,-0.3685,24.7543,31.644,53.8605,53.8605,0.9583,12.0,True,True,6.8897,sustained_winner
long_2026-06-01T100000_FFUSDT,long,2026-06-01 10:00:00,FFUSDT,LONG_CONTINUATION,Slow Trend,135,15.8117,16.8534,-0.0983,14.544,12.9815,10.3872,10.3872,0.1875,12.0,True,True,-1.5625,sustained_winner
long_2026-06-01T100000_PLAYUSDT,long,2026-06-01 10:00:00,PLAYUSDT,LONG_CONTINUATION,Fake Breakout,15,6.1026,13.1469,-18.5123,-8.6576,-8.1466,-15.9063,-15.9063,0.0208,12.0,False,False,0.511,underperformer
