signal_id,direction,scan_time_kst,symbol,bar_index,minutes_from_entry,return_pct,mfe_pct,mae_pct,velocity_pct_per_hour,acceleration_pct_per_hour2,volume_ratio,atr_ratio,body_pct,body_ratio,range_pct,range_ratio,momentum_pct,lifecycle_phase
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,0,0,1.9264,2.8364,-0.4471,0.0,0.0,1.0,1.0,1.9081,1.0,3.2835,1.0,1.9264,birth
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,1,15,4.3926,4.548,-0.4471,9.8648,39.4592,0.9905,0.792,2.394,1.2547,2.6132,0.7959,4.3926,acceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,2,30,4.1725,5.0859,-0.4471,-0.8804,-42.9808,0.9362,0.9202,0.2127,0.1115,2.9579,0.9008,4.1725,growth
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,3,45,3.5822,5.0859,-0.4471,-2.3612,-5.9232,0.4178,0.4763,0.5716,0.2996,1.5256,0.4646,3.5822,deceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,4,60,3.3324,5.0859,-0.4471,-0.9992,5.448,0.4842,0.5745,0.2414,0.1265,1.8463,0.5623,1.406,deceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,5,75,-2.6582,5.0859,-4.7925,-23.9624,-91.8528,1.3185,2.8517,5.9621,3.1246,8.6546,2.6358,-7.0508,deceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,6,90,-2.3491,5.0859,-4.7925,1.2364,100.7952,0.792,0.925,0.3171,0.1662,2.9892,0.9104,-6.5216,acceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,7,105,-2.7421,5.0859,-4.7925,-1.572,-11.2336,0.3341,0.5786,0.4104,0.2151,1.8564,0.5654,-6.3243,deceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,8,120,-1.743,5.0859,-4.7925,3.9964,22.2736,0.298,0.6732,1.0219,0.5356,2.1909,0.6672,-5.0754,acceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,9,135,0.6026,5.0859,-4.7925,9.3824,21.544,0.3724,0.8229,2.3271,1.2196,2.7134,0.8264,3.2608,acceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,10,150,3.3848,5.0859,-4.7925,11.1288,6.9856,0.3992,1.0027,2.7296,1.4305,3.3194,1.0109,5.7339,acceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,11,165,7.304,7.6062,-4.7925,15.6768,18.192,0.8162,1.344,3.6731,1.925,4.4916,1.3679,10.0461,acceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,12,180,11.3438,11.9446,-4.7925,16.1592,1.9296,1.34,1.7505,3.7196,1.9494,5.8529,1.7825,13.0868,acceleration
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,13,195,11.1604,13.0729,-4.7925,-0.7336,-67.5712,0.898,0.6097,0.1648,0.0864,1.9608,0.5972,10.5578,deceleration
