scan_time_kst,direction,symbol,score,cluster,return_2h
2026-06-11 10:00:00,long,JELLYJELLYUSDT,83.7,LONG_BASE_REVERSAL_D,0.6002
2026-06-11 10:00:00,long,MIRAUSDT,75.6,LONG_BASE_REVERSAL_D,1.2946
2026-06-11 10:00:00,long,IPUSDT,74.9,LONG_BASE_REVERSAL_D,-1.6569
2026-06-11 10:00:00,short,CYSUSDT,81.7,SHORT_CONTINUATION_D,-1.1931
2026-06-11 10:00:00,short,VELVETUSDT,61.5,SHORT_ACCELERATION_C,17.0784
2026-06-11 10:00:00,short,COLLECTUSDT,61.5,SHORT_ACCELERATION_C,-0.3564
2026-06-11 12:00:00,long,BTWUSDT,100.0,LONG_V_REVERSAL_B,-3.14
2026-06-11 12:00:00,long,WLDUSDT,81.6,LONG_BASE_REVERSAL_D,2.37
2026-06-11 12:00:00,long,THETAUSDT,65.8,LONG_BASE_REVERSAL_D,1.9455
2026-06-11 12:00:00,short,DEXEUSDT,82.9,SHORT_CONTINUATION_D,0.115
2026-06-11 12:00:00,short,AVNTUSDT,72.1,SHORT_CONTINUATION_A,-3.7963
2026-06-11 12:00:00,short,POWERUSDT,64.6,SHORT_CONTINUATION_A,-3.088
2026-06-11 14:00:00,long,BTWUSDT,100.0,LONG_V_REVERSAL_B,10.3172
2026-06-11 14:00:00,long,EVAAUSDT,100.0,LONG_BASE_REVERSAL_C,-1.5048
2026-06-11 14:00:00,long,BILLUSDT,95.9,LONG_V_REVERSAL_B,-3.0532
2026-06-11 14:00:00,short,AVNTUSDT,80.0,SHORT_CONTINUATION_D,3.3006
2026-06-11 14:00:00,short,OPNUSDT,70.9,SHORT_CONTINUATION_D,8.4396
2026-06-11 14:00:00,short,ENAUSDT,67.2,SHORT_CONTINUATION_A,2.932
2026-06-11 16:00:00,long,EVAAUSDT,100.0,LONG_CONTINUATION_A,2.3861
2026-06-11 16:00:00,long,ICNTUSDT,100.0,LONG_CONTINUATION_A,0.4301
2026-06-11 16:00:00,long,PLAYUSDT,100.0,LONG_V_REVERSAL_B,-3.9811
2026-06-11 16:00:00,short,HIVEUSDT,78.4,SHORT_CONTINUATION_A,2.6896
2026-06-11 16:00:00,short,BSBUSDT,78.1,SHORT_CONTINUATION_A,0.2653
2026-06-11 16:00:00,short,ESPORTSUSDT,63.3,SHORT_CONTINUATION_D,-1.783
2026-06-11 18:00:00,long,LITUSDT,100.0,LONG_CONTINUATION_A,-0.775
2026-06-11 18:00:00,long,SLXUSDT,98.6,LONG_CONTINUATION_A,-1.5807
2026-06-11 18:00:00,long,OPNUSDT,94.1,LONG_V_REVERSAL_D,1.0549
2026-06-11 18:00:00,short,SKYAIUSDT,69.1,SHORT_CONTINUATION_D,-4.7523
2026-06-11 18:00:00,short,ALLOUSDT,66.5,SHORT_CONTINUATION_A,0.4509
2026-06-11 18:00:00,short,POWERUSDT,65.6,SHORT_CONTINUATION_A,1.4337
2026-06-11 20:00:00,long,OPNUSDT,75.2,LONG_BASE_REVERSAL_D,2.4008
2026-06-11 20:00:00,long,LABUSDT,73.2,LONG_BASE_REVERSAL_D,17.7792
2026-06-11 20:00:00,long,CUSDT,71.5,LONG_BASE_REVERSAL_D,2.6079
