signal_id,direction,scan_time_kst,symbol,state_sequence,transition_count,final_state,final_return_pct
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,EARLY_BREAKOUT -> ACCELERATION -> WEAK_TREND -> PULLBACK -> REVERSAL -> FAKE_BREAKOUT -> ACCELERATION -> WEAK_TREND -> PULLBACK -> EXHAUSTION -> PULLBACK -> ACCELERATION -> HEALTHY_TREND -> ACCELERATION -> WEAK_TREND -> PULLBACK -> ACCELERATION -> PULLBACK -> ACCELERATION -> PULLBACK -> EXHAUSTION -> PULLBACK -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> EXHAUSTION -> PULLBACK -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> EXIT,32,ACCELERATION,12.266
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,EARLY_BREAKOUT -> ACCELERATION -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> REVERSAL -> EXIT,12,REVERSAL,-2.1842
long_2026-06-01T000000_INUSDT,long,2026-06-01 00:00:00,INUSDT,EARLY_BREAKOUT -> WEAK_TREND -> ACCELERATION -> HEALTHY_TREND -> ACCELERATION -> PULLBACK -> EXHAUSTION -> PULLBACK -> FAKE_BREAKOUT -> PULLBACK -> ACCELERATION -> PULLBACK -> EXHAUSTION -> FAKE_BREAKOUT -> PULLBACK -> FAKE_BREAKOUT -> ACCELERATION -> FAKE_BREAKOUT -> ACCELERATION -> EXHAUSTION -> FAKE_BREAKOUT -> PULLBACK -> FAKE_BREAKOUT -> ACCELERATION -> EXHAUSTION -> FAKE_BREAKOUT -> ACCELERATION -> FAKE_BREAKOUT -> EXIT,28,FAKE_BREAKOUT,2.9295
long_2026-06-01T000000_FORMUSDT,long,2026-06-01 00:00:00,FORMUSDT,EARLY_BREAKOUT -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> EXHAUSTION -> HEALTHY_TREND -> FAKE_BREAKOUT -> PULLBACK -> EXHAUSTION -> PULLBACK -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> HEALTHY_TREND -> PULLBACK -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> PULLBACK -> HEALTHY_TREND -> EXHAUSTION -> FAKE_BREAKOUT -> ACCELERATION -> PULLBACK -> FAKE_BREAKOUT -> PULLBACK -> FAKE_BREAKOUT -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> HEALTHY_TREND -> WEAK_TREND -> PULLBACK -> FAKE_BREAKOUT -> PULLBACK -> ACCELERATION -> WEAK_TREND -> EXIT,37,WEAK_TREND,2.7424
long_2026-06-01T000000_BILLUSDT,long,2026-06-01 00:00:00,BILLUSDT,EARLY_BREAKOUT -> ACCELERATION -> EARLY_BREAKOUT -> ACCELERATION -> HEALTHY_TREND -> PULLBACK -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> HEALTHY_TREND -> ACCELERATION -> PULLBACK -> ACCELERATION -> PULLBACK -> EXHAUSTION -> PULLBACK -> EXHAUSTION -> PULLBACK -> ACCELERATION -> EXHAUSTION -> PULLBACK -> EXHAUSTION -> PULLBACK -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> PULLBACK -> ACCELERATION -> HEALTHY_TREND -> PULLBACK -> ACCELERATION -> EXIT,37,ACCELERATION,8.0687
short_2026-06-01T000000_AIAUSDT,short,2026-06-01 00:00:00,AIAUSDT,EARLY_BREAKOUT -> ACCELERATION -> HEALTHY_TREND -> PULLBACK -> EXHAUSTION -> PULLBACK -> ACCELERATION -> PULLBACK -> ACCELERATION -> PULLBACK -> ACCELERATION -> PULLBACK -> ACCELERATION -> PULLBACK -> HEALTHY_TREND -> PULLBACK -> ACCELERATION -> PULLBACK -> EXHAUSTION -> FAKE_BREAKOUT -> PULLBACK -> EXHAUSTION -> FAKE_BREAKOUT -> ACCELERATION -> PULLBACK -> ACCELERATION -> WEAK_TREND -> EXIT,27,WEAK_TREND,12.7365
short_2026-06-01T000000_GUAUSDT,short,2026-06-01 00:00:00,GUAUSDT,EARLY_BREAKOUT -> ACCELERATION -> PULLBACK -> ACCELERATION -> PULLBACK -> ACCELERATION -> PULLBACK -> EXHAUSTION -> FAKE_BREAKOUT -> ACCELERATION -> PULLBACK -> ACCELERATION -> EXHAUSTION -> ACCELERATION -> PULLBACK -> ACCELERATION -> HEALTHY_TREND -> WEAK_TREND -> ACCELERATION -> HEALTHY_TREND -> PULLBACK -> EXHAUSTION -> PULLBACK -> EXHAUSTION -> PULLBACK -> ACCELERATION -> PULLBACK -> EXHAUSTION -> ACCELERATION -> PULLBACK -> EXHAUSTION -> ACCELERATION -> EXHAUSTION -> PULLBACK -> EXIT,34,PULLBACK,7.973
short_2026-06-01T000000_COAIUSDT,short,2026-06-01 00:00:00,COAIUSDT,EARLY_BREAKOUT -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> HEALTHY_TREND -> WEAK_TREND -> PULLBACK -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> REVERSAL -> FAKE_BREAKOUT -> ACCELERATION -> PULLBACK -> FAKE_BREAKOUT -> EXIT,19,FAKE_BREAKOUT,0.6406
short_2026-06-01T000000_PLAYUSDT,short,2026-06-01 00:00:00,PLAYUSDT,EARLY_BREAKOUT -> ACCELERATION -> EARLY_BREAKOUT -> EXHAUSTION -> ACCELERATION -> FAKE_BREAKOUT -> ACCELERATION -> REVERSAL -> FAKE_BREAKOUT -> EXIT,9,FAKE_BREAKOUT,1.3248
short_2026-06-01T000000_MUSDT,short,2026-06-01 00:00:00,MUSDT,EARLY_BREAKOUT -> ACCELERATION -> HEALTHY_TREND -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> HEALTHY_TREND -> WEAK_TREND -> ACCELERATION -> WEAK_TREND -> HEALTHY_TREND -> ACCELERATION -> WEAK_TREND -> ACCELERATION -> WEAK_TREND -> HEALTHY_TREND -> WEAK_TREND -> HEALTHY_TREND -> PULLBACK -> ACCELERATION -> HEALTHY_TREND -> ACCELERATION -> PULLBACK -> ACCELERATION -> HEALTHY_TREND -> WEAK_TREND -> ACCELERATION -> PULLBACK -> EXHAUSTION -> PULLBACK -> HEALTHY_TREND -> ACCELERATION -> HEALTHY_TREND -> WEAK_TREND -> ACCELERATION -> WEAK_TREND -> EXIT,38,WEAK_TREND,4.8108
