direction,state,observation_count,avg_return_pct,avg_minutes_from_entry,avg_duration_min,next_state_top
long,ACCELERATION,8303,11.5562,298.91,17.96,PULLBACK
long,DEAD,16,-0.0422,78.75,30.0,ACCELERATION
long,EARLY_BREAKOUT,1326,2.8024,10.96,16.48,ACCELERATION
long,EXHAUSTION,2727,6.2653,358.21,19.54,PULLBACK
long,FAKE_BREAKOUT,6987,2.5178,399.18,43.33,REVERSAL
long,HEALTHY_TREND,2736,12.2124,290.29,17.89,ACCELERATION
long,PULLBACK,8675,12.9294,390.76,26.11,ACCELERATION
long,REVERSAL,10723,-6.2407,440.69,128.9,FAKE_BREAKOUT
long,WEAK_TREND,2460,6.5044,264.18,18.68,ACCELERATION
short,ACCELERATION,8483,8.3723,317.23,17.75,PULLBACK
short,DEAD,32,-0.3077,191.72,28.24,ACCELERATION
short,EARLY_BREAKOUT,1178,2.0831,7.69,16.21,ACCELERATION
short,EXHAUSTION,2425,4.9997,380.45,19.21,PULLBACK
short,FAKE_BREAKOUT,5295,1.8213,384.02,36.93,REVERSAL
short,HEALTHY_TREND,3417,8.8496,314.75,18.76,WEAK_TREND
short,PULLBACK,8638,9.5717,400.1,28.17,ACCELERATION
short,REVERSAL,10414,-8.7071,425.98,120.56,FAKE_BREAKOUT
short,WEAK_TREND,4071,6.1017,293.08,19.57,ACCELERATION
