signal_id,direction,scan_time_kst,symbol,minutes_from_entry,state,return_pct,mfe_pct,mae_pct,drawdown_from_peak_pct,velocity_pct_per_hour,acceleration_pct_per_hour2,body_pct,range_pct,volume_ratio,atr_ratio,momentum_pct,slope_return
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,0,EARLY_BREAKOUT,1.9264,2.8364,-0.4471,0.0,0.0,0.0,1.9081,3.2835,1.0,1.0,1.9264,0.0
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,15,ACCELERATION,4.3926,4.548,-0.4471,0.0,9.8648,39.4592,2.394,2.6132,0.9905,0.792,4.3926,2.4662
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,30,WEAK_TREND,4.1725,5.0859,-0.4471,-0.2201,-0.8804,-42.9808,0.2127,2.9579,0.9362,0.9202,4.1725,1.1231
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,45,WEAK_TREND,3.5822,5.0859,-0.4471,-0.8104,-2.3612,-5.9232,0.5716,1.5256,0.4178,0.4763,3.5822,0.5519
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,60,PULLBACK,3.3324,5.0859,-0.4471,-1.0602,-0.9992,5.448,0.2414,1.8463,0.4842,0.5745,1.406,-0.3534
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,75,REVERSAL,-2.6582,5.0859,-4.7925,-7.0508,-23.9624,-91.8528,5.9621,8.6546,1.3185,2.8517,-7.0508,-2.2769
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,90,REVERSAL,-2.3491,5.0859,-4.7925,-6.7417,1.2364,100.7952,0.3171,2.9892,0.792,0.925,-6.5216,-1.9771
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,105,REVERSAL,-2.7421,5.0859,-4.7925,-7.1347,-1.572,-11.2336,0.4104,1.8564,0.3341,0.5786,-6.3243,-2.0248
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,120,REVERSAL,-1.743,5.0859,-4.7925,-6.1356,3.9964,22.2736,1.0219,2.1909,0.298,0.6732,-5.0754,0.3051
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,135,FAKE_BREAKOUT,0.6026,5.0859,-4.7925,-3.79,9.3824,21.544,2.3271,2.7134,0.3724,0.8229,3.2608,0.9839
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,150,ACCELERATION,3.3848,5.0859,-4.7925,-1.0078,11.1288,6.9856,2.7296,3.3194,0.3992,1.0027,5.7339,2.0423
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,165,ACCELERATION,7.304,7.6062,-4.7925,0.0,15.6768,18.192,3.6731,4.4916,0.8162,1.344,10.0461,3.0157
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,180,ACCELERATION,11.3438,11.9446,-4.7925,0.0,16.1592,1.9296,3.7196,5.8529,1.34,1.7505,13.0868,3.5804
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,195,WEAK_TREND,11.1604,13.0729,-4.7925,-0.1834,-0.7336,-67.5712,0.1648,1.9608,0.898,0.6097,10.5578,2.5919
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,210,PULLBACK,8.7764,13.0729,-4.7925,-2.5674,-9.536,-35.2096,2.1915,4.2255,0.8464,1.3408,5.3916,0.4908
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,225,PULLBACK,7.5189,13.0729,-4.7925,-3.8249,-5.03,18.024,1.1612,1.7935,0.3169,0.5633,0.2149,-1.275
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,240,EXHAUSTION,6.7172,13.0729,-4.7925,-4.6266,-3.2068,7.2928,0.7468,1.8275,0.2828,0.5716,-4.6266,-1.4811
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,255,PULLBACK,8.4795,13.0729,-4.7925,-2.8643,7.0492,41.024,1.61,3.9399,0.4933,1.2035,-2.6809,-0.099
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,270,ACCELERATION,13.3174,13.4763,-4.7925,0.0,19.3516,49.2096,4.3448,4.7101,0.5277,1.4,4.541,1.9328
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,285,HEALTHY_TREND,14.753,15.0971,-4.7925,0.0,5.7424,-54.4368,1.259,2.3597,0.6597,0.7234,7.2341,2.6786
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,300,ACCELERATION,18.9849,20.1621,-4.7925,0.0,16.9276,44.7408,3.6043,4.8711,1.1513,1.4586,12.2677,3.5018
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,315,WEAK_TREND,18.3562,20.1621,-4.7925,-0.6287,-2.5148,-77.7696,0.5254,4.3906,0.5736,1.3701,9.8767,1.6796
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,330,PULLBACK,16.3424,20.1621,-4.7925,-2.6425,-8.0552,-22.1616,1.7146,3.6479,0.4816,1.152,3.025,0.5298
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,345,PULLBACK,15.2368,20.1621,-4.7925,-3.7481,-4.4224,14.5312,1.0088,2.2341,0.3861,0.7005,0.4838,-1.2494
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,360,PULLBACK,15.5512,20.1621,-4.7925,-3.4337,1.2576,22.72,0.2861,1.5598,0.243,0.4828,-3.4337,-0.935
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,375,PULLBACK,16.5729,20.1621,-4.7925,-2.412,4.0868,11.3168,0.8713,2.6267,0.2772,0.8083,-1.7833,0.0768
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,390,PULLBACK,14.3985,20.1621,-4.7925,-4.5864,-8.6976,-51.1376,1.8709,2.1158,0.1737,0.6692,-1.9439,-0.2794
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,405,ACCELERATION,15.4936,20.1621,-4.7925,-3.4913,4.3804,52.312,0.9405,1.7387,0.1225,0.5347,0.2568,-0.0192
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,420,PULLBACK,15.4709,20.1621,-4.7925,-3.514,-0.0908,-17.8848,0.003,2.16,0.1563,0.6705,-0.0803,-0.3673
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,435,ACCELERATION,16.8017,20.1621,-4.7925,-2.1832,5.3232,21.656,1.1686,2.3162,0.1558,0.7107,0.2288,0.8011
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,450,PULLBACK,16.903,20.1621,-4.7925,-2.0819,0.4052,-19.672,0.0762,2.1291,0.1792,0.6604,2.5045,0.4698
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,465,PULLBACK,12.1594,20.1621,-4.7925,-6.8255,-18.9744,-77.5184,4.191,4.3424,0.2818,1.4057,-3.3342,-1.1038
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,480,PULLBACK,12.6188,20.1621,-4.7925,-6.3661,1.8376,83.248,0.3682,1.6251,0.1942,0.5026,-2.8521,-1.3943
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,495,EXHAUSTION,9.7492,20.1621,-4.7925,-9.2357,-11.4784,-53.264,2.5701,3.0726,0.2599,0.9786,-7.0525,-2.3846
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,510,PULLBACK,10.4985,20.1621,-4.7925,-8.4864,2.9972,57.9024,0.6804,2.2009,0.1734,0.6786,-6.4045,-0.5536
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,525,ACCELERATION,12.4668,20.1621,-4.7925,-6.5181,7.8732,19.504,1.783,2.7697,0.1644,0.8446,0.3074,-0.0507
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,540,EXHAUSTION,10.5771,20.1621,-4.7925,-8.4078,-7.5588,-61.728,1.6712,3.0196,0.19,0.9532,-2.0417,0.276
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,555,EXHAUSTION,10.1072,20.1621,-4.7925,-8.8777,-1.8796,22.7168,0.3847,3.1018,0.3269,0.9666,0.358,-0.1304
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,570,ACCELERATION,11.515,20.1621,-4.7925,-7.4699,5.6312,30.0432,1.2704,2.5173,0.1854,0.7716,1.0165,-0.3173
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,585,EXHAUSTION,11.0277,20.1621,-4.7925,-7.9572,-1.9492,-30.3216,0.4238,1.6808,0.1277,0.524,-1.4391,0.1502
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,600,EXHAUSTION,9.8959,20.1621,-4.7925,-9.089,-4.5272,-10.312,1.0497,3.0164,0.3171,0.9462,-0.6812,-0.0704
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,615,ACCELERATION,10.722,20.1621,-4.7925,-8.2629,3.3044,31.3264,0.7489,1.2635,0.1017,0.3893,0.6148,-0.2643
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,630,EXHAUSTION,8.8969,20.1621,-4.7925,-10.088,-7.3004,-42.4192,1.6605,2.5838,0.1559,0.8155,-2.6181,-0.7103
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,645,PULLBACK,9.4313,20.1621,-4.7925,-9.5536,2.1376,37.752,0.4864,1.4001,0.1038,0.4325,-1.5964,-0.1549
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,660,ACCELERATION,10.7604,20.1621,-4.7925,-8.2245,5.3164,12.7152,1.2168,1.8388,0.1465,0.5639,0.8645,0.0128
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,675,ACCELERATION,13.0799,20.1621,-4.7925,-5.905,9.278,15.8464,2.0881,2.4997,0.2343,0.7599,2.3579,1.3943
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,690,EXHAUSTION,10.6295,20.1621,-4.7925,-8.3554,-9.8016,-76.3184,2.2031,2.559,0.1307,0.8121,1.7326,0.3994
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,705,ACCELERATION,11.0015,20.1621,-4.7925,-7.9834,1.488,45.1584,0.3452,1.3863,0.1372,0.4289,1.5702,0.0804
long_2026-06-01T000000_币安人生USDT,long,2026-06-01 00:00:00,币安人生USDT,720,ACCELERATION,12.266,20.1621,-4.7925,-6.7189,5.058,14.28,1.1249,3.4251,0.3384,1.0513,1.5056,-0.2713
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,0,EARLY_BREAKOUT,4.4411,5.1486,0.0,0.0,0.0,0.0,4.3446,5.1486,1.0,1.0,4.4411,0.0
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,15,ACCELERATION,13.3232,14.2847,0.0,0.0,35.5284,142.1136,8.1333,9.4818,2.1927,1.7731,13.3232,8.8821
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,30,FAKE_BREAKOUT,4.9744,30.4742,0.0,-8.3488,-33.3952,-275.6944,7.6106,26.4758,8.1381,5.7956,4.9744,0.2667
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,45,FAKE_BREAKOUT,2.0391,30.4742,-1.484,-11.2841,-11.7412,86.616,2.8359,6.2284,3.5647,1.2998,2.0391,-0.8007
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,60,FAKE_BREAKOUT,2.2568,30.4742,-3.1312,-11.0664,0.8708,50.448,0.2167,8.1644,1.9488,1.6526,-2.1843,-3.6888
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,75,FAKE_BREAKOUT,4.2125,30.4742,-3.1312,-9.1107,7.8228,27.808,1.8837,4.1758,0.9926,0.8313,-9.1107,-0.254
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,90,FAKE_BREAKOUT,5.2574,30.4742,-3.1312,-8.0658,4.1796,-14.5728,0.9942,3.8088,1.1967,0.765,0.283,1.0728
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,105,FAKE_BREAKOUT,5.2538,30.4742,-3.1312,-8.0694,-0.0144,-16.776,0.0138,1.944,0.6086,0.3944,3.2147,0.999
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,120,REVERSAL,-0.7837,30.4742,-3.1312,-14.1069,-24.15,-96.5424,5.9296,7.7888,1.493,1.6765,-3.0405,-1.6654
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,135,FAKE_BREAKOUT,1.2481,30.4742,-3.4868,-12.0751,8.1272,129.1088,2.0674,5.5755,0.8723,1.1079,-2.9644,-1.3364
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,150,REVERSAL,-1.0631,30.4742,-3.4868,-14.3863,-9.2448,-69.488,2.3127,3.5691,0.5505,0.7409,-6.3205,-2.1056
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,165,REVERSAL,-0.3991,30.4742,-3.4868,-13.7223,2.656,47.6032,0.6652,2.2553,0.4261,0.4545,-5.6529,0.1282
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,180,REVERSAL,-0.8091,30.4742,-3.4868,-14.1323,-1.64,-17.184,0.4016,3.3809,0.4214,0.6886,-0.0254,-0.6857
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,195,REVERSAL,-1.4042,30.4742,-3.4868,-14.7274,-2.3804,-2.9616,0.609,2.7944,0.3971,0.5703,-2.6523,-0.1137
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,210,REVERSAL,-3.3417,30.4742,-4.2125,-16.6649,-7.75,-21.4784,1.9699,2.8929,0.4787,0.5985,-2.2786,-0.9809
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,225,REVERSAL,-3.3997,30.4742,-4.2125,-16.7229,-0.232,30.072,0.0788,1.3849,0.2787,0.2812,-3.0006,-0.8635
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,240,FAKE_BREAKOUT,1.6581,30.4742,-4.2125,-11.6651,20.2312,81.8528,5.0873,5.9261,0.8333,1.1425,2.4672,1.0208
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,255,FAKE_BREAKOUT,2.9426,30.4742,-4.2125,-10.3806,5.138,-60.3728,1.2448,3.4938,0.4711,0.7,4.3468,2.0948
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,270,FAKE_BREAKOUT,5.6457,30.4742,-4.2125,-7.6775,10.8124,22.6976,2.6165,3.113,0.5885,0.6152,8.9874,3.0151
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,285,FAKE_BREAKOUT,2.6269,30.4742,-4.2125,-10.6963,-12.0752,-91.5504,2.9298,4.5423,0.5123,0.9488,6.0266,0.3229
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,300,FAKE_BREAKOUT,2.7067,30.4742,-4.2125,-10.6165,0.3192,49.5776,0.0813,4.1225,0.4635,0.8356,1.0486,-0.0786
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,315,FAKE_BREAKOUT,1.0631,30.4742,-4.2125,-12.2601,-6.5744,-27.5744,1.6132,2.0666,0.2639,0.426,-1.8795,-1.5275
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,330,FAKE_BREAKOUT,0.508,30.4742,-4.2125,-12.8152,-2.2204,17.416,0.5508,1.8166,0.2084,0.3705,-5.1377,-0.7063
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,345,FAKE_BREAKOUT,0.7619,30.4742,-4.2125,-12.5613,1.0156,12.944,0.256,2.213,0.2855,0.4478,-1.865,-0.6483
long_2026-06-01T000000_ALLOUSDT,long,2026-06-01 00:00:00,ALLOUSDT,360,REVERSAL,-1.0341,30.4742,-4.2125,-14.3573,-7.184,-32.7984,1.8381,2.6096,0.3104,0.5392,-3.7408,-0.6991
