label_id,label_name,category,rank_key,model,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,max_up_4h,catboost_ranker,blind,272,55,4.7902,7.5366,4.7902,52.94,59.93,52.94,9.1936,25.3166,-34.5881,100.0,4.7902,23.6898,0.9664,1.0,1.0,0.9909,0.5927,0.9939,1.0,1.0
max_up_30m,30m max favorable excursion,mfe,max_up_30m,catboost_ranker,blind,272,55,3.3454,5.1794,3.3454,43.01,37.5,43.01,6.3267,14.5343,-39.3735,100.0,3.3454,16.5447,0.5278,1.0,0.6182,0.5455,0.3709,0.6242,0.7541,0.9818
max_up_1h,1h max favorable excursion,mfe,max_up_1h,catboost_ranker,blind,272,55,3.8021,6.8634,3.8021,47.43,44.85,47.43,6.8439,14.7236,-36.8586,100.0,3.8021,18.8032,0.6604,1.0,0.7636,0.6909,0.4436,0.7455,0.8621,1.0
max_up_2h,2h max favorable excursion,mfe,max_up_2h,catboost_ranker,blind,272,55,4.4558,7.5423,4.4558,51.47,54.04,51.47,8.4968,20.8916,-36.5195,100.0,4.4558,22.036,0.8336,1.0,0.9091,0.8545,0.5345,0.897,0.9515,1.0
max_up_6h,6h max favorable excursion,mfe,max_up_6h,catboost_ranker,blind,272,55,4.5729,7.6036,4.5729,54.78,58.82,54.78,8.6094,22.3682,-37.0909,100.0,4.5729,22.6151,0.9405,1.0,1.0,0.9545,0.5818,0.9758,1.0,1.0
max_up_12h,12h max favorable excursion,mfe,max_up_12h,catboost_ranker,blind,272,55,4.211,7.8626,4.211,50.37,56.25,50.37,7.8117,19.6937,-37.9163,100.0,4.211,20.8253,0.9032,1.0,0.9818,0.9364,0.5564,0.9333,0.9909,1.0
return_30m,30m close return,return,return_30m,catboost_ranker,blind,272,55,3.9613,6.0408,3.9613,43.75,30.51,43.75,8.6771,26.1202,-44.6845,100.0,3.9613,19.5903,0.4926,1.0,0.6545,0.5273,0.3018,0.5091,0.7661,0.8909
return_1h,1h close return,return,return_1h,catboost_ranker,blind,272,55,4.6376,7.5966,4.6376,50.0,37.13,50.0,9.9799,31.5338,-38.3219,100.0,4.6376,22.935,0.5844,1.0,0.7818,0.6364,0.3673,0.6182,0.8665,0.9818
return_2h,2h close return,return,return_2h,catboost_ranker,blind,272,55,5.0314,8.2223,5.0314,55.88,54.41,55.88,10.1092,29.246,-34.5691,100.0,5.0314,24.8828,0.8261,1.0,0.9273,0.8545,0.5382,0.903,0.9606,1.0
return_4h,4h close return,return,return_4h,catboost_ranker,blind,272,55,4.8957,8.0263,4.8957,55.51,58.46,55.51,9.6724,26.793,-34.3936,100.0,4.8957,24.2114,0.9234,1.0,0.9818,0.9727,0.5782,0.9697,0.9909,1.0
return_6h,6h close return,return,return_6h,catboost_ranker,blind,272,55,4.612,8.0487,4.612,51.84,57.72,51.84,8.8588,24.3119,-38.158,100.0,4.612,22.8083,0.8853,1.0,0.9636,0.8818,0.5709,0.9576,0.9818,1.0
return_12h,12h close return,return,return_12h,catboost_ranker,blind,272,55,4.3675,6.2893,4.3675,51.1,51.47,51.1,8.3549,22.2974,-33.4481,100.0,4.3675,21.5993,0.725,1.0,0.8364,0.7818,0.5091,0.8545,0.9091,1.0
avg_return_multi,Multi-horizon average return,return,avg_return_multi,catboost_ranker,blind,272,55,4.8474,8.2508,4.8474,55.15,56.25,55.15,9.5798,26.6294,-31.485,100.0,4.8474,23.9726,0.8455,1.0,0.9273,0.8455,0.5564,0.9333,0.9636,1.0
max_return_multi,Multi-horizon max return,return,max_return_multi,catboost_ranker,blind,272,55,4.272,8.326,4.272,50.37,56.25,50.37,8.0265,21.714,-32.8528,100.0,4.272,21.1272,0.8996,1.0,0.9636,0.8818,0.5564,0.9333,0.9818,1.0
return_minus_dd,Return + drawdown (2h),risk_adjusted,return_minus_dd,catboost_ranker,blind,272,55,5.2608,8.5783,5.2608,54.78,45.59,54.78,11.149,39.599,-34.9749,100.0,5.2608,26.0172,0.7414,1.0,0.8727,0.7636,0.4509,0.7576,0.9233,1.0
return_per_risk,Return / |drawdown|,risk_adjusted,return_per_risk,catboost_ranker,blind,272,55,4.2009,5.3737,4.2009,44.12,30.51,44.12,10.2405,37.9103,-31.4496,100.0,4.2009,20.7751,0.4348,1.0,0.3818,0.3818,0.3018,0.5091,0.5894,0.9091
drawdown_resilience,Return minus abs drawdown,risk_adjusted,drawdown_resilience,catboost_ranker,blind,272,55,5.2608,8.5783,5.2608,54.78,45.59,54.78,11.149,39.599,-34.9749,100.0,5.2608,26.0172,0.7414,1.0,0.8727,0.7636,0.4509,0.7576,0.9233,1.0
peak_efficiency,Close return / MFE,efficiency,peak_efficiency,catboost_ranker,blind,272,55,4.7899,6.7669,4.7899,48.9,41.91,48.9,10.7536,58.3067,-19.3594,100.0,4.7899,23.688,0.6506,1.0,0.6909,0.6273,0.4145,0.697,0.8224,1.0
recovery_speed,Return minus MAE,efficiency,recovery_speed,catboost_ranker,blind,272,55,3.4151,6.7583,3.4151,49.26,54.04,49.26,5.7309,11.9311,-69.0725,100.0,3.4151,16.8892,0.8486,1.0,0.9636,0.8364,0.5345,0.897,0.9818,1.0
intrabar_sharpe,Intrabar Sharpe (2h window),risk_adjusted,intrabar_sharpe,catboost_ranker,blind,272,55,4.3708,7.1886,4.3708,45.22,41.54,45.22,9.649,42.598,-19.3594,100.0,4.3708,21.6154,0.6292,1.0,0.7455,0.7,0.4109,0.6909,0.8667,1.0
intrabar_sortino,Intrabar Sortino (2h window),risk_adjusted,intrabar_sortino,catboost_ranker,blind,272,55,3.9469,5.8965,3.9469,45.59,41.54,45.59,9.6306,36.3596,-19.3594,100.0,3.9469,19.5191,0.6192,1.0,0.8,0.6636,0.4109,0.6909,0.8773,0.9636
mfe_2h,MFE alias (2h),mfe,mfe_2h,catboost_ranker,blind,272,55,4.4558,7.5423,4.4558,51.47,54.04,51.47,8.4968,20.8916,-36.5195,100.0,4.4558,22.036,0.8336,1.0,0.9091,0.8545,0.5345,0.897,0.9515,1.0
mae_2h,"MAE (2h, lower better)",mae,mae_2h,catboost_ranker,blind,272,55,2.887,3.2421,2.887,33.09,18.75,33.09,9.5813,27.3949,-33.5822,100.0,2.887,14.2777,0.2435,1.0,0.1455,0.1727,0.1855,0.3152,0.3488,0.6182
max_drawdown_2h,Max drawdown (less negative better),mae,max_drawdown_2h,catboost_ranker,blind,272,55,-1.9875,-5.1857,-1.9875,16.54,25.0,16.54,-4.0333,-5.9776,-546.8798,100.0,-1.9875,-9.8289,0.3305,1.0,0.2909,0.2909,0.2473,0.4182,0.5,0.8182
hit_3pct,Hit 3% at 2h close,binary,hit_3pct,catboost_ranker,blind,272,55,4.8109,7.2017,4.8109,51.84,45.59,51.84,10.3422,32.7117,-36.5607,100.0,4.8109,23.7919,0.6687,1.0,0.7818,0.6818,0.4509,0.7576,0.8733,1.0
hit_max_3pct,Hit 3% MFE within 2h,binary,hit_max_3pct,catboost_ranker,blind,272,55,3.2954,4.2929,3.2954,38.97,38.97,38.97,7.7689,18.1317,-38.3219,100.0,3.2954,16.2974,0.5408,1.0,0.5636,0.5,0.3855,0.6485,0.732,0.9455
breakout_success,"Breakout success (MFE>=4, close>=2)",binary,breakout_success,catboost_ranker,blind,272,55,4.8038,6.3854,4.8038,53.68,46.32,53.68,10.5924,33.7196,-31.8467,100.0,4.8038,23.7571,0.6448,1.0,0.7636,0.6636,0.4582,0.7697,0.8652,1.0
momentum_persist,Momentum persistence,persistence,momentum_persist,catboost_ranker,blind,272,55,4.6074,7.5966,4.6074,49.63,36.03,49.63,9.8869,31.1605,-38.3219,100.0,4.6074,22.7855,0.5764,1.0,0.7818,0.6364,0.3564,0.6,0.8668,0.9818
uptrend_duration,Uptrend bar duration,persistence,uptrend_duration,catboost_ranker,blind,272,55,3.7757,5.4989,3.7757,43.75,28.31,43.75,8.4655,24.5072,-39.1764,100.0,3.7757,18.6728,0.4205,1.0,0.4182,0.4,0.28,0.4727,0.6125,0.8727
time_to_peak_score,Faster peak (inverted time),timing,time_to_peak_score,catboost_ranker,blind,272,55,-2.3317,-2.7068,-2.3317,5.15,6.99,5.15,-9.03,-10.0538,-635.7158,100.0,-2.3317,-11.5315,0.0676,1.0,0.0364,0.0727,0.0691,0.1212,0.1856,0.3091
time_to_3pct_score,Faster 3% hit,timing,time_to_3pct_score,catboost_ranker,blind,272,55,3.8897,5.3349,3.8897,46.32,40.44,46.32,8.4329,20.7382,-38.3219,100.0,3.8897,19.2361,0.546,1.0,0.4545,0.5182,0.4,0.6727,0.6685,1.0
label_success_2h,Success flag (>=3% 2h),binary,hit_3pct,catboost_ranker,blind,272,55,4.8109,7.2017,4.8109,51.84,45.59,51.84,10.3422,32.7117,-36.5607,100.0,4.8109,23.7919,0.6687,1.0,0.7818,0.6818,0.4509,0.7576,0.8733,1.0
