feature,gain_importance,permutation_importance,shap_mean_abs,combined_score,importance_rank,label_id
ctx_rank_5m_release,0,0,0.855674,0.256702,1,baseline_max_up_4h
ctx_rank_5m_compression,0,0,0.130948,0.039284,2,baseline_max_up_4h
direction_confidence,0,0,0.123922,0.037177,3,baseline_max_up_4h
entry_score,0,0,0.100047,0.030014,4,baseline_max_up_4h
dna_2h_previous_volume_ratio,0,0,0.090229,0.027069,5,baseline_max_up_4h
a6_formula_score,0,0,0.04871,0.014613,6,baseline_max_up_4h
dna_15m_current_range_pct,0,0,0.04828,0.014484,7,baseline_max_up_4h
dna_5m_release,0,0,0.043387,0.013016,8,baseline_max_up_4h
meta_derived_atr_expansion,0,0,0.04286,0.012858,9,baseline_max_up_4h
dna_derived_breakout_flag,0,0,0.041845,0.012554,10,baseline_max_up_4h
cluster_top_score,0,0,0.04138,0.012414,11,baseline_max_up_4h
dna_derived_atr_expansion,0,0,0.037805,0.011341,12,baseline_max_up_4h
dna_1h_current_return_pct,0,0,0.03358,0.010074,13,baseline_max_up_4h
meta_derived_breakout_flag,0,0,0.033274,0.009982,14,baseline_max_up_4h
ctx_rank_1h_current_return_pct,0,0,0.030845,0.009253,15,baseline_max_up_4h
dna_30m_current_close_position,0,0,0.026217,0.007865,16,baseline_max_up_4h
state_5m_Release,0,0,0.025529,0.007659,17,baseline_max_up_4h
ctx_rank_1h_current_ma20_distance_pct,0,0,0.025516,0.007655,18,baseline_max_up_4h
exec_obs_volume_surge,0,0,0.025422,0.007627,19,baseline_max_up_4h
dna_2h_current_ma20_distance_pct,0,0,0.025317,0.007595,20,baseline_max_up_4h
ctx_rank_5m_release,0,0,0.489089,0.146727,1,return_minus_dd
dna_1h_current_return_pct,0,0,0.253729,0.076119,2,return_minus_dd
direction_confidence,0,0,0.152042,0.045613,3,return_minus_dd
formula_v2_rank_pct,0,0,0.127483,0.038245,4,return_minus_dd
search_rank_pct_return,0,0,0.095314,0.028594,5,return_minus_dd
exec_obs_obs_low_pct,0,0,0.095294,0.028588,6,return_minus_dd
entry_score,0,0,0.085553,0.025666,7,return_minus_dd
dna_5m_body_position,0,0,0.075913,0.022774,8,return_minus_dd
dna_30m_previous_ma20_distance_pct,0,0,0.071542,0.021463,9,return_minus_dd
dna_15m_current_return_pct,0,0,0.056144,0.016843,10,return_minus_dd
exec_obs_volume_surge,0,0,0.047052,0.014116,11,return_minus_dd
ctx_rank_5m_compression,0,0,0.044717,0.013415,12,return_minus_dd
ctx_rank_1h_current_return_pct,0,0,0.040724,0.012217,13,return_minus_dd
state_5m_Release,0,0,0.03989,0.011967,14,return_minus_dd
dna_2h_previous_volume_ratio,0,0,0.038885,0.011666,15,return_minus_dd
dna_2h_current_close_position,0,0,0.036488,0.010946,16,return_minus_dd
cluster_top_prob,0,0,0.032159,0.009648,17,return_minus_dd
pattern_confidence,0,0,0.032027,0.009608,18,return_minus_dd
dna_2h_current_ma20_distance_pct,0,0,0.031701,0.00951,19,return_minus_dd
meta_derived_mtf_alignment,0,0,0.029468,0.00884,20,return_minus_dd
