label_id,label_name,category,rank_key,model,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split_type,fold_id
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,max_up_4h,catboost_ranker,blind,272,55,4.7902,7.5366,4.7902,52.94,59.93,52.94,9.1936,25.3166,-34.5881,100.0,4.7902,23.6898,0.9664,1.0,1.0,0.9909,0.5927,0.9939,1.0,1.0,blind_holdout,
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,,catboost_ranker,,272,55,4.7902,7.5366,4.7902,52.94,59.93,52.94,9.1936,25.3166,-34.5881,100.0,4.7902,23.6898,0.9664,1.0,1.0,0.9909,0.5927,0.9939,1.0,1.0,monthly,2026-06
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,,catboost_ranker,,35,7,8.2362,12.1278,8.2362,71.43,60.0,71.43,5.0974,16.688,-17.0784,100.0,8.2362,41.181,0.9186,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-11
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,,catboost_ranker,,60,12,7.374,12.126,7.374,66.67,60.0,66.67,6.0444,35.8691,-9.9589,100.0,7.374,36.8702,0.9919,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-12
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,,catboost_ranker,,57,12,2.9672,4.2012,2.9672,38.6,61.4,38.6,3.8829,16.1967,-7.6208,100.0,2.9672,14.0942,0.9578,1.0,1.0,1.0,0.5833,1.0,1.0,1.0,weekly,2026-06-13
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,,catboost_ranker,,60,12,2.7832,4.3611,2.7832,48.33,58.33,48.33,3.0062,5.1427,-34.5881,100.0,2.7832,13.916,0.974,1.0,1.0,0.9583,0.5833,0.9722,1.0,1.0,weekly,2026-06-14
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,,catboost_ranker,,60,12,3.9351,6.7799,3.9351,46.67,60.0,46.67,3.2571,7.5553,-28.0307,100.0,3.9351,19.6756,0.9697,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-15
baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,,catboost_ranker,walk_forward,272,55,4.7902,7.5366,4.7902,52.94,59.93,52.94,9.1936,25.3166,-34.5881,100.0,4.7902,23.6898,0.9664,1.0,1.0,0.9909,0.5927,0.9939,1.0,1.0,,
max_up_30m,30m max favorable excursion,mfe,max_up_30m,catboost_ranker,blind,272,55,3.3454,5.1794,3.3454,43.01,37.5,43.01,6.3267,14.5343,-39.3735,100.0,3.3454,16.5447,0.5278,1.0,0.6182,0.5455,0.3709,0.6242,0.7541,0.9818,blind_holdout,
max_up_30m,30m max favorable excursion,mfe,,catboost_ranker,,272,55,3.3454,5.1794,3.3454,43.01,37.5,43.01,6.3267,14.5343,-39.3735,100.0,3.3454,16.5447,0.5278,1.0,0.6182,0.5455,0.3709,0.6242,0.7541,0.9818,monthly,2026-06
max_up_30m,30m max favorable excursion,mfe,,catboost_ranker,,35,7,5.2985,6.0997,5.2985,57.14,31.43,57.14,3.0357,7.9194,-17.0784,100.0,5.2985,26.4925,0.4234,1.0,0.5714,0.5,0.3143,0.5238,0.719,1.0,weekly,2026-06-11
max_up_30m,30m max favorable excursion,mfe,,catboost_ranker,,60,12,4.9071,6.1949,4.9071,56.67,30.0,56.67,3.9841,11.3455,-39.3735,100.0,4.9071,24.5354,0.3409,1.0,0.4167,0.4583,0.3,0.5,0.6395,0.9167,weekly,2026-06-12
max_up_30m,30m max favorable excursion,mfe,,catboost_ranker,,57,12,1.8878,3.9995,1.8878,31.58,38.6,31.58,2.2273,5.2509,-24.9728,100.0,1.8878,8.9672,0.517,1.0,0.6667,0.625,0.3667,0.6389,0.7986,1.0,weekly,2026-06-13
max_up_30m,30m max favorable excursion,mfe,,catboost_ranker,,60,12,1.5261,3.1546,1.5261,36.67,41.67,36.67,1.4698,2.2633,-33.3154,100.0,1.5261,7.6305,0.6126,1.0,0.5833,0.4583,0.4167,0.6944,0.7028,1.0,weekly,2026-06-14
max_up_30m,30m max favorable excursion,mfe,,catboost_ranker,,60,12,3.8486,6.8317,3.8486,38.33,43.33,38.33,3.3813,9.3867,-22.1726,100.0,3.8486,19.243,0.7014,1.0,0.8333,0.6667,0.4333,0.7222,0.8958,1.0,weekly,2026-06-15
max_up_30m,30m max favorable excursion,mfe,,catboost_ranker,walk_forward,272,55,3.3454,5.1794,3.3454,43.01,59.56,43.01,6.3267,14.5343,-39.3735,100.0,3.3454,16.5447,0.9622,0.5589,1.0,0.9636,0.5891,0.9879,1.0,1.0,,
