label_id,feature,baseline_importance,label_importance,delta
return_minus_dd,ctx_rank_5m_release,0.256702,0.146727,-0.109975
return_minus_dd,dna_1h_current_return_pct,0.010074,0.076119,0.066045
return_minus_dd,formula_v2_rank_pct,0.0,0.038245,0.038245
return_minus_dd,search_rank_pct_return,0.0,0.028594,0.028594
return_minus_dd,exec_obs_obs_low_pct,0.0,0.028588,0.028588
return_minus_dd,ctx_rank_5m_compression,0.039284,0.013415,-0.025869
return_minus_dd,dna_5m_body_position,0.0,0.022774,0.022774
return_minus_dd,dna_30m_previous_ma20_distance_pct,0.0,0.021463,0.021463
return_minus_dd,dna_15m_current_return_pct,0.0,0.016843,0.016843
return_minus_dd,dna_2h_previous_volume_ratio,0.027069,0.011666,-0.015403
return_minus_dd,a6_formula_score,0.014613,0.0,-0.014613
return_minus_dd,dna_15m_current_range_pct,0.014484,0.0,-0.014484
return_minus_dd,dna_5m_release,0.013016,0.0,-0.013016
return_minus_dd,meta_derived_atr_expansion,0.012858,0.0,-0.012858
return_minus_dd,dna_derived_breakout_flag,0.012554,0.0,-0.012554
return_minus_dd,cluster_top_score,0.012414,0.0,-0.012414
return_minus_dd,dna_derived_atr_expansion,0.011341,0.0,-0.011341
return_minus_dd,dna_2h_current_close_position,0.0,0.010946,0.010946
return_minus_dd,meta_derived_breakout_flag,0.009982,0.0,-0.009982
return_minus_dd,cluster_top_prob,0.0,0.009648,0.009648
