label_id,top3_overlap_pct,rank_correlation,scan_count
baseline_max_up_4h,100.0,1.0,125
max_up_30m,24.0,0.4413,125
max_up_1h,33.04,0.5754,125
max_up_2h,50.48,0.7419,125
max_up_6h,64.96,0.8594,125
max_up_12h,45.04,0.7441,125
return_30m,25.84,0.4224,125
return_1h,31.36,0.5222,125
return_2h,46.0,0.6034,125
return_4h,55.76,0.6013,125
return_6h,40.56,0.4842,125
return_12h,29.84,0.3276,125
avg_return_multi,48.16,0.5859,125
max_return_multi,42.56,0.7052,125
return_minus_dd,40.32,0.5239,125
return_per_risk,22.32,0.5586,125
drawdown_resilience,40.32,0.5239,125
peak_efficiency,23.84,0.5979,125
recovery_speed,46.24,0.6054,125
intrabar_sharpe,22.48,0.5363,125
intrabar_sortino,22.56,0.5198,125
mfe_2h,50.48,0.7419,125
mae_2h,10.24,0.2246,125
max_drawdown_2h,6.0,-0.2246,125
hit_3pct,24.88,0.3385,125
hit_max_3pct,14.32,0.514,125
breakout_success,25.04,0.3724,125
momentum_persist,31.36,0.4764,125
uptrend_duration,13.36,0.2875,125
time_to_peak_score,2.24,-0.4154,125
time_to_3pct_score,27.12,0.4706,125
label_success_2h,24.88,0.3385,125
