feature,gain_importance,permutation_importance,shap_mean_abs,combined_score,importance_rank
ctx_rank_5m_release,0,0,0.565533,0.16966,1
ts_ctx_rank_5m_release_current,0,0,0.462308,0.138692,2
ctx_rank_5m_compression,0,0,0.166192,0.049858,3
ts_dna_1h_current_range_pct_mean,0,0,0.067596,0.020279,4
ts_ctx_rank_5m_release_delta,0,0,0.055032,0.01651,5
ts_entry_score_current,0,0,0.052476,0.015743,6
ts_direction_confidence_current,0,0,0.048895,0.014668,7
ts_dna_5m_release_current,0,0,0.047172,0.014152,8
ts_dna_5m_release_delta,0,0,0.04288,0.012864,9
ts_dna_1h_current_return_pct_max,0,0,0.038095,0.011428,10
ts_dna_1h_current_return_pct_delta,0,0,0.036966,0.01109,11
direction_confidence,0,0,0.036843,0.011053,12
ts_ctx_rank_5m_release_mean,0,0,0.036567,0.01097,13
entry_score,0,0,0.036174,0.010852,14
ts_dna_1h_current_range_pct_max,0,0,0.035167,0.01055,15
ts_cluster_top_score_mean,0,0,0.03356,0.010068,16
cluster_top_score,0,0,0.029798,0.008939,17
meta_derived_atr_expansion,0,0,0.029161,0.008748,18
ts_dna_5m_momentum_volatility,0,0,0.027615,0.008285,19
ctx_rank_1h_current_return_pct,0,0,0.026421,0.007926,20
