feature,shap_mean_abs,rank
ctx_rank_5m_release,0.565533,1
ts_ctx_rank_5m_release_current,0.462308,2
ctx_rank_5m_compression,0.166192,3
ts_dna_1h_current_range_pct_mean,0.067596,4
ts_ctx_rank_5m_release_delta,0.055032,5
ts_entry_score_current,0.052476,6
ts_direction_confidence_current,0.048895,7
ts_dna_5m_release_current,0.047172,8
ts_dna_5m_release_delta,0.04288,9
ts_dna_1h_current_return_pct_max,0.038095,10
ts_dna_1h_current_return_pct_delta,0.036966,11
direction_confidence,0.036843,12
ts_ctx_rank_5m_release_mean,0.036567,13
entry_score,0.036174,14
ts_dna_1h_current_range_pct_max,0.035167,15
ts_cluster_top_score_mean,0.03356,16
cluster_top_score,0.029798,17
meta_derived_atr_expansion,0.029161,18
ts_dna_5m_momentum_volatility,0.027615,19
ctx_rank_1h_current_return_pct,0.026421,20
ts_meta_derived_range_expansion_max,0.024655,21
formula_v2_rank_pct,0.024314,22
ts_ctx_rank_5m_release_prev,0.024038,23
dna_30m_current_close_position,0.023895,24
dna_1h_current_return_pct,0.023044,25
ts_dna_1h_current_range_pct_volatility,0.023023,26
search_rank_pct_return,0.022969,27
ts_a6_formula_score_current,0.020521,28
ts_cluster_top_score_current,0.02018,29
dna_2h_previous_volume_ratio,0.01985,30
