seq_len,model,feature_count,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split,split_type,fold_id
3,catboost_ranker,310,272,55,4.5702,7.5561,4.5702,52.57,59.56,52.57,8.593,21.804,-37.3322,100.0,4.5702,22.6016,0.9588,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,blind_temporal,,
3,catboost_ranker,,272,55,4.5702,7.5561,4.5702,52.57,59.56,52.57,8.593,21.804,-37.3322,100.0,4.5702,22.6016,0.9588,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,,monthly,2026-06
3,catboost_ranker,,35,7,7.79,12.1278,7.79,68.57,57.14,68.57,4.8681,15.784,-17.0784,100.0,7.79,38.9502,0.8775,0.3164,1.0,1.0,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
3,catboost_ranker,,60,12,7.4236,12.126,7.4236,68.33,60.0,68.33,6.1017,36.1104,-9.9589,100.0,7.4236,37.1182,0.9896,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
3,catboost_ranker,,57,12,3.069,4.127,3.069,40.35,61.4,40.35,4.0379,16.7525,-7.6208,100.0,3.069,14.5776,0.9554,0.501,1.0,1.0,0.5833,1.0,1.0,1.0,,weekly,2026-06-13
3,catboost_ranker,,60,12,2.2068,4.7051,2.2068,50.0,58.33,50.0,2.1158,3.2929,-37.3322,100.0,2.2068,11.0342,0.9702,0.4314,1.0,0.9583,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
3,catboost_ranker,,60,12,3.6279,6.5997,3.6279,41.67,60.0,41.67,2.9901,6.9796,-28.0307,100.0,3.6279,18.1396,0.9674,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
3,lightgbm_ranker,310,272,55,4.4722,7.7798,4.4722,50.37,59.56,50.37,8.2997,20.9436,-36.1746,100.0,4.4722,22.1172,0.9624,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,blind_temporal,,
3,lightgbm_ranker,,272,55,4.4722,7.7798,4.4722,50.37,59.56,50.37,8.2997,20.9436,-36.1746,100.0,4.4722,22.1172,0.9624,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,,monthly,2026-06
3,lightgbm_ranker,,35,7,8.2362,11.6158,8.2362,71.43,60.0,71.43,5.0974,16.688,-17.0784,100.0,8.2362,41.181,0.9105,0.3164,1.0,0.9286,0.6,1.0,1.0,1.0,,weekly,2026-06-11
3,lightgbm_ranker,,60,12,7.385,12.126,7.385,65.0,60.0,65.0,6.0543,35.9224,-9.9589,100.0,7.385,36.925,0.9919,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
3,lightgbm_ranker,,57,12,2.3691,4.2012,2.3691,35.09,59.65,35.09,2.9142,8.5393,-10.3206,100.0,2.3691,11.2534,0.9433,0.501,1.0,1.0,0.5667,0.9722,1.0,1.0,,weekly,2026-06-13
3,lightgbm_ranker,,60,12,2.2001,5.9548,2.2001,48.33,58.33,48.33,2.114,3.2841,-36.1746,100.0,2.2001,11.0005,0.9765,0.4314,1.0,1.0,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
