seq_len,model,feature_count,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3
3,catboost_ranker,310,272,55,4.5702,7.5561,4.5702,52.57,59.56,52.57,8.593,21.804,-37.3322,100.0,4.5702,22.6016,0.9588,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0
3,lightgbm_ranker,310,272,55,4.4722,7.7798,4.4722,50.37,59.56,50.37,8.2997,20.9436,-36.1746,100.0,4.4722,22.1172,0.9624,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0
3,xgboost_ranker,310,272,55,4.4989,7.7322,4.4989,52.21,58.82,52.21,8.5086,22.8297,-37.3768,100.0,4.4989,22.2491,0.954,0.3996,1.0,0.9818,0.5818,0.9758,1.0,1.0
6,catboost_ranker,310,272,55,4.6215,7.5327,4.6215,52.21,59.19,52.21,8.8497,23.9957,-37.2043,100.0,4.6215,22.8556,0.9574,0.3996,1.0,0.9727,0.5855,0.9818,1.0,1.0
6,lightgbm_ranker,310,272,55,4.4794,7.7637,4.4794,51.1,58.82,51.1,8.4351,21.9415,-37.0473,100.0,4.4794,22.1527,0.957,0.3996,1.0,0.9909,0.5818,0.9758,1.0,1.0
6,xgboost_ranker,310,272,55,4.4004,7.6493,4.4004,51.1,58.09,51.1,8.2303,21.2179,-35.8452,100.0,4.4004,21.7619,0.9496,0.3996,1.0,0.9636,0.5745,0.9636,1.0,1.0
9,catboost_ranker,310,272,55,4.6282,7.491,4.6282,53.68,58.82,53.68,8.8308,23.6368,-35.3374,100.0,4.6282,22.8888,0.9576,0.3996,1.0,0.9818,0.5818,0.9758,1.0,1.0
9,lightgbm_ranker,310,272,55,4.2796,7.7637,4.2796,50.74,59.19,50.74,7.8395,18.9793,-36.7103,100.0,4.2796,21.1645,0.957,0.3996,1.0,0.9909,0.5855,0.9818,1.0,1.0
9,xgboost_ranker,310,272,55,4.559,7.96,4.559,52.57,58.82,52.57,8.6719,23.5355,-35.7436,100.0,4.559,22.5466,0.9536,0.3996,1.0,0.9818,0.5818,0.9758,1.0,1.0
12,catboost_ranker,310,272,55,4.6368,7.6991,4.6368,52.94,59.56,52.94,8.8539,23.9043,-31.8303,100.0,4.6368,22.9309,0.9595,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0
12,lightgbm_ranker,310,272,55,4.4212,7.7637,4.4212,51.47,58.82,51.47,8.2386,20.7542,-37.0473,100.0,4.4212,21.865,0.9572,0.3996,1.0,0.9909,0.5818,0.9758,1.0,1.0
12,xgboost_ranker,310,272,55,4.29,7.8169,4.29,51.84,58.46,51.84,7.8585,19.5877,-40.5156,100.0,4.29,21.216,0.9521,0.3996,1.0,0.9818,0.5782,0.9697,1.0,1.0
24,catboost_ranker,310,272,55,4.5513,7.4973,4.5513,52.21,59.56,52.21,8.5566,21.7413,-36.1746,100.0,4.5513,22.5084,0.9606,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0
24,lightgbm_ranker,310,272,55,4.337,7.7637,4.337,51.1,59.19,51.1,7.9593,19.2164,-37.0473,100.0,4.337,21.4487,0.9571,0.3996,1.0,0.9909,0.5855,0.9818,1.0,1.0
24,xgboost_ranker,310,272,55,4.4679,7.8126,4.4679,53.31,59.19,53.31,8.2802,21.2532,-40.5156,100.0,4.4679,22.0956,0.9556,0.3996,1.0,0.9727,0.5855,0.9818,1.0,1.0
