rule_id,rule_expr,direction,pass_count,fail_count,precision,recall,f1,lift,avg_return_2h,avg_return_4h,win_rate_pct,coverage_pct,pass_per_day,baseline_precision,precision_floor,meets_precision_floor,coverage_lift_vs_v2,rank
AND_TH_1h_current_body_pct_gte_TH_1h_current_return_pct_lte,(1h_current_body_pct >= 10.96 AND 1h_current_return_pct <= -8.345),short,14,258,0.9286,0.2826,0.4333,5.4907,15.952,17.4416,92.86,5.15,2.8,0.9,0.88,True,40.0,1
AND3_TH_1h_current_body_pct_gte,(1h_current_body_pct >= 10.96 AND 1h_current_return_pct <= -8.345 AND 1h_current_body_pct >= 7.343),short,14,258,0.9286,0.2826,0.4333,5.4907,15.952,17.4416,92.86,5.15,2.8,0.9,0.88,True,40.0,2
OR_TH_2h_current_return_pct_lte_TH_30m_current_body_pct_gte,(2h_current_return_pct <= -18.51 OR 30m_current_body_pct >= 9.48),short,13,259,0.9231,0.2609,0.4068,5.4582,16.4274,16.1916,92.31,4.78,2.6,0.9,0.88,True,30.0,3
OR_TH_1h_current_return_pct_lte_TH_30m_current_body_pct_gte,(1h_current_return_pct <= -14.72 OR 30m_current_body_pct >= 9.48),short,13,259,0.9231,0.2609,0.4068,5.4582,16.3046,17.924,92.31,4.78,2.6,0.9,0.88,True,30.0,4
AND3_TH_1h_current_body_pct_gte,(1h_current_body_pct >= 10.96 AND 1h_current_return_pct <= -8.345 AND 1h_current_range_pct >= 14.04),short,11,261,0.9091,0.2174,0.3509,5.3755,17.1626,18.7446,90.91,4.04,2.2,0.9,0.88,True,10.0,5
AND3_TH_1h_current_body_pct_gte,(1h_current_body_pct >= 10.96 AND 1h_current_return_pct <= -8.345 AND (15m_current_body_pct - 1h_current_body_pct) <= -5.989),short,11,261,0.9091,0.2174,0.3509,5.3755,16.1234,16.221,90.91,4.04,2.2,0.9,0.88,True,10.0,6
OR_TH_30m_current_return_pct_lte_TH_2h_current_return_pct_lte,(30m_current_return_pct <= -9.65 OR 2h_current_return_pct <= -18.51),short,11,261,0.9091,0.2174,0.3509,5.3755,15.9148,15.8437,90.91,4.04,2.2,0.9,0.88,True,10.0,7
OR_TH_1h_current_return_pct_lte_TH_30m_current_return_pct_lte,(1h_current_return_pct <= -14.72 OR 30m_current_return_pct <= -9.65),short,11,261,0.9091,0.2174,0.3509,5.3755,15.7697,17.8911,90.91,4.04,2.2,0.9,0.88,True,10.0,8
ATOM_11,30m_current_body_pct >= 9.48,short,11,261,0.9091,0.2174,0.3509,5.3755,14.8466,16.7566,90.91,4.04,2.2,0.9,0.88,True,10.0,9
AND_TH_30m_current_body_pct_gte_TH_30m_current_body_pct_gte,(30m_current_body_pct >= 9.48 AND 30m_current_body_pct >= 6.325),short,11,261,0.9091,0.2174,0.3509,5.3755,14.8466,16.7566,90.91,4.04,2.2,0.9,0.88,True,10.0,10
OR_TH_30m_current_return_pct_lte_TH_30m_current_body_pct_gte,(30m_current_return_pct <= -9.65 OR 30m_current_body_pct >= 9.48),short,11,261,0.9091,0.2174,0.3509,5.3755,14.8466,16.7566,90.91,4.04,2.2,0.9,0.88,True,10.0,11
AND_TH_1h_current_body_pct_gte_TH_30m_current_body_pct_gte,(1h_current_body_pct >= 10.96 AND 30m_current_body_pct >= 6.325),short,11,261,0.9091,0.2174,0.3509,5.3755,14.2206,15.6041,90.91,4.04,2.2,0.9,0.88,True,10.0,12
OR_TH_1h_current_body_pct_gte_TH_1h_current_range_pct_gte,(1h_current_body_pct >= 18.24 OR 1h_current_range_pct >= 24.01),long,10,262,1.0,0.1961,0.3279,5.3333,27.1955,33.0943,100.0,3.68,2.0,1.0,0.98,True,25.0,13
AND_TH_1h_current_body_pct_gte_TH_2h_current_body_pct_gte,(1h_current_body_pct >= 14.62 AND 2h_current_body_pct >= 19.24),long,10,262,1.0,0.1961,0.3279,5.3333,26.1137,32.8077,100.0,3.68,2.0,1.0,0.98,True,25.0,14
AND_TH_1h_current_return_pct_gte_TH_2h_current_body_pct_gte,(1h_current_return_pct >= 15.03 AND 2h_current_body_pct >= 19.24),long,10,262,1.0,0.1961,0.3279,5.3333,26.1137,32.8077,100.0,3.68,2.0,1.0,0.98,True,25.0,15
AND_DIF_15m_current_body_pct_1h_current_body_pct_TH_2h_current_body_pct_gte,((15m_current_body_pct - 1h_current_body_pct) <= -10.12 AND 2h_current_body_pct >= 19.24),long,10,262,1.0,0.1961,0.3279,5.3333,26.1137,32.8077,100.0,3.68,2.0,1.0,0.98,True,25.0,16
AND3_TH_1h_current_body_pct_gte,(1h_current_body_pct >= 14.62 AND 1h_current_return_pct >= 15.03 AND 2h_current_body_pct >= 19.24),long,10,262,1.0,0.1961,0.3279,5.3333,26.1137,32.8077,100.0,3.68,2.0,1.0,0.98,True,25.0,17
AND3_TH_1h_current_body_pct_gte,(1h_current_body_pct >= 14.62 AND 1h_current_body_pct >= 11.01 AND 2h_current_body_pct >= 19.24),long,10,262,1.0,0.1961,0.3279,5.3333,26.1137,32.8077,100.0,3.68,2.0,1.0,0.98,True,25.0,18
AND3_TH_1h_current_body_pct_gte,(1h_current_body_pct >= 14.62 AND 1h_current_return_pct >= 10.77 AND 2h_current_body_pct >= 19.24),long,10,262,1.0,0.1961,0.3279,5.3333,26.1137,32.8077,100.0,3.68,2.0,1.0,0.98,True,25.0,19
AND3_TH_1h_current_body_pct_gte,(1h_current_body_pct >= 14.62 AND 1h_current_body_pct >= 7.393 AND 2h_current_body_pct >= 19.24),long,10,262,1.0,0.1961,0.3279,5.3333,26.1137,32.8077,100.0,3.68,2.0,1.0,0.98,True,25.0,20
