direction,from_state,to_state,transition_count,transition_probability_pct,avg_return_at_transition_pct,avg_duration_in_from_state_min
long,ACCELERATION,EARLY_BREAKOUT,299,4.38,5.8458,18.41
long,ACCELERATION,EXHAUSTION,618,9.05,5.1965,16.92
long,ACCELERATION,EXIT,122,1.79,15.5908,2.83
long,ACCELERATION,FAKE_BREAKOUT,398,5.83,2.5009,16.7
long,ACCELERATION,HEALTHY_TREND,1709,25.01,13.7519,19.08
long,ACCELERATION,PULLBACK,2382,34.87,14.7953,18.07
long,ACCELERATION,REVERSAL,83,1.21,-1.437,17.89
long,ACCELERATION,WEAK_TREND,1221,17.87,7.4547,18.53
long,DEAD,ACCELERATION,5,62.5,3.6636,39.0
long,DEAD,HEALTHY_TREND,2,25.0,0.6517,15.0
long,DEAD,REVERSAL,1,12.5,-2.26,15.0
long,EARLY_BREAKOUT,ACCELERATION,776,64.29,4.5302,16.39
long,EARLY_BREAKOUT,DEAD,1,0.08,-0.3093,30.0
long,EARLY_BREAKOUT,EXHAUSTION,39,3.23,2.6396,16.15
long,EARLY_BREAKOUT,FAKE_BREAKOUT,37,3.07,1.3091,17.84
long,EARLY_BREAKOUT,HEALTHY_TREND,46,3.81,7.7527,16.63
long,EARLY_BREAKOUT,PULLBACK,70,5.8,5.4124,17.57
long,EARLY_BREAKOUT,REVERSAL,64,5.3,-1.2127,16.41
long,EARLY_BREAKOUT,WEAK_TREND,174,14.42,2.3897,16.12
long,EXHAUSTION,ACCELERATION,623,30.35,7.2786,17.94
long,EXHAUSTION,EXIT,53,2.58,9.0725,7.08
long,EXHAUSTION,FAKE_BREAKOUT,518,25.23,3.5163,20.15
long,EXHAUSTION,HEALTHY_TREND,50,2.44,2.6545,19.8
long,EXHAUSTION,PULLBACK,757,36.87,7.9021,21.22
long,EXHAUSTION,REVERSAL,52,2.53,-1.1335,20.48
long,FAKE_BREAKOUT,ACCELERATION,749,31.71,4.9541,45.8
long,FAKE_BREAKOUT,EXIT,164,6.94,3.4419,74.27
long,FAKE_BREAKOUT,HEALTHY_TREND,32,1.35,2.6544,22.03
long,FAKE_BREAKOUT,PULLBACK,530,22.44,5.1084,29.15
long,FAKE_BREAKOUT,REVERSAL,886,37.51,-1.352,44.8
long,FAKE_BREAKOUT,WEAK_TREND,1,0.04,0.0,15.0
long,HEALTHY_TREND,ACCELERATION,833,36.68,15.5242,17.58
long,HEALTHY_TREND,EARLY_BREAKOUT,3,0.13,3.4537,15.0
long,HEALTHY_TREND,EXHAUSTION,118,5.2,3.2394,17.54
long,HEALTHY_TREND,EXIT,28,1.23,20.9136,4.82
long,HEALTHY_TREND,FAKE_BREAKOUT,63,2.77,1.6748,17.14
long,HEALTHY_TREND,PULLBACK,663,29.19,13.8137,18.05
long,HEALTHY_TREND,REVERSAL,18,0.79,-1.8118,19.17
long,HEALTHY_TREND,WEAK_TREND,545,24.0,7.7932,18.96
long,PULLBACK,ACCELERATION,2556,52.52,16.1274,27.31
long,PULLBACK,EXHAUSTION,1153,23.69,7.4307,27.93
long,PULLBACK,EXIT,202,4.15,19.0706,20.27
long,PULLBACK,FAKE_BREAKOUT,595,12.23,3.3626,20.17
long,PULLBACK,HEALTHY_TREND,283,5.81,9.1905,25.97
long,PULLBACK,REVERSAL,69,1.42,-1.352,20.87
long,PULLBACK,WEAK_TREND,9,0.18,0.0375,23.33
long,REVERSAL,ACCELERATION,159,13.12,2.5044,84.06
long,REVERSAL,DEAD,6,0.5,-0.1123,65.0
long,REVERSAL,EARLY_BREAKOUT,5,0.41,-0.503,18.0
long,REVERSAL,EXIT,308,25.41,-8.2631,312.42
long,REVERSAL,FAKE_BREAKOUT,686,56.6,0.9005,62.69
long,REVERSAL,HEALTHY_TREND,10,0.83,1.9151,108.0
long,REVERSAL,PULLBACK,29,2.39,0.9012,49.14
long,REVERSAL,WEAK_TREND,9,0.74,0.1018,71.67
long,WEAK_TREND,ACCELERATION,1131,57.73,8.2976,17.89
long,WEAK_TREND,DEAD,1,0.05,0.3854,15.0
long,WEAK_TREND,EARLY_BREAKOUT,3,0.15,0.1919,15.0
long,WEAK_TREND,EXHAUSTION,125,6.38,2.1694,19.68
long,WEAK_TREND,EXIT,20,1.02,8.3209,12.0
long,WEAK_TREND,FAKE_BREAKOUT,65,3.32,1.6867,18.46
long,WEAK_TREND,HEALTHY_TREND,139,7.1,4.6776,26.55
long,WEAK_TREND,PULLBACK,436,22.26,8.2353,17.86
long,WEAK_TREND,REVERSAL,39,1.99,-1.3313,23.85
short,ACCELERATION,DEAD,2,0.03,0.143,15.0
short,ACCELERATION,EARLY_BREAKOUT,182,2.58,5.3593,17.23
short,ACCELERATION,EXHAUSTION,548,7.78,4.2654,16.78
short,ACCELERATION,EXIT,148,2.1,11.2244,4.05
short,ACCELERATION,FAKE_BREAKOUT,359,5.1,1.8924,15.96
short,ACCELERATION,HEALTHY_TREND,1891,26.85,9.3541,18.58
short,ACCELERATION,PULLBACK,2036,28.9,10.2228,17.73
short,ACCELERATION,REVERSAL,66,0.94,-1.6606,15.45
short,ACCELERATION,WEAK_TREND,1812,25.72,7.1169,18.82
short,DEAD,ACCELERATION,11,64.71,1.3123,25.91
short,DEAD,HEALTHY_TREND,2,11.76,0.5824,15.0
short,DEAD,REVERSAL,2,11.76,-1.9872,60.0
short,DEAD,WEAK_TREND,2,11.76,-0.0788,22.5
short,EARLY_BREAKOUT,ACCELERATION,639,58.62,3.8139,16.15
short,EARLY_BREAKOUT,DEAD,1,0.09,0.1911,30.0
short,EARLY_BREAKOUT,EXHAUSTION,23,2.11,2.0554,17.61
short,EARLY_BREAKOUT,FAKE_BREAKOUT,36,3.3,1.2072,17.5
short,EARLY_BREAKOUT,HEALTHY_TREND,38,3.49,6.3964,18.16
short,EARLY_BREAKOUT,PULLBACK,58,5.32,5.0518,15.78
short,EARLY_BREAKOUT,REVERSAL,66,6.06,-3.7269,16.36
short,EARLY_BREAKOUT,WEAK_TREND,229,21.01,1.7532,15.72
short,EXHAUSTION,ACCELERATION,568,30.64,5.944,17.8
short,EXHAUSTION,EXIT,51,2.75,5.337,5.0
short,EXHAUSTION,FAKE_BREAKOUT,465,25.08,2.6015,19.9
short,EXHAUSTION,HEALTHY_TREND,55,2.97,2.7328,18.55
short,EXHAUSTION,PULLBACK,637,34.36,6.3315,21.22
short,EXHAUSTION,REVERSAL,78,4.21,-0.7851,18.65
short,FAKE_BREAKOUT,ACCELERATION,638,30.31,4.2138,41.07
short,FAKE_BREAKOUT,EARLY_BREAKOUT,1,0.05,1.1748,15.0
short,FAKE_BREAKOUT,EXIT,113,5.37,2.0758,46.86
short,FAKE_BREAKOUT,HEALTHY_TREND,40,1.9,3.0623,19.12
short,FAKE_BREAKOUT,PULLBACK,426,20.24,3.8306,28.77
short,FAKE_BREAKOUT,REVERSAL,884,42.0,-1.3014,37.47
short,FAKE_BREAKOUT,WEAK_TREND,3,0.14,0.8056,25.0
short,HEALTHY_TREND,ACCELERATION,922,34.17,9.6586,19.59
short,HEALTHY_TREND,DEAD,1,0.04,0.0,15.0
short,HEALTHY_TREND,EARLY_BREAKOUT,3,0.11,1.3764,15.0
short,HEALTHY_TREND,EXHAUSTION,93,3.45,2.6664,18.39
short,HEALTHY_TREND,EXIT,42,1.56,10.2633,5.0
